	SHH_WT_models_highres31596.py	SHH_WT_models_highres1378.py	SHH_WT_models_highres4863.py	SHH_WT_models_highres34599.py	SHH_WT_models_highres25781.py	SHH_WT_models_highres42525.py	SHH_WT_models_highres8490.py	SHH_WT_models_highres11881.py	SHH_WT_models_highres49960.py	SHH_WT_models_highres11966.py	SHH_WT_models_highres24080.py	SHH_WT_models_highres23829.py	SHH_WT_models_highres49057.py	SHH_WT_models_highres22983.py	SHH_WT_models_highres23072.py	SHH_WT_models_highres34517.py	SHH_WT_models_highres35879.py	SHH_WT_models_highres8834.py	SHH_WT_models_highres10104.py	SHH_WT_models_highres12150.py	SHH_WT_models_highres31879.py	SHH_WT_models_highres5395.py	SHH_WT_models_highres11087.py	SHH_WT_models_highres19906.py	SHH_WT_models_highres23466.py	SHH_WT_models_highres2200.py	SHH_WT_models_highres12741.py	SHH_WT_models_highres47931.py	SHH_WT_models_highres30712.py	SHH_WT_models_highres8504.py	SHH_WT_models_highres39011.py	SHH_WT_models_highres43463.py	SHH_WT_models_highres15002.py	SHH_WT_models_highres12864.py	SHH_WT_models_highres42203.py	SHH_WT_models_highres5002.py	SHH_WT_models_highres37859.py	SHH_WT_models_highres17943.py	SHH_WT_models_highres30274.py	SHH_WT_models_highres7416.py	SHH_WT_models_highres24273.py	SHH_WT_models_highres1427.py	SHH_WT_models_highres49526.py	SHH_WT_models_highres10707.py	SHH_WT_models_highres33745.py	SHH_WT_models_highres47636.py	SHH_WT_models_highres2349.py	SHH_WT_models_highres27492.py	SHH_WT_models_highres41632.py	SHH_WT_models_highres7736.py	SHH_WT_models_highres49927.py	SHH_WT_models_highres38933.py	SHH_WT_models_highres38046.py	SHH_WT_models_highres49180.py	SHH_WT_models_highres40627.py	SHH_WT_models_highres16260.py	SHH_WT_models_highres3504.py	SHH_WT_models_highres20506.py	SHH_WT_models_highres40730.py	SHH_WT_models_highres23113.py	SHH_WT_models_highres4319.py	SHH_WT_models_highres17007.py	SHH_WT_models_highres47141.py	SHH_WT_models_highres29282.py	SHH_WT_models_highres27213.py	SHH_WT_models_highres1670.py	SHH_WT_models_highres15001.py	SHH_WT_models_highres6063.py	SHH_WT_models_highres37336.py	SHH_WT_models_highres22748.py	SHH_WT_models_highres41537.py	SHH_WT_models_highres14127.py	SHH_WT_models_highres34760.py	SHH_WT_models_highres38036.py	SHH_WT_models_highres15190.py	SHH_WT_models_highres20684.py	SHH_WT_models_highres30575.py	SHH_WT_models_highres45679.py	SHH_WT_models_highres6417.py	SHH_WT_models_highres38114.py	SHH_WT_models_highres27394.py	SHH_WT_models_highres12843.py	SHH_WT_models_highres5327.py	SHH_WT_models_highres6304.py	SHH_WT_models_highres48059.py	SHH_WT_models_highres17001.py	SHH_WT_models_highres41357.py	SHH_WT_models_highres34831.py	SHH_WT_models_highres9547.py	SHH_WT_models_highres8956.py	SHH_WT_models_highres32733.py	SHH_WT_models_highres12385.py	SHH_WT_models_highres1093.py	SHH_WT_models_highres15191.py	SHH_WT_models_highres38493.py	SHH_WT_models_highres9157.py	SHH_WT_models_highres32352.py	SHH_WT_models_highres44329.py	SHH_WT_models_highres34949.py	SHH_WT_models_highres92.py	SHH_WT_models_highres18152.py	SHH_WT_models_highres42121.py	SHH_WT_models_highres26110.py	SHH_WT_models_highres24225.py	SHH_WT_models_highres32152.py	SHH_WT_models_highres30124.py	SHH_WT_models_highres22408.py	SHH_WT_models_highres24510.py	SHH_WT_models_highres37991.py	SHH_WT_models_highres5372.py	SHH_WT_models_highres26145.py	SHH_WT_models_highres19348.py	SHH_WT_models_highres38783.py	SHH_WT_models_highres29979.py	SHH_WT_models_highres42018.py	SHH_WT_models_highres11523.py	SHH_WT_models_highres3231.py	SHH_WT_models_highres21540.py	SHH_WT_models_highres23577.py	SHH_WT_models_highres35265.py	SHH_WT_models_highres47034.py	SHH_WT_models_highres4341.py	SHH_WT_models_highres3582.py	SHH_WT_models_highres18351.py	SHH_WT_models_highres9291.py	SHH_WT_models_highres12921.py	SHH_WT_models_highres8464.py	SHH_WT_models_highres35888.py	SHH_WT_models_highres26312.py	SHH_WT_models_highres4519.py	SHH_WT_models_highres36644.py	SHH_WT_models_highres34615.py	SHH_WT_models_highres12667.py	SHH_WT_models_highres40847.py	SHH_WT_models_highres5566.py	SHH_WT_models_highres6237.py	SHH_WT_models_highres32499.py	SHH_WT_models_highres29850.py	SHH_WT_models_highres10187.py	SHH_WT_models_highres24201.py	SHH_WT_models_highres9675.py	SHH_WT_models_highres34461.py	SHH_WT_models_highres46795.py	SHH_WT_models_highres38476.py	SHH_WT_models_highres38863.py	SHH_WT_models_highres42035.py	SHH_WT_models_highres28239.py	SHH_WT_models_highres40612.py	SHH_WT_models_highres44157.py	SHH_WT_models_highres22341.py	SHH_WT_models_highres1278.py	SHH_WT_models_highres9943.py	SHH_WT_models_highres15028.py	SHH_WT_models_highres29602.py	SHH_WT_models_highres23364.py	SHH_WT_models_highres24271.py	SHH_WT_models_highres16398.py	SHH_WT_models_highres46286.py	SHH_WT_models_highres34081.py	SHH_WT_models_highres39524.py	SHH_WT_models_highres8869.py	SHH_WT_models_highres31237.py	SHH_WT_models_highres13336.py	SHH_WT_models_highres27253.py	SHH_WT_models_highres13173.py	SHH_WT_models_highres29684.py	SHH_WT_models_highres26194.py	SHH_WT_models_highres43177.py	SHH_WT_models_highres7009.py	SHH_WT_models_highres15999.py	SHH_WT_models_highres40714.py	SHH_WT_models_highres22556.py	SHH_WT_models_highres37468.py	SHH_WT_models_highres45161.py	SHH_WT_models_highres18275.py	SHH_WT_models_highres17982.py	SHH_WT_models_highres31883.py	SHH_WT_models_highres33734.py	SHH_WT_models_highres23265.py	SHH_WT_models_highres40816.py	SHH_WT_models_highres4191.py	SHH_WT_models_highres44104.py	SHH_WT_models_highres45383.py	SHH_WT_models_highres42354.py	SHH_WT_models_highres2023.py	SHH_WT_models_highres8601.py	SHH_WT_models_highres42759.py	SHH_WT_models_highres25678.py	SHH_WT_models_highres9303.py	SHH_WT_models_highres1537.py	SHH_WT_models_highres29052.py	SHH_WT_models_highres2418.py	SHH_WT_models_highres49590.py	SHH_WT_models_highres12514.py	SHH_WT_models_highres31225.py	SHH_WT_models_highres15620.py	SHH_WT_models_highres46847.py	SHH_WT_models_highres35901.py	SHH_WT_models_highres18887.py	SHH_WT_models_highres33371.py	
SHH_WT_models_highres6304.py	258.196	1786.476	1786.754	413.758	371.56	423.141	1766.516	388.359	363.565	286.618	214.876	338.173	368.806	465.801	430.163	357.446	323.734	1802.342	366.396	517.937	377.864	421.213	429.563	342.609	1778.643	1729.412	1746.813	1795.929	347.572	456.327	1772.031	412.326	1726.09	457.283	452.842	1774.401	436.711	323.69	1797.227	1772.787	1796.078	1704.41	406.428	1790.301	510.328	426.148	364.672	1758.392	318.101	1801.961	378.036	1771.424	1762.336	384.42	1788.261	1761.641	332.326	307.544	1733.637	391.436	279.706	1727.978	479.232	419.753	1716.782	387.14	1744.493	1717.226	414.432	323.508	476.527	465.197	436.143	396.918	1769.894	1765.928	458.186	1745.225	287.655	455.013	1729.593	1765.105	1694.314	0.0	1803.516	490.087	192.125	1781.802	1692.023	323.641	571.443	477.293	476.164	1782.406	1786.673	354.513	1758.808	1801.707	1785.26	500.339	516.848	1786.995	514.95	1783.047	1752.379	1772.816	413.723	357.901	323.353	540.071	1764.362	373.762	358.766	473.581	1727.137	1808.939	1786.896	498.863	503.24	351.773	518.984	1792.884	488.735	519.63	1755.664	1755.462	347.838	1779.72	485.45	1705.11	1790.415	495.141	338.461	1817.364	316.148	197.833	1763.152	1681.739	408.227	401.318	1798.246	1736.14	1746.421	437.973	389.463	596.91	392.059	1713.161	1776.464	443.623	336.171	1791.238	499.327	492.013	1789.514	453.337	1702.43	514.803	529.376	394.474	1808.018	1759.084	492.034	1778.083	477.044	474.38	494.602	1673.297	1750.69	320.986	1750.615	607.222	515.072	1760.781	383.704	436.736	1768.181	491.357	442.625	1777.498	1717.85	1761.491	457.081	455.166	476.1	1773.555	1787.192	521.25	1752.68	460.07	1768.81	483.754	1733.085	478.26	567.939	1745.544	1774.672	369.579	621.988	1766.648	
SHH_WT_models_highres48059.py	1749.216	328.193	273.628	1738.442	1688.394	1752.707	403.556	1722.566	1728.573	1747.604	1785.769	1767.654	1752.934	1749.934	1744.277	1757.028	1750.438	242.397	1757.897	1678.403	1747.087	1752.079	1710.531	1764.017	452.415	396.658	422.856	170.497	1762.031	1770.157	293.923	1752.858	405.494	1738.527	1758.285	406.885	1771.292	1750.606	275.678	272.751	227.457	446.767	1718.639	734.209	1696.171	1772.555	1774.672	447.674	1725.502	323.605	1764.934	336.52	494.836	1744.937	338.638	233.241	1775.381	1763.519	480.169	1735.552	1774.0	420.784	1761.997	1746.065	373.319	1765.313	421.35	451.943	1752.109	1737.715	1711.105	1739.407	1766.533	1726.45	302.856	317.347	1781.745	468.764	1737.887	1774.983	430.761	303.304	497.424	1803.516	0.0	1759.055	1788.068	398.112	467.68	1729.398	1706.785	1754.123	1765.059	401.725	387.274	1752.608	455.139	225.712	398.538	1766.937	1706.904	346.466	1696.086	342.735	341.04	416.26	1759.088	1740.312	1739.16	1768.864	323.765	1740.022	1755.415	1739.085	442.341	421.032	604.286	1765.695	1736.285	1716.513	1740.204	361.349	1741.564	1726.629	283.849	359.062	1751.454	508.347	1756.744	509.814	445.818	1737.384	1765.766	388.988	1753.725	1796.565	434.1	537.43	1782.609	1769.199	413.361	399.816	518.368	1696.687	1694.837	1740.664	1755.812	431.796	300.211	1655.31	1762.166	409.274	1741.275	1744.313	326.147	1767.68	451.603	1791.428	1754.485	1778.075	304.855	452.865	1763.364	352.568	1758.529	1755.842	1745.167	495.006	493.091	1751.194	460.759	1777.927	1715.383	337.277	1772.419	1691.033	236.892	1683.779	1757.658	413.274	384.506	369.269	1724.898	1731.579	1763.774	386.87	295.744	1799.714	473.531	1739.333	353.696	1764.916	337.528	1747.179	1793.436	379.509	410.533	1695.745	1786.175	378.04	
SHH_WT_models_highres17001.py	441.283	1754.741	1748.255	314.648	489.92	263.091	1724.474	393.533	419.343	413.827	520.243	358.621	323.028	274.187	289.345	329.899	406.307	1762.897	306.843	408.838	313.855	330.779	436.838	440.084	1740.69	1694.345	1730.089	1752.179	354.572	211.199	1737.841	342.058	1692.513	206.83	305.982	1739.048	320.447	407.467	1756.311	1734.707	1747.999	1662.18	387.733	1770.763	318.265	293.004	365.095	1718.343	457.131	1776.975	365.219	1723.248	1766.998	342.869	1748.317	1723.281	403.679	369.507	1700.509	442.562	406.517	1697.582	193.061	378.046	1690.523	359.955	1698.209	1683.223	370.784	470.334	351.392	355.728	304.898	374.02	1721.511	1692.494	276.023	1744.397	454.659	285.557	1702.275	1732.149	1674.262	490.087	1759.055	0.0	455.392	1735.364	1660.267	422.621	415.127	318.649	317.495	1733.126	1758.492	408.608	1724.786	1750.445	1731.499	188.0	347.224	1752.206	283.508	1737.586	1720.293	1721.738	369.423	363.18	395.613	397.603	1717.709	402.556	390.996	449.297	1691.037	1761.262	1774.934	193.361	240.684	472.917	425.483	1777.33	213.454	308.1	1713.583	1706.934	394.006	1748.205	282.057	1668.93	1788.3	231.346	369.641	1775.752	372.497	554.156	1714.233	1650.378	370.486	333.508	1747.24	1707.43	1755.915	565.319	494.774	420.186	331.801	1692.909	1750.5	555.753	409.125	1735.38	300.965	308.502	1751.068	249.27	1674.173	412.201	174.241	366.125	1790.325	1752.871	226.495	1722.116	166.579	338.963	276.685	1651.151	1744.414	408.225	1716.246	392.799	365.72	1721.477	307.337	456.907	1706.877	431.333	234.344	1741.528	1683.812	1723.741	410.45	335.117	222.63	1742.167	1754.652	416.445	1710.599	222.134	1735.917	294.764	1692.547	360.209	389.693	1705.979	1716.482	434.093	430.591	1730.03	
SHH_WT_models_highres41357.py	316.835	1787.453	1781.86	447.914	390.984	436.376	1761.176	370.636	346.833	336.59	249.613	318.67	360.65	477.437	460.141	328.484	339.936	1780.647	327.938	542.521	363.909	441.484	426.915	343.377	1772.98	1730.035	1742.583	1776.363	322.864	439.311	1776.182	435.891	1728.283	453.563	461.541	1769.851	465.343	368.0	1804.113	1780.834	1789.405	1701.737	375.593	1774.376	494.176	433.819	393.169	1757.054	314.649	1782.427	359.634	1764.228	1759.882	386.066	1784.219	1760.909	311.418	325.408	1731.672	353.725	300.345	1728.161	457.827	446.069	1716.48	362.263	1740.537	1719.733	433.162	370.133	482.609	495.252	402.85	373.208	1768.13	1764.615	441.298	1746.234	288.877	445.792	1732.547	1775.698	1697.377	192.125	1788.068	455.392	0.0	1775.367	1694.994	300.624	568.404	472.055	473.458	1774.332	1782.221	344.399	1758.15	1782.481	1779.749	484.922	516.636	1777.554	512.022	1778.648	1757.77	1766.395	427.281	368.477	320.305	542.335	1759.674	382.827	334.758	496.327	1734.197	1802.703	1774.946	470.106	513.386	323.371	543.573	1768.107	494.526	492.666	1760.743	1750.93	364.604	1787.733	473.254	1704.603	1772.908	508.506	303.332	1804.678	336.156	231.504	1755.351	1681.503	410.067	339.432	1791.657	1737.417	1746.519	470.395	384.826	611.994	416.042	1724.105	1773.417	484.006	390.714	1782.885	478.309	450.895	1782.992	490.17	1708.765	524.974	491.925	366.478	1790.441	1759.265	470.793	1774.693	481.811	464.512	513.319	1680.906	1751.266	347.93	1746.393	594.266	541.822	1753.415	426.805	437.495	1771.076	514.814	456.015	1773.237	1717.781	1764.007	435.726	461.206	490.382	1774.651	1780.222	523.055	1750.946	446.06	1771.16	478.053	1737.176	477.637	552.69	1742.294	1765.505	368.103	627.059	1763.622	
SHH_WT_models_highres34831.py	1730.371	384.885	340.81	1714.933	1670.768	1736.275	202.678	1701.319	1706.606	1728.56	1761.979	1760.926	1752.576	1729.615	1727.284	1757.435	1733.246	420.311	1743.35	1660.198	1749.493	1730.851	1702.75	1734.365	229.477	324.621	454.84	381.033	1733.54	1739.148	402.517	1728.184	316.873	1717.893	1728.494	269.554	1748.131	1747.635	431.945	438.86	399.018	241.28	1696.902	652.227	1664.293	1744.438	1747.65	342.319	1708.561	406.1	1753.494	246.042	362.324	1723.869	344.691	390.033	1752.746	1758.498	277.393	1700.427	1761.723	326.274	1731.177	1742.65	410.942	1765.739	197.061	360.604	1750.47	1712.701	1684.16	1725.584	1742.984	1707.705	333.038	380.659	1744.391	396.04	1725.857	1728.53	340.586	483.537	535.085	1781.802	398.112	1735.364	1775.367	0.0	390.156	1710.298	1721.727	1719.624	1730.924	134.873	442.755	1746.714	462.38	414.939	197.992	1737.225	1686.293	369.423	1682.974	360.733	473.534	162.788	1752.23	1724.551	1728.045	1791.024	276.164	1729.641	1757.14	1714.073	360.438	146.661	650.508	1724.892	1725.948	1699.201	1759.492	437.21	1729.6	1692.077	431.788	252.575	1738.275	608.214	1720.555	307.942	530.309	1724.778	1780.797	280.944	1741.74	1768.843	185.208	403.179	1744.441	1758.918	144.126	303.984	385.901	1679.492	1665.058	1771.089	1732.61	555.697	342.371	1637.515	1770.283	147.879	1703.523	1712.514	363.861	1757.682	388.417	1798.867	1723.808	1754.015	410.087	422.184	1722.083	348.241	1746.145	1708.661	1734.47	436.632	411.855	1735.479	212.595	1782.648	1695.415	362.76	1750.344	1674.674	416.99	1660.555	1742.643	269.5	428.451	310.761	1699.477	1693.374	1753.308	323.96	490.702	1799.547	255.313	1711.531	314.092	1732.527	450.605	1708.58	1796.064	321.519	140.36	1676.956	1808.633	392.848	
SHH_WT_models_highres9547.py	1647.395	404.591	446.736	1614.143	1603.031	1638.615	265.442	1636.217	1639.57	1647.967	1675.572	1690.913	1688.816	1644.742	1639.87	1698.878	1657.711	403.78	1678.135	1565.795	1687.677	1627.488	1647.911	1659.215	302.796	157.555	522.601	460.438	1664.572	1655.495	390.103	1629.539	198.064	1638.396	1633.882	277.28	1651.579	1675.95	398.707	353.442	419.6	402.078	1633.354	604.465	1584.234	1652.62	1645.324	270.512	1638.96	450.643	1698.335	342.355	412.596	1658.28	536.038	414.807	1680.676	1695.119	298.591	1632.785	1687.763	182.917	1660.649	1692.37	508.792	1706.391	329.253	156.63	1700.89	1629.287	1600.592	1623.109	1689.943	1648.137	530.553	574.73	1658.534	532.891	1658.647	1641.557	195.47	357.299	482.963	1692.023	467.68	1660.267	1694.994	390.156	0.0	1643.335	1633.267	1630.455	1639.305	400.223	508.568	1678.931	490.321	440.966	420.445	1676.292	1603.421	495.428	1603.727	566.765	420.925	432.607	1700.005	1663.949	1665.605	1706.837	324.457	1679.391	1702.746	1601.442	349.907	395.627	643.295	1654.909	1650.968	1635.627	1664.153	488.515	1652.434	1611.725	453.912	368.983	1673.783	506.693	1635.828	443.622	515.283	1643.447	1710.9	337.351	1678.96	1680.483	474.572	300.264	1645.458	1698.746	440.226	246.061	452.554	1594.368	1594.254	1694.086	1632.976	451.097	497.488	1556.637	1718.783	413.124	1612.504	1660.173	546.607	1675.519	287.478	1705.353	1657.588	1688.273	467.555	522.413	1653.298	568.905	1665.929	1620.132	1655.037	293.797	565.685	1661.507	376.176	1718.518	1622.494	547.127	1651.975	1617.017	460.319	1565.129	1655.019	318.043	539.167	300.243	1638.486	1593.361	1676.007	267.504	395.909	1712.563	356.049	1632.292	260.993	1651.942	509.198	1619.392	1720.627	263.115	444.093	1610.703	1738.175	497.116	
SHH_WT_models_highres8956.py	275.979	1715.001	1714.166	410.612	305.799	413.141	1695.356	307.344	309.833	276.315	383.035	353.98	348.29	453.534	393.008	338.277	286.793	1739.232	335.858	474.835	359.823	423.9	337.504	363.758	1719.535	1683.349	1685.031	1722.604	336.861	437.483	1700.381	383.363	1679.695	414.104	478.71	1725.835	424.936	342.524	1727.501	1709.446	1718.951	1639.89	325.965	1777.24	444.771	427.604	465.761	1708.783	323.667	1736.029	360.265	1730.811	1714.691	357.939	1714.703	1685.605	359.472	296.089	1677.472	326.26	237.209	1686.388	436.58	377.792	1641.726	320.538	1680.294	1663.046	375.422	310.438	381.508	481.521	379.428	335.663	1695.123	1691.659	478.296	1703.654	308.246	433.935	1686.937	1704.888	1633.747	323.641	1729.398	422.621	300.624	1710.298	1643.335	0.0	520.16	472.533	502.142	1726.619	1710.697	306.983	1692.565	1734.9	1726.657	461.292	411.487	1722.18	448.141	1706.524	1678.416	1712.211	352.206	297.421	189.342	492.395	1724.614	329.461	262.325	545.461	1669.309	1733.874	1737.323	458.233	425.921	314.756	486.634	1748.47	411.621	460.243	1683.186	1709.188	326.486	1712.533	490.587	1642.614	1745.693	471.419	359.899	1755.741	283.621	404.642	1696.438	1626.952	486.112	314.24	1728.414	1694.187	1706.291	411.629	330.212	526.385	454.074	1660.404	1703.683	397.357	345.835	1721.534	478.412	431.695	1713.649	433.611	1646.444	498.04	458.781	376.42	1743.581	1729.293	459.638	1701.82	423.159	483.319	446.724	1622.556	1717.566	271.745	1705.665	575.035	454.262	1680.327	413.608	303.331	1702.166	469.6	421.176	1717.785	1644.219	1711.257	399.226	448.244	420.472	1727.371	1739.452	502.97	1687.536	431.254	1715.541	463.429	1666.871	471.712	554.942	1713.26	1701.281	282.042	577.818	1687.323	
SHH_WT_models_highres32733.py	497.223	1680.663	1685.542	427.21	471.184	401.068	1704.213	443.096	446.525	500.467	570.614	491.025	493.122	404.417	400.072	497.928	480.144	1697.135	495.526	394.706	499.199	428.718	474.123	515.12	1720.698	1671.052	1672.416	1695.254	472.991	371.088	1671.575	437.382	1671.437	418.188	409.879	1720.87	442.892	508.642	1685.364	1665.77	1693.52	1656.934	445.453	1755.417	355.392	422.832	473.594	1683.033	487.828	1708.946	507.382	1721.844	1737.132	479.506	1698.839	1661.482	510.935	516.865	1684.97	459.7	525.965	1680.202	405.618	533.367	1640.406	518.381	1685.666	1659.387	559.841	506.046	408.174	412.453	538.18	463.276	1672.86	1654.333	415.164	1718.33	520.435	427.292	1683.623	1656.624	1596.085	571.443	1706.785	415.127	568.404	1721.727	1633.267	520.16	0.0	421.834	411.187	1725.749	1698.112	508.853	1655.847	1696.697	1718.979	431.66	410.767	1687.913	386.707	1691.217	1656.407	1712.193	561.248	530.649	525.041	270.107	1715.165	524.17	519.424	517.98	1680.677	1744.206	1708.823	406.804	445.691	513.936	248.693	1716.181	438.379	342.627	1657.974	1710.044	521.806	1667.076	389.117	1664.589	1711.581	407.551	543.47	1754.268	538.292	601.496	1709.65	1623.496	473.02	539.098	1734.102	1697.253	1727.786	518.175	498.072	366.881	443.51	1619.614	1696.04	501.213	551.796	1723.987	406.491	539.413	1699.466	432.189	1660.853	293.801	423.376	500.575	1725.814	1728.753	412.537	1676.592	437.69	447.018	430.825	1637.628	1726.68	511.364	1709.836	305.97	415.772	1686.103	455.314	505.777	1661.329	457.759	428.201	1721.178	1638.878	1707.599	464.13	430.513	453.298	1724.07	1685.383	267.607	1692.605	413.259	1713.612	426.358	1648.961	450.053	276.788	1697.188	1710.892	492.859	345.443	1674.908	
SHH_WT_models_highres12385.py	399.897	1730.611	1736.801	219.285	497.019	253.445	1702.441	413.223	428.091	403.189	473.042	376.968	439.57	233.448	311.06	388.845	440.134	1738.05	385.551	346.27	410.84	261.825	518.65	357.316	1709.394	1663.59	1716.615	1737.225	397.528	188.276	1719.557	286.387	1667.009	256.617	157.731	1710.381	248.768	441.009	1737.104	1706.172	1736.436	1651.171	442.78	1726.972	290.786	254.703	321.678	1682.92	522.289	1758.86	401.306	1709.369	1744.73	409.602	1737.512	1715.206	366.913	476.828	1673.849	425.38	451.67	1665.782	236.671	501.509	1685.167	438.462	1682.083	1661.565	521.005	434.23	374.867	293.608	440.069	449.732	1715.108	1692.432	188.973	1737.684	518.195	158.866	1675.945	1706.778	1654.498	477.293	1754.123	318.649	472.055	1719.624	1630.455	472.533	421.834	0.0	144.782	1715.155	1744.706	493.427	1702.114	1735.016	1715.333	314.94	373.746	1729.877	402.14	1735.643	1705.715	1705.939	521.45	502.514	473.958	446.763	1704.07	496.862	462.709	370.585	1678.459	1741.743	1743.615	243.824	408.613	551.355	388.705	1750.579	396.866	216.01	1700.13	1699.572	502.928	1725.64	147.209	1652.831	1767.164	347.012	467.132	1752.47	485.149	517.329	1705.446	1610.92	285.607	450.166	1731.276	1686.192	1729.057	536.139	425.642	547.129	321.294	1666.13	1744.136	504.4	478.023	1723.454	212.572	482.072	1744.582	353.157	1650.997	395.657	348.955	420.77	1769.005	1742.794	228.383	1715.549	378.141	132.968	385.7	1623.278	1739.823	476.151	1695.879	476.511	385.183	1727.205	292.877	549.914	1698.962	301.48	357.906	1715.615	1681.0	1705.724	465.014	216.966	390.22	1715.749	1729.829	383.505	1684.975	332.365	1712.487	207.31	1681.409	183.199	415.782	1682.96	1712.127	526.7	541.592	1722.155	
SHH_WT_models_highres1093.py	397.37	1741.724	1746.628	223.852	485.733	233.851	1712.045	421.078	409.895	402.51	474.959	354.417	410.03	216.4	293.849	381.615	425.593	1749.62	374.704	335.48	392.901	263.866	497.759	356.335	1720.977	1673.529	1728.245	1747.146	375.191	172.839	1735.599	304.215	1675.489	270.461	107.472	1717.508	255.082	420.288	1750.447	1718.381	1749.975	1659.05	432.068	1731.602	264.686	199.081	308.687	1690.798	513.071	1772.095	395.792	1716.664	1750.182	409.824	1750.844	1728.025	359.078	449.029	1682.142	409.072	454.771	1676.507	252.426	491.655	1694.365	451.559	1691.333	1668.817	511.645	427.093	387.522	249.267	439.862	432.95	1724.374	1703.574	108.788	1745.297	510.053	196.964	1683.331	1716.894	1661.853	476.164	1765.059	317.495	473.458	1730.924	1639.305	502.142	411.187	144.782	0.0	1724.467	1758.865	469.042	1717.806	1748.249	1722.017	315.21	390.596	1740.787	367.537	1746.489	1718.375	1714.607	511.036	502.272	491.736	443.953	1711.558	476.935	459.202	351.845	1683.837	1754.076	1753.087	249.541	420.134	536.697	397.462	1763.956	398.276	232.518	1711.343	1707.0	491.691	1735.824	112.574	1662.253	1774.916	316.469	464.226	1758.515	486.934	508.679	1712.867	1621.31	280.538	449.845	1740.359	1694.07	1738.41	502.416	444.162	562.483	295.857	1678.095	1759.34	501.562	469.495	1732.586	197.505	475.182	1756.738	347.507	1664.187	403.71	345.15	395.92	1780.471	1749.086	236.263	1727.902	375.565	148.415	373.02	1633.803	1747.557	459.336	1701.778	465.192	362.048	1738.59	291.507	551.691	1709.879	298.997	358.055	1723.659	1690.377	1714.336	430.554	214.423	395.197	1723.796	1738.889	403.376	1701.4	320.353	1722.37	226.868	1692.019	194.29	394.691	1689.346	1722.555	517.456	537.265	1737.389	
SHH_WT_models_highres15191.py	1741.018	380.797	334.513	1720.294	1684.663	1741.277	225.205	1714.274	1717.783	1739.456	1766.867	1766.892	1765.346	1738.314	1738.934	1764.797	1745.548	404.513	1748.12	1669.517	1760.621	1729.749	1719.203	1741.683	234.179	327.987	456.105	373.396	1739.973	1729.815	412.091	1732.202	319.28	1715.3	1725.042	277.138	1752.81	1759.577	433.637	432.424	393.805	252.134	1708.28	630.146	1672.545	1749.076	1740.071	322.811	1721.98	401.437	1760.228	218.34	365.802	1732.522	320.184	416.693	1752.178	1773.833	280.223	1710.534	1774.066	324.234	1725.37	1758.855	423.228	1776.611	194.899	371.574	1760.48	1723.23	1695.591	1728.237	1745.797	1718.391	325.159	362.562	1735.135	399.904	1736.273	1723.951	336.679	483.707	548.522	1782.406	401.725	1733.126	1774.332	134.873	400.223	1726.619	1725.749	1715.155	1724.467	0.0	460.38	1762.067	469.373	399.175	150.153	1730.231	1695.811	354.361	1690.469	343.788	478.471	122.594	1766.569	1736.184	1743.821	1795.247	259.672	1742.088	1778.688	1705.882	347.059	163.489	631.235	1717.356	1732.161	1712.1	1760.948	429.984	1735.052	1695.492	429.054	243.893	1751.017	618.019	1714.13	320.159	520.512	1720.472	1783.288	282.549	1752.437	1769.597	182.644	424.22	1733.362	1769.044	121.772	305.546	380.963	1689.551	1675.569	1771.2	1728.749	558.221	366.144	1646.934	1786.805	148.853	1703.009	1714.578	349.349	1765.117	398.599	1788.971	1719.087	1760.799	404.051	404.862	1718.186	329.045	1746.954	1705.087	1743.469	438.553	394.269	1747.199	176.936	1769.86	1708.746	395.026	1744.953	1688.687	407.409	1666.302	1738.904	285.642	439.019	307.872	1711.596	1691.05	1758.149	328.232	475.333	1784.838	278.511	1707.444	332.067	1732.229	438.695	1711.514	1781.741	322.465	163.293	1687.893	1807.621	395.232	
