	SHH_WT_models_highres25781.py	SHH_WT_models_highres38863.py	SHH_WT_models_highres38476.py	SHH_WT_models_highres22341.py	SHH_WT_models_highres6304.py	SHH_WT_models_highres41357.py	SHH_WT_models_highres24080.py	SHH_WT_models_highres6237.py	SHH_WT_models_highres45383.py	SHH_WT_models_highres49960.py	SHH_WT_models_highres23113.py	SHH_WT_models_highres38036.py	SHH_WT_models_highres11881.py	SHH_WT_models_highres49526.py	SHH_WT_models_highres8956.py	SHH_WT_models_highres6417.py	SHH_WT_models_highres41632.py	SHH_WT_models_highres35265.py	SHH_WT_models_highres11087.py	SHH_WT_models_highres17982.py	SHH_WT_models_highres35901.py	SHH_WT_models_highres17943.py	SHH_WT_models_highres22748.py	SHH_WT_models_highres35879.py	SHH_WT_models_highres31596.py	SHH_WT_models_highres11966.py	SHH_WT_models_highres1278.py	SHH_WT_models_highres29282.py	SHH_WT_models_highres37336.py	SHH_WT_models_highres22408.py	SHH_WT_models_highres9157.py	SHH_WT_models_highres20506.py	SHH_WT_models_highres4319.py	SHH_WT_models_highres15999.py	SHH_WT_models_highres19348.py	SHH_WT_models_highres37991.py	SHH_WT_models_highres8464.py	SHH_WT_models_highres24510.py	SHH_WT_models_highres5566.py	SHH_WT_models_highres29602.py	SHH_WT_models_highres38783.py	SHH_WT_models_highres12667.py	SHH_WT_models_highres34760.py	SHH_WT_models_highres1670.py	SHH_WT_models_highres24201.py	SHH_WT_models_highres19906.py	SHH_WT_models_highres3504.py	SHH_WT_models_highres49057.py	SHH_WT_models_highres39524.py	SHH_WT_models_highres49180.py	SHH_WT_models_highres49927.py	SHH_WT_models_highres31879.py	SHH_WT_models_highres34517.py	SHH_WT_models_highres10104.py	SHH_WT_models_highres23829.py	SHH_WT_models_highres30712.py	SHH_WT_models_highres42035.py	SHH_WT_models_highres22556.py	SHH_WT_models_highres18887.py	SHH_WT_models_highres5372.py	SHH_WT_models_highres31225.py	SHH_WT_models_highres46286.py	SHH_WT_models_highres25678.py	SHH_WT_models_highres32733.py	SHH_WT_models_highres47034.py	SHH_WT_models_highres8504.py	SHH_WT_models_highres47141.py	SHH_WT_models_highres21540.py	SHH_WT_models_highres13336.py	SHH_WT_models_highres1537.py	SHH_WT_models_highres17001.py	SHH_WT_models_highres92.py	SHH_WT_models_highres34081.py	SHH_WT_models_highres24271.py	SHH_WT_models_highres23265.py	SHH_WT_models_highres26194.py	SHH_WT_models_highres13173.py	SHH_WT_models_highres2023.py	SHH_WT_models_highres23577.py	SHH_WT_models_highres3582.py	SHH_WT_models_highres12864.py	SHH_WT_models_highres34615.py	SHH_WT_models_highres22983.py	SHH_WT_models_highres47636.py	SHH_WT_models_highres23072.py	SHH_WT_models_highres37859.py	SHH_WT_models_highres34599.py	SHH_WT_models_highres42525.py	SHH_WT_models_highres14127.py	SHH_WT_models_highres5395.py	SHH_WT_models_highres43463.py	SHH_WT_models_highres10187.py	SHH_WT_models_highres18275.py	SHH_WT_models_highres2349.py	SHH_WT_models_highres28239.py	SHH_WT_models_highres12514.py	SHH_WT_models_highres12385.py	SHH_WT_models_highres29684.py	SHH_WT_models_highres15028.py	SHH_WT_models_highres30575.py	SHH_WT_models_highres26312.py	SHH_WT_models_highres42203.py	SHH_WT_models_highres1093.py	SHH_WT_models_highres38114.py	SHH_WT_models_highres2418.py	SHH_WT_models_highres42354.py	SHH_WT_models_highres33745.py	SHH_WT_models_highres18351.py	SHH_WT_models_highres29979.py	SHH_WT_models_highres12150.py	SHH_WT_models_highres33734.py	SHH_WT_models_highres26110.py	SHH_WT_models_highres37468.py	SHH_WT_models_highres41537.py	SHH_WT_models_highres18152.py	
SHH_WT_models_highres4319.py	1681.831	384.737	401.249	1655.568	1636.531	1677.417	230.999	1666.48	1671.51	1683.141	1708.39	1719.741	1715.685	1677.782	1673.222	1725.172	1689.966	354.677	1705.842	1605.331	1714.319	1668.23	1675.519	1690.878	253.067	146.349	489.936	394.629	1694.766	1688.802	382.253	1669.683	0.0	1669.58	1668.953	182.498	1689.159	1709.736	344.817	361.869	389.917	328.827	1662.802	598.842	1621.566	1690.558	1681.044	260.072	1672.254	407.902	1720.496	247.85	361.859	1686.878	468.372	374.634	1710.24	1725.13	283.514	1667.459	1722.552	128.452	1685.22	1717.482	489.538	1735.626	264.74	126.226	1723.696	1662.751	1641.298	1661.298	1713.354	1677.142	455.704	493.148	1691.326	452.225	1689.958	1680.22	92.567	350.221	487.043	1726.09	405.494	1692.513	1728.283	316.873	198.064	1679.695	1671.437	1667.009	1675.489	319.28	495.843	1711.352	484.742	384.65	317.846	1696.148	1640.24	446.656	1637.5	489.492	414.747	344.91	1724.522	1691.526	1698.606	1739.827	219.262	1698.414	1736.321	1638.82	288.538	
SHH_WT_models_highres15999.py	389.65	1735.407	1732.079	234.069	468.295	232.606	1704.003	382.586	418.342	356.965	460.889	362.7	340.821	192.81	242.55	341.45	377.746	1737.982	345.313	342.524	342.834	247.929	421.76	412.557	1720.104	1671.341	1713.227	1724.437	371.272	201.544	1718.595	263.759	1669.58	0.0	251.088	1717.36	231.583	389.533	1733.693	1709.476	1726.758	1641.854	398.377	1752.482	298.458	286.168	305.104	1698.174	448.686	1757.708	366.673	1704.698	1748.215	358.732	1729.813	1706.084	390.847	392.504	1681.125	451.439	381.179	1675.002	188.581	363.007	1672.209	380.057	1680.867	1663.67	366.131	417.749	326.643	272.092	349.222	393.685	1704.76	1674.03	245.296	1726.767	428.099	252.793	1679.013	1708.906	1656.608	457.283	1738.527	206.83	453.563	1717.893	1638.396	414.104	418.188	256.617	270.461	1715.3	1742.356	404.662	1708.75	1726.254	1711.077	203.755	293.615	1732.873	282.72	1721.782	1695.851	1703.035	368.235	363.692	371.544	370.685	1697.134	377.56	419.926	376.902	1666.172	
SHH_WT_models_highres19348.py	372.669	1740.209	1744.506	189.989	468.201	197.308	1708.293	406.726	403.556	381.77	460.77	343.481	391.055	186.507	254.05	373.541	400.859	1747.539	367.571	310.619	378.827	241.804	476.703	347.934	1720.145	1668.928	1722.64	1742.148	361.664	175.438	1728.83	282.157	1668.953	251.088	0.0	1715.948	228.171	404.62	1742.736	1713.227	1745.386	1652.894	417.338	1734.205	267.766	174.061	291.878	1689.135	489.806	1769.62	389.445	1716.725	1748.023	388.772	1747.722	1719.405	359.94	425.808	1680.375	413.484	433.696	1672.744	237.365	468.014	1689.078	436.761	1688.943	1661.608	492.731	402.788	370.248	220.807	432.491	426.995	1720.444	1700.807	130.052	1741.914	491.904	214.756	1677.793	1710.675	1656.799	452.842	1758.285	305.982	461.541	1728.494	1633.882	478.71	409.879	157.731	107.472	1725.042	1753.728	440.365	1715.943	1744.59	1721.447	302.723	369.893	1739.522	346.676	1741.634	1709.943	1714.062	490.638	478.483	468.963	431.89	1709.681	450.643	441.003	336.666	1675.649	
SHH_WT_models_highres37991.py	1730.756	376.641	397.404	1707.258	1683.817	1731.086	207.542	1707.732	1719.447	1729.567	1754.207	1764.217	1761.142	1726.676	1728.383	1769.183	1736.269	374.343	1749.644	1659.847	1761.392	1719.337	1715.786	1735.083	175.368	230.759	458.252	404.231	1737.863	1730.452	422.807	1720.603	182.498	1717.36	1715.948	0.0	1744.316	1758.889	385.917	403.106	427.45	311.783	1704.936	588.3	1670.15	1743.775	1726.197	257.303	1716.388	380.194	1765.124	260.563	329.31	1729.708	451.903	371.758	1750.446	1774.548	294.552	1712.653	1772.518	209.255	1730.308	1760.021	465.925	1779.238	242.621	228.993	1773.999	1712.715	1694.485	1715.087	1758.215	1724.33	444.719	496.637	1730.192	450.666	1737.868	1721.872	195.475	420.383	497.328	1774.401	406.885	1739.048	1769.851	269.554	277.28	1725.835	1720.87	1710.381	1717.508	277.138	476.638	1757.515	473.517	410.301	276.675	1740.547	1693.74	430.573	1690.641	461.772	452.052	310.894	1771.979	1735.568	1741.479	1795.291	253.156	1748.709	1780.386	1686.408	281.56	
SHH_WT_models_highres8464.py	356.173	1753.418	1756.36	149.22	449.35	180.697	1723.701	416.901	434.3	341.294	443.897	394.23	397.589	203.128	215.069	406.641	395.263	1762.285	402.847	293.652	378.653	187.934	443.525	406.389	1744.141	1690.678	1730.062	1754.768	408.747	251.67	1735.613	205.504	1689.159	231.583	228.171	1744.316	0.0	398.054	1753.458	1726.651	1752.232	1665.201	445.497	1772.857	309.12	247.008	273.55	1714.427	468.661	1779.869	426.498	1743.145	1776.935	425.959	1755.12	1727.615	416.713	404.344	1701.344	459.661	369.221	1695.407	287.081	408.727	1690.586	442.914	1708.003	1678.584	439.16	362.027	298.668	196.915	458.982	434.652	1732.527	1717.94	260.817	1769.874	455.886	263.452	1698.112	1721.584	1669.805	436.711	1771.292	320.447	465.343	1748.131	1651.579	424.936	442.892	248.768	255.082	1752.81	1762.501	433.552	1729.014	1755.68	1746.987	336.582	282.603	1756.302	319.036	1750.002	1712.195	1739.166	434.415	431.336	432.868	394.482	1733.161	410.088	420.427	351.922	1683.501	
SHH_WT_models_highres24510.py	247.356	1740.839	1739.084	392.018	316.417	371.7	1730.74	297.931	246.909	243.642	372.251	261.832	255.62	384.632	380.698	269.914	309.488	1763.055	282.415	428.313	244.115	396.528	345.053	307.095	1754.771	1717.597	1711.414	1745.952	305.363	403.719	1728.674	410.94	1709.736	389.533	404.62	1758.889	398.054	0.0	1760.347	1737.794	1748.403	1670.204	304.017	1806.732	422.793	377.29	435.589	1740.706	370.002	1755.181	306.426	1756.936	1747.109	284.486	1736.104	1713.358	303.335	241.669	1697.801	324.94	309.0	1720.994	421.99	319.021	1668.731	362.045	1710.99	1696.792	339.876	328.944	433.227	419.0	346.077	288.729	1718.482	1719.393	410.188	1743.558	301.827	406.627	1714.32	1738.577	1667.843	323.69	1750.606	407.467	368.0	1747.635	1675.95	342.524	508.642	441.009	420.288	1759.577	1735.075	332.396	1732.475	1761.802	1749.848	431.269	435.852	1744.476	389.94	1731.701	1709.945	1737.169	355.622	343.194	316.848	513.433	1759.152	317.847	352.425	486.712	1688.149	
SHH_WT_models_highres5566.py	1740.214	225.465	242.102	1722.293	1680.841	1742.396	398.021	1720.352	1726.311	1742.293	1777.371	1780.503	1768.176	1742.244	1733.853	1776.997	1748.246	148.36	1771.638	1662.18	1765.261	1735.995	1714.276	1757.7	405.775	350.357	376.459	257.96	1763.883	1756.478	207.218	1739.263	344.817	1733.693	1742.736	385.917	1753.458	1760.347	0.0	202.469	218.115	469.216	1717.826	686.328	1683.509	1761.581	1757.379	375.353	1722.958	232.662	1781.65	376.655	478.547	1749.11	359.642	233.276	1786.094	1773.799	448.252	1728.709	1777.622	358.812	1751.023	1761.301	395.382	1790.405	424.66	369.928	1776.512	1722.013	1697.512	1725.628	1785.284	1732.064	367.108	404.565	1770.7	506.012	1741.175	1755.181	367.816	184.421	393.07	1797.227	275.678	1756.311	1804.113	431.945	398.707	1727.501	1685.364	1737.104	1750.447	433.637	381.158	1762.03	356.488	204.687	445.301	1762.845	1694.408	323.005	1693.605	383.526	267.454	465.125	1777.327	1746.129	1746.377	1751.536	360.268	1749.19	1771.638	1717.849	445.34	
SHH_WT_models_highres29602.py	1717.57	249.876	263.611	1693.287	1659.658	1712.539	376.445	1704.717	1708.267	1719.321	1755.021	1764.497	1753.666	1721.82	1714.032	1764.467	1728.901	183.264	1757.758	1635.743	1752.081	1703.05	1699.943	1741.51	414.912	317.269	372.673	256.652	1746.901	1729.206	194.61	1706.745	361.869	1709.476	1713.227	403.106	1726.651	1737.794	202.469	0.0	195.705	455.199	1703.334	685.184	1662.72	1734.237	1726.843	367.309	1706.621	282.272	1773.656	368.039	480.899	1734.464	372.382	253.731	1769.83	1756.237	423.982	1709.354	1758.756	355.329	1734.338	1748.48	373.111	1778.437	416.741	383.372	1765.146	1699.289	1671.48	1693.646	1775.646	1717.893	378.471	426.691	1739.559	517.166	1723.866	1726.918	381.593	180.295	397.994	1772.787	272.751	1734.707	1780.834	438.86	353.442	1709.446	1665.77	1706.172	1718.381	432.424	385.014	1743.308	366.538	213.426	451.477	1749.181	1671.811	324.462	1670.383	414.167	241.448	462.71	1763.902	1731.676	1731.173	1733.965	347.594	1740.956	1757.132	1689.35	427.074	
SHH_WT_models_highres38783.py	1739.482	285.935	233.932	1722.299	1677.426	1739.765	375.639	1718.412	1722.433	1739.799	1777.717	1764.128	1751.898	1745.265	1733.971	1756.289	1744.837	181.791	1757.848	1665.952	1749.692	1733.257	1707.603	1757.944	430.877	359.022	397.715	206.043	1758.714	1751.464	177.532	1734.449	389.917	1726.758	1745.386	427.45	1752.232	1748.403	218.115	195.705	0.0	444.056	1715.581	704.586	1685.794	1758.552	1756.039	401.973	1718.86	300.711	1764.897	334.619	492.899	1743.674	337.581	255.715	1770.569	1761.356	441.372	1726.534	1769.932	378.111	1747.469	1747.406	376.162	1769.603	406.961	414.789	1757.006	1722.477	1690.934	1726.216	1770.234	1724.109	351.487	336.677	1766.246	472.056	1733.293	1753.75	409.114	224.232	458.594	1796.078	227.457	1747.999	1789.405	399.018	419.6	1718.951	1693.52	1736.436	1749.975	393.805	367.934	1749.698	365.582	150.024	432.3	1756.124	1691.446	325.652	1688.497	380.884	270.58	432.935	1760.902	1737.214	1737.21	1753.089	317.338	1737.593	1756.772	1719.749	446.055	
SHH_WT_models_highres12667.py	1651.094	444.848	399.526	1635.544	1603.479	1654.96	243.652	1630.556	1635.381	1649.593	1684.922	1680.82	1672.718	1649.16	1647.623	1681.081	1656.737	457.421	1665.603	1586.255	1669.698	1654.38	1632.583	1657.272	307.932	356.442	424.728	419.006	1658.265	1672.175	456.618	1652.274	328.827	1641.854	1652.894	311.783	1665.201	1670.204	469.216	455.199	444.056	0.0	1628.756	685.314	1593.551	1664.572	1673.583	385.378	1640.174	456.821	1678.46	297.813	392.937	1649.219	405.223	419.277	1677.447	1681.756	300.679	1631.973	1685.279	369.405	1662.936	1669.534	371.792	1694.689	219.374	379.124	1673.297	1632.318	1614.994	1643.965	1670.233	1635.706	376.771	405.628	1674.669	440.835	1653.854	1660.572	356.439	514.103	502.246	1704.41	446.767	1662.18	1701.737	241.28	402.078	1639.89	1656.934	1651.171	1659.05	252.134	473.082	1671.182	487.606	452.067	247.705	1668.431	1614.558	431.619	1607.074	395.863	453.296	245.72	1675.158	1647.494	1655.826	1714.417	313.218	1653.077	1686.057	1645.298	255.086	
SHH_WT_models_highres34760.py	324.792	1702.839	1704.965	434.468	271.001	413.937	1684.482	156.13	176.245	308.244	401.277	250.347	263.746	379.066	404.053	265.231	304.825	1728.686	259.432	425.724	279.056	452.975	246.079	309.128	1702.227	1673.78	1675.212	1712.903	277.321	400.267	1695.139	424.914	1662.802	398.377	417.338	1704.936	445.497	304.017	1717.826	1703.334	1715.581	1628.756	0.0	1756.999	352.623	416.561	465.745	1691.469	278.032	1725.191	290.776	1719.923	1699.51	299.008	1703.275	1673.861	276.682	309.908	1661.932	214.67	351.556	1675.808	397.767	350.506	1632.792	310.718	1663.26	1649.094	394.456	361.991	404.876	458.107	319.737	216.108	1679.696	1678.78	398.528	1696.825	292.958	403.534	1670.181	1699.058	1622.662	406.428	1718.639	387.733	375.593	1696.902	1633.354	325.965	445.453	442.78	432.068	1708.28	1703.084	305.054	1683.428	1727.56	1700.201	406.351	394.603	1706.516	384.205	1693.163	1675.11	1690.664	378.239	343.868	316.329	504.99	1717.316	357.207	341.52	521.682	1657.849	
SHH_WT_models_highres1670.py	1777.236	663.933	684.391	1741.714	1737.802	1761.2	612.174	1762.393	1766.294	1777.158	1766.97	1802.723	1813.672	1769.607	1769.044	1811.223	1784.697	675.787	1793.585	1702.99	1810.122	1737.99	1767.07	1776.142	600.428	586.682	691.558	711.996	1780.737	1744.876	703.906	1747.326	598.842	1752.482	1734.205	588.3	1772.857	1806.732	686.328	685.184	704.586	685.314	1756.999	0.0	1714.149	1766.011	1734.573	507.446	1754.735	697.653	1811.474	642.253	682.85	1784.314	750.656	704.263	1781.683	1817.078	617.774	1757.462	1809.191	577.852	1753.402	1810.391	761.755	1817.622	623.795	590.543	1828.706	1760.392	1732.042	1745.365	1804.056	1774.689	748.212	780.802	1740.132	765.804	1771.265	1740.28	595.419	673.638	692.002	1790.301	734.209	1770.763	1774.376	652.227	604.465	1777.24	1755.417	1726.972	1731.602	630.146	675.868	1804.303	657.491	713.647	660.558	1767.243	1734.503	685.864	1737.35	769.256	730.091	672.48	1828.719	1790.386	1796.761	1821.315	640.08	1801.052	1825.585	1675.956	677.354	
SHH_WT_models_highres24201.py	428.777	1673.283	1676.479	284.981	403.633	283.64	1646.536	359.149	334.825	424.318	510.837	404.64	416.139	257.49	260.316	403.262	429.274	1697.065	400.686	232.026	405.772	306.887	406.924	412.536	1664.514	1626.601	1659.964	1681.966	391.292	242.673	1663.163	308.082	1621.566	298.458	267.766	1670.15	309.12	422.793	1683.509	1662.72	1685.794	1593.551	352.623	1714.149	0.0	258.919	359.171	1638.256	434.485	1704.561	405.592	1679.517	1700.258	413.456	1678.129	1652.619	413.698	454.027	1621.062	347.2	456.028	1633.449	278.555	475.764	1619.35	438.894	1629.573	1605.773	497.614	442.286	270.631	298.494	438.222	360.167	1650.763	1638.091	258.924	1702.742	438.913	257.917	1632.193	1657.307	1592.739	510.328	1696.171	318.265	494.176	1664.293	1584.234	444.771	355.392	290.786	264.686	1672.545	1686.55	446.927	1655.958	1695.441	1665.823	315.852	273.43	1676.708	260.882	1670.146	1647.716	1655.382	503.956	469.694	450.182	435.464	1676.783	441.605	454.303	399.04	1620.878	
SHH_WT_models_highres19906.py	361.596	1758.167	1758.735	209.088	434.374	197.614	1723.27	420.187	372.544	376.887	479.13	361.895	375.553	259.71	208.063	376.304	379.6	1772.92	366.071	317.066	372.935	261.519	448.929	373.191	1745.791	1691.33	1736.375	1759.271	354.197	186.869	1740.324	285.102	1690.558	286.168	174.061	1743.775	247.008	377.29	1761.581	1734.237	1758.552	1664.572	416.561	1766.011	258.919	0.0	311.954	1710.936	468.853	1790.869	390.149	1741.972	1769.57	398.966	1762.788	1731.405	389.833	374.552	1693.687	381.522	392.739	1697.444	259.968	456.089	1695.051	418.08	1706.495	1676.486	456.614	398.74	328.922	250.93	415.387	392.108	1734.351	1718.436	199.528	1763.139	459.887	247.748	1699.365	1727.71	1669.249	426.148	1772.555	293.004	433.819	1744.438	1652.62	427.604	422.832	254.703	199.081	1749.076	1763.013	403.751	1735.409	1769.192	1746.269	314.859	350.061	1761.247	312.808	1754.975	1720.423	1735.553	455.151	444.657	430.026	424.447	1734.87	406.726	377.333	368.324	1690.536	
SHH_WT_models_highres3504.py	400.741	1759.674	1765.329	250.639	468.703	249.621	1727.094	450.084	464.806	390.863	351.34	426.13	427.86	277.451	280.698	446.974	417.705	1754.687	443.296	353.742	440.429	249.03	471.405	452.346	1733.725	1680.003	1738.477	1757.667	429.77	314.387	1743.441	252.818	1681.044	305.104	291.878	1726.197	273.55	435.589	1757.379	1726.843	1756.039	1673.583	465.745	1734.573	359.171	311.954	0.0	1704.111	406.239	1782.417	469.881	1723.639	1761.946	451.291	1772.313	1738.172	435.546	414.455	1699.756	490.397	417.854	1681.627	354.954	461.584	1708.311	484.933	1706.731	1675.352	496.935	430.196	348.161	258.518	497.716	467.515	1746.975	1725.585	293.875	1754.225	405.838	335.519	1687.978	1721.375	1674.327	364.672	1774.672	365.095	393.169	1747.65	1645.324	465.761	473.594	321.678	308.687	1740.071	1778.462	450.404	1730.843	1751.121	1740.33	387.039	370.641	1767.393	368.13	1767.36	1724.714	1735.282	485.507	433.942	443.088	450.366	1715.089	467.888	473.219	296.877	1689.234	
SHH_WT_models_highres49057.py	1714.107	331.286	365.041	1678.542	1664.073	1703.082	262.001	1696.899	1698.046	1715.529	1739.597	1752.27	1750.824	1705.418	1702.236	1758.118	1723.628	369.6	1738.562	1627.462	1748.135	1691.634	1703.102	1719.292	259.18	235.834	451.771	418.356	1726.682	1706.864	387.335	1694.888	260.072	1698.174	1689.135	257.303	1714.427	1740.706	375.353	367.309	401.973	385.378	1691.469	507.446	1638.256	1710.936	1704.111	0.0	1701.089	389.769	1755.031	335.885	421.516	1722.185	462.991	392.789	1738.159	1757.763	280.014	1690.174	1754.033	235.97	1710.157	1752.199	472.538	1769.745	294.726	249.383	1765.044	1695.785	1661.818	1686.192	1748.973	1705.701	460.598	516.531	1709.239	539.796	1718.187	1695.718	269.296	371.169	458.644	1758.392	447.674	1718.343	1757.054	342.319	270.512	1708.783	1683.033	1682.92	1690.798	322.811	476.555	1744.015	424.564	422.824	365.336	1725.885	1663.106	407.214	1663.958	493.288	436.017	382.187	1763.93	1726.722	1729.107	1760.395	339.0	1738.061	1764.693	1663.111	385.986	
SHH_WT_models_highres39524.py	349.807	1708.312	1707.559	463.803	292.517	445.467	1694.281	288.396	316.545	330.379	322.028	363.857	332.217	444.473	414.768	378.228	305.379	1733.152	374.578	469.86	376.136	455.26	244.84	422.011	1717.118	1678.848	1669.432	1716.404	339.243	473.383	1699.056	425.91	1672.254	448.686	489.806	1716.388	468.661	370.002	1722.958	1706.621	1718.86	1640.174	278.032	1754.735	434.485	468.853	406.239	1701.089	0.0	1728.382	396.049	1726.673	1708.973	366.769	1709.497	1681.149	382.254	324.177	1681.48	347.492	325.778	1683.18	480.983	351.064	1635.343	368.128	1678.061	1658.145	392.631	369.17	401.226	468.036	431.452	297.271	1688.577	1685.341	478.467	1700.52	190.954	483.2	1678.467	1700.709	1622.499	318.101	1725.502	457.131	314.649	1708.561	1638.96	323.667	487.828	522.289	513.071	1721.98	1708.226	280.966	1682.824	1731.428	1715.148	481.078	409.299	1712.332	420.464	1700.21	1677.947	1706.051	386.474	297.009	306.219	500.9	1721.873	352.389	352.75	517.067	1668.193	
SHH_WT_models_highres49180.py	1753.988	211.923	222.953	1748.853	1691.268	1768.919	414.093	1726.316	1734.579	1752.436	1787.245	1778.077	1761.935	1761.747	1762.367	1772.398	1758.883	194.827	1772.587	1684.829	1763.185	1764.753	1716.51	1771.914	364.752	412.388	322.859	310.372	1772.837	1779.047	249.537	1765.056	407.902	1757.708	1769.62	380.194	1779.869	1755.181	232.662	282.272	300.711	456.821	1725.191	697.653	1704.561	1790.869	1782.417	389.769	1728.382	0.0	1783.863	373.665	473.149	1755.048	299.364	238.221	1788.432	1765.865	430.529	1741.71	1777.832	412.7	1775.79	1757.177	368.652	1786.516	397.007	441.374	1768.871	1741.73	1718.496	1755.538	1788.127	1736.303	330.036	384.076	1789.376	530.827	1740.594	1771.682	425.173	323.111	412.577	1801.961	323.605	1776.975	1782.427	406.1	450.643	1736.029	1708.946	1758.86	1772.095	401.437	385.11	1754.707	323.426	250.349	418.339	1784.672	1718.835	263.851	1714.251	324.999	330.719	429.758	1771.912	1749.515	1746.099	1785.499	401.068	1755.492	1763.328	1747.377	434.871	
SHH_WT_models_highres49927.py	314.349	1772.111	1765.536	422.6	421.234	430.003	1748.15	268.197	276.536	310.094	402.828	200.257	243.102	384.864	411.143	120.531	311.556	1783.721	163.582	507.401	187.12	449.314	378.274	229.901	1762.501	1734.187	1742.67	1760.98	213.935	348.506	1756.537	458.894	1720.496	366.673	389.445	1765.124	426.498	306.426	1781.65	1773.656	1764.897	1678.46	290.776	1811.474	405.592	390.149	469.881	1755.031	396.049	1783.863	0.0	1766.138	1756.014	217.155	1762.367	1739.222	185.107	327.354	1719.957	291.671	310.932	1733.258	316.266	322.121	1699.013	202.725	1721.469	1709.713	307.777	354.262	486.697	478.677	194.045	249.238	1740.862	1728.606	358.672	1741.617	374.437	341.683	1726.477	1768.242	1688.325	378.036	1764.934	365.219	359.634	1753.494	1698.335	360.265	507.382	401.306	395.792	1760.228	1764.553	361.036	1754.099	1776.441	1752.812	316.448	484.56	1774.366	462.667	1752.445	1739.903	1739.278	337.177	328.813	327.298	510.088	1763.865	276.533	323.918	523.791	1710.563	
SHH_WT_models_highres31879.py	1738.328	402.404	358.219	1711.666	1688.573	1730.487	262.507	1721.975	1726.27	1738.157	1760.857	1769.79	1767.576	1735.051	1731.115	1770.478	1744.407	332.794	1750.777	1663.346	1764.539	1716.596	1725.922	1749.651	292.91	257.366	467.307	310.119	1742.123	1717.121	364.466	1720.816	247.85	1704.698	1716.725	260.563	1743.145	1756.936	376.655	368.039	334.619	297.813	1719.923	642.253	1679.517	1741.972	1723.639	335.885	1726.673	373.665	1766.138	0.0	370.296	1734.063	384.255	379.221	1754.28	1776.112	297.44	1724.603	1772.615	257.178	1714.892	1761.425	456.693	1774.533	252.061	316.258	1756.061	1720.682	1693.701	1715.833	1746.305	1726.177	376.446	374.55	1722.044	377.068	1739.236	1717.989	255.05	403.25	548.558	1771.424	336.52	1723.248	1764.228	246.042	342.355	1730.811	1721.844	1709.369	1716.664	218.34	488.826	1766.072	493.978	322.264	236.709	1717.5	1695.814	390.747	1687.298	407.837	413.256	240.713	1764.18	1736.737	1745.89	1780.657	128.461	1742.111	1784.19	1687.173	276.697	
SHH_WT_models_highres34517.py	1716.828	443.079	451.08	1740.099	1672.281	1763.975	333.748	1701.775	1705.423	1720.75	1744.425	1753.212	1755.064	1760.872	1760.125	1760.498	1724.325	478.898	1741.573	1696.494	1754.604	1752.464	1711.468	1722.306	354.058	370.701	511.541	489.757	1725.39	1759.418	484.174	1755.33	361.859	1748.215	1748.023	329.31	1776.935	1747.109	478.547	480.899	492.899	392.937	1699.51	682.85	1700.258	1769.57	1761.946	421.516	1708.973	473.149	1756.014	370.296	0.0	1722.139	503.226	476.332	1739.611	1762.907	378.59	1695.982	1759.3	370.77	1760.595	1756.584	485.981	1773.78	349.84	383.876	1764.832	1698.349	1726.529	1751.704	1756.576	1714.002	498.851	550.125	1759.997	278.449	1727.945	1751.123	345.317	501.927	520.786	1762.336	494.836	1766.998	1759.882	362.324	412.596	1714.691	1737.132	1744.73	1750.182	365.802	523.238	1746.9	535.207	504.776	373.878	1769.499	1723.641	487.754	1718.385	514.431	480.757	378.415	1766.155	1733.118	1735.082	1808.339	383.426	1737.639	1770.207	1721.393	394.485	
SHH_WT_models_highres10104.py	289.305	1738.648	1735.061	396.506	386.822	390.198	1712.642	237.563	303.337	283.309	398.589	207.065	221.392	363.836	395.896	183.843	254.926	1760.52	187.528	486.752	197.28	413.543	354.563	284.356	1730.025	1696.701	1707.751	1742.287	171.982	371.766	1723.444	425.626	1686.878	358.732	388.772	1729.708	425.959	284.486	1749.11	1734.464	1743.674	1649.219	299.008	1784.314	413.456	398.966	451.291	1722.185	366.769	1755.048	217.155	1734.063	1722.139	0.0	1733.509	1705.88	255.766	291.196	1693.13	328.308	307.141	1699.685	360.061	287.286	1663.72	249.948	1689.942	1675.825	310.771	321.541	470.067	446.071	276.208	282.672	1709.961	1700.644	378.728	1714.956	395.829	381.73	1692.493	1732.163	1655.795	384.42	1744.937	342.869	386.066	1723.869	1658.28	357.939	479.506	409.602	409.824	1732.522	1733.867	340.105	1720.36	1755.806	1723.428	349.866	473.844	1743.748	420.549	1722.285	1705.732	1711.598	345.321	305.764	340.512	507.695	1731.664	309.653	317.129	518.651	1674.033	
