	SHH_WT_models38454.py	SHH_WT_models39215.py	SHH_WT_models3827.py	SHH_WT_models40786.py	SHH_WT_models10615.py	SHH_WT_models11746.py	SHH_WT_models357.py	SHH_WT_models12018.py	SHH_WT_models35923.py	SHH_WT_models1483.py	SHH_WT_models27725.py	SHH_WT_models22704.py	SHH_WT_models46610.py	SHH_WT_models25210.py	SHH_WT_models8890.py	SHH_WT_models21516.py	SHH_WT_models48773.py	SHH_WT_models491.py	SHH_WT_models1192.py	SHH_WT_models38276.py	SHH_WT_models49283.py	SHH_WT_models29668.py	SHH_WT_models2238.py	SHH_WT_models29348.py	SHH_WT_models37141.py	SHH_WT_models14847.py	SHH_WT_models30347.py	SHH_WT_models41853.py	SHH_WT_models7344.py	SHH_WT_models1588.py	SHH_WT_models22421.py	SHH_WT_models8764.py	SHH_WT_models39507.py	SHH_WT_models15435.py	SHH_WT_models41149.py	SHH_WT_models45309.py	SHH_WT_models11760.py	SHH_WT_models44296.py	SHH_WT_models47603.py	SHH_WT_models35629.py	SHH_WT_models44428.py	SHH_WT_models36637.py	SHH_WT_models47783.py	SHH_WT_models44981.py	SHH_WT_models37228.py	SHH_WT_models36833.py	SHH_WT_models2378.py	SHH_WT_models22582.py	SHH_WT_models34183.py	SHH_WT_models44943.py	SHH_WT_models28174.py	SHH_WT_models42616.py	SHH_WT_models6662.py	SHH_WT_models18902.py	SHH_WT_models26485.py	SHH_WT_models27908.py	SHH_WT_models40839.py	SHH_WT_models29459.py	SHH_WT_models17169.py	SHH_WT_models38759.py	SHH_WT_models19239.py	SHH_WT_models42278.py	SHH_WT_models15235.py	SHH_WT_models25278.py	SHH_WT_models9748.py	SHH_WT_models32436.py	SHH_WT_models37719.py	SHH_WT_models33732.py	SHH_WT_models34323.py	SHH_WT_models19436.py	SHH_WT_models34283.py	SHH_WT_models5070.py	SHH_WT_models17200.py	SHH_WT_models37605.py	SHH_WT_models7718.py	SHH_WT_models40490.py	SHH_WT_models1709.py	SHH_WT_models31532.py	SHH_WT_models30779.py	SHH_WT_models2347.py	SHH_WT_models15552.py	SHH_WT_models16149.py	SHH_WT_models10306.py	SHH_WT_models30402.py	SHH_WT_models13634.py	SHH_WT_models41778.py	SHH_WT_models29007.py	SHH_WT_models36378.py	SHH_WT_models31832.py	SHH_WT_models39112.py	SHH_WT_models24206.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models18377.py	SHH_WT_models12231.py	SHH_WT_models49537.py	SHH_WT_models9944.py	SHH_WT_models48341.py	SHH_WT_models25404.py	SHH_WT_models25325.py	SHH_WT_models8984.py	SHH_WT_models1789.py	SHH_WT_models6373.py	SHH_WT_models17583.py	SHH_WT_models47710.py	SHH_WT_models41859.py	SHH_WT_models21876.py	SHH_WT_models31879.py	SHH_WT_models22069.py	SHH_WT_models38869.py	SHH_WT_models21025.py	SHH_WT_models192.py	SHH_WT_models23133.py	SHH_WT_models19903.py	SHH_WT_models7880.py	SHH_WT_models27167.py	SHH_WT_models32722.py	SHH_WT_models18570.py	SHH_WT_models41837.py	SHH_WT_models40274.py	SHH_WT_models29228.py	SHH_WT_models38655.py	SHH_WT_models717.py	SHH_WT_models8847.py	SHH_WT_models28238.py	SHH_WT_models34190.py	SHH_WT_models6070.py	SHH_WT_models5447.py	SHH_WT_models27032.py	SHH_WT_models1166.py	SHH_WT_models33698.py	SHH_WT_models49440.py	SHH_WT_models43041.py	SHH_WT_models43346.py	SHH_WT_models44997.py	SHH_WT_models32237.py	SHH_WT_models9283.py	SHH_WT_models49996.py	SHH_WT_models45114.py	SHH_WT_models7095.py	SHH_WT_models18557.py	SHH_WT_models11029.py	SHH_WT_models41538.py	SHH_WT_models13902.py	SHH_WT_models9585.py	SHH_WT_models27717.py	SHH_WT_models29730.py	SHH_WT_models45774.py	SHH_WT_models8077.py	SHH_WT_models40317.py	SHH_WT_models42102.py	SHH_WT_models7530.py	SHH_WT_models31195.py	SHH_WT_models10580.py	SHH_WT_models17316.py	SHH_WT_models40479.py	SHH_WT_models17085.py	SHH_WT_models28244.py	SHH_WT_models47890.py	SHH_WT_models14471.py	SHH_WT_models11050.py	SHH_WT_models32291.py	SHH_WT_models32644.py	SHH_WT_models32695.py	SHH_WT_models7948.py	SHH_WT_models32116.py	SHH_WT_models3886.py	SHH_WT_models11273.py	SHH_WT_models17399.py	SHH_WT_models4621.py	SHH_WT_models4070.py	SHH_WT_models34817.py	SHH_WT_models35309.py	SHH_WT_models41274.py	SHH_WT_models5926.py	SHH_WT_models35708.py	SHH_WT_models33622.py	SHH_WT_models9654.py	SHH_WT_models28611.py	SHH_WT_models23029.py	SHH_WT_models40865.py	SHH_WT_models40152.py	SHH_WT_models32950.py	SHH_WT_models13608.py	SHH_WT_models34664.py	SHH_WT_models2611.py	SHH_WT_models39351.py	SHH_WT_models34543.py	SHH_WT_models8846.py	SHH_WT_models37289.py	SHH_WT_models488.py	SHH_WT_models38204.py	SHH_WT_models571.py	SHH_WT_models34442.py	SHH_WT_models17286.py	SHH_WT_models9457.py	SHH_WT_models15986.py	SHH_WT_models28664.py	SHH_WT_models1811.py	SHH_WT_models30093.py	
SHH_WT_models25404.py	954.616	851.131	3820.658	3721.949	3845.739	1008.208	3743.938	800.844	901.133	983.482	4010.33	934.226	975.586	819.007	512.034	919.138	738.61	3732.497	4130.176	541.107	467.715	875.308	3770.8	619.263	3786.807	715.102	3698.762	3704.467	3745.783	3712.09	3796.795	3721.671	508.815	3898.062	893.641	3779.056	464.225	3801.6	3687.401	3787.973	695.322	430.643	358.943	398.943	3700.409	407.354	765.705	582.983	3687.3	451.141	855.093	3734.895	3739.835	3754.217	579.88	744.52	3697.067	640.722	672.959	3790.324	3708.055	422.974	377.688	3608.628	556.883	3756.058	3731.363	3725.374	540.057	3689.16	935.039	410.496	3795.032	368.952	3731.079	3741.215	495.917	541.447	3676.281	689.975	1349.698	3681.625	1509.897	4119.669	3741.712	1426.102	449.52	3658.05	4113.667	1925.604	4236.971	4000.91	3986.26	1417.418	1424.803	1627.679	4068.597	1505.462	0.0	1382.714	3946.361	1439.018	4104.183	4084.985	4109.817	3968.089	1429.264	3988.002	1534.525	1268.116	4120.473	1517.265	1471.452	3946.362	4148.318	1431.551	3909.715	1480.469	1312.446	1306.552	4068.65	1600.12	1398.061	1422.844	1548.588	1567.671	1468.704	1375.803	4107.616	4066.951	1314.02	4092.004	4038.644	1400.336	4047.75	1563.709	4091.91	4103.2	4107.073	1304.371	3990.804	4051.623	3995.219	1618.658	1412.94	4087.569	1416.73	4066.164	1437.621	1337.567	1344.362	1432.961	1356.979	4111.581	4118.776	1361.05	1680.136	3924.636	4137.209	1483.292	1526.34	4179.724	4102.152	1509.221	1500.13	1449.218	1396.386	1456.319	4101.192	4052.354	3898.384	4282.843	1490.841	1468.815	4075.69	4069.2	1309.935	1788.814	1354.149	4074.336	4048.307	1484.048	1286.923	4117.305	1552.361	1426.275	4048.768	4097.522	1435.711	1310.497	4097.353	4117.412	1375.809	1398.22	4026.977	1263.243	4058.329	4056.318	4105.525	4039.125	
SHH_WT_models25325.py	1212.53	1080.051	4041.165	3944.466	4038.745	1084.232	3954.879	1051.704	1251.399	1123.239	4178.556	1144.036	1220.433	1236.47	1308.253	1167.328	1333.567	3975.332	4291.728	1178.717	1251.573	1092.362	4015.503	1312.783	4007.667	1167.085	3948.07	3930.179	3988.777	3960.455	4039.161	3940.863	1347.154	4133.041	1257.718	3991.074	1201.62	4044.7	3939.452	4027.989	1359.013	1243.137	1274.962	1250.122	3956.115	1255.892	1196.206	1303.626	3935.585	1309.977	1366.667	3966.654	3993.138	3986.09	1248.096	1377.765	3949.898	1242.136	1400.941	4028.236	3952.511	1260.902	1250.482	3807.422	1259.933	3998.129	3958.736	3990.553	1312.352	3932.036	1197.108	1273.545	3996.093	1391.736	3974.073	3969.002	1383.966	1410.865	3917.122	1410.328	480.325	3933.33	443.903	4259.502	3868.679	822.482	1310.32	3909.928	4236.469	1753.997	4391.711	4093.906	4086.004	856.423	460.698	843.028	4203.016	893.106	1382.714	0.0	4042.185	897.662	4216.373	4203.105	4226.026	4076.321	834.477	4082.757	857.992	453.122	4244.322	811.106	799.959	4048.785	4278.546	850.785	4009.939	686.679	445.462	570.858	4182.752	872.953	767.876	565.389	770.994	853.758	909.646	363.876	4232.889	4171.222	899.806	4215.243	4146.985	860.448	4161.206	753.734	4222.888	4222.371	4210.877	586.539	4080.433	4161.41	4090.59	888.814	800.683	4182.283	795.437	4190.327	779.004	722.246	394.776	810.248	519.861	4233.947	4238.013	668.736	956.451	4034.852	4247.219	748.442	856.198	4311.01	4213.523	823.877	859.108	768.087	566.173	755.551	4219.088	4163.229	3990.888	4418.714	879.222	820.334	4199.756	4185.881	851.441	1028.504	815.673	4174.207	4161.594	823.008	432.02	4223.873	856.878	663.607	4154.05	4222.031	893.734	496.439	4199.393	4217.208	615.039	843.413	4131.951	523.502	4168.84	4161.201	4205.187	4138.556	
SHH_WT_models8984.py	4098.712	3948.488	1268.971	1230.317	997.925	3975.652	975.454	3973.674	4094.768	4076.748	1294.548	4056.946	3970.991	4022.396	4042.989	3964.853	4102.753	1160.444	1491.48	3997.443	4012.332	4005.079	1198.989	4033.048	1037.855	3982.119	1079.061	1236.205	1117.788	1108.481	1227.686	1266.194	4013.789	1217.227	3893.077	1189.817	3940.46	1271.969	1149.607	1276.089	3996.551	3977.18	3986.164	3936.485	1182.428	3970.905	4038.124	4046.967	1208.481	3981.004	4117.995	1123.831	1201.418	1329.236	3968.848	4131.288	1244.869	3966.158	4070.99	1289.421	1104.852	3951.73	3950.696	1247.102	4002.371	1272.65	1204.509	1230.157	3976.38	1299.533	3989.803	3981.833	1080.5	3977.236	1213.052	1191.034	3963.425	3995.477	1270.525	3939.062	4031.816	1275.995	4092.678	854.511	998.972	4203.756	3926.599	1228.823	778.774	4212.804	1166.245	349.153	341.074	4175.626	4072.271	4286.522	741.469	4266.224	3946.361	4042.185	0.0	4238.142	711.581	677.794	779.692	308.51	4232.942	352.225	4272.678	4067.677	772.273	4265.553	4253.286	483.134	784.557	4229.029	406.04	4039.88	4036.972	4047.062	728.511	4297.608	4210.982	4109.845	4250.513	4225.716	4201.641	4037.689	806.749	687.307	4148.365	663.196	773.353	4231.012	692.239	4157.657	797.592	801.311	589.943	4085.651	321.37	770.72	440.796	4327.085	4190.245	683.302	4212.977	778.87	4232.883	4154.941	4052.931	4234.18	3971.839	607.019	708.328	4138.996	4306.469	632.534	705.163	4258.569	4256.33	789.233	720.5	4264.392	4247.453	4233.524	4115.224	4149.816	752.439	773.675	566.69	1110.13	4255.213	4248.658	798.215	709.826	4141.093	4391.724	4167.897	617.449	749.513	4200.438	4053.409	694.629	4281.594	4178.865	734.391	746.108	4217.333	3966.949	711.83	657.483	4116.62	4215.513	698.799	4057.694	649.16	756.584	687.563	528.72	
SHH_WT_models1789.py	1259.928	1324.513	4229.825	4110.505	4237.604	1330.259	4123.918	1202.402	1189.8	1255.387	4331.362	1228.641	1404.41	1369.323	1270.509	1347.749	1256.48	4148.21	4402.803	1278.258	1339.64	1200.396	4203.433	1308.655	4175.431	1256.445	4116.162	4105.887	4158.569	4126.249	4222.562	4096.572	1372.335	4304.523	1382.172	4163.147	1340.561	4221.333	4105.887	4198.795	1433.029	1361.476	1380.867	1391.339	4129.591	1372.406	1267.708	1281.291	4097.957	1397.776	1234.449	4137.943	4169.388	4166.344	1366.095	1242.346	4129.535	1303.052	1328.547	4205.585	4131.029	1333.663	1371.505	3958.319	1333.594	4169.376	4132.457	4170.024	1396.146	4102.196	1241.645	1369.744	4179.452	1420.38	4137.748	4142.901	1471.211	1469.372	4101.153	1489.623	770.2	4086.253	833.619	4425.614	4045.68	283.033	1402.984	4088.383	4407.69	1811.194	4482.226	4266.636	4263.042	288.414	729.714	486.486	4381.853	271.383	1439.018	897.662	4238.142	0.0	4400.115	4376.927	4401.044	4260.168	262.807	4278.641	349.833	769.279	4424.861	328.339	331.242	4238.831	4438.087	342.057	4211.802	903.273	705.615	720.815	4355.252	433.048	295.229	671.723	453.275	445.55	393.238	883.027	4396.37	4356.312	416.821	4384.358	4309.842	287.011	4342.651	640.048	4392.16	4395.026	4391.681	616.114	4273.291	4317.076	4291.662	425.292	339.934	4353.26	316.585	4354.096	336.203	458.788	847.408	292.657	886.79	4426.132	4415.658	513.08	495.049	4203.105	4417.777	502.147	330.243	4462.034	4385.567	320.575	318.239	352.714	744.109	430.967	4401.565	4329.061	4160.514	4506.731	301.037	388.747	4361.746	4343.522	383.839	694.082	387.39	4344.29	4319.432	410.914	807.151	4393.856	377.537	449.444	4339.037	4399.945	308.148	970.501	4378.413	4392.668	517.104	375.465	4287.994	806.824	4340.074	4323.335	4375.707	4312.375	
SHH_WT_models6373.py	4253.324	4094.587	1304.554	1324.675	1170.308	4151.323	1175.206	4156.757	4261.273	4235.287	1420.081	4216.082	4127.195	4192.279	4216.508	4122.759	4273.546	1274.619	1449.134	4168.282	4183.704	4189.744	1285.948	4206.26	1215.093	4131.015	1303.044	1365.662	1308.524	1282.419	1268.717	1436.587	4195.119	1206.306	4037.637	1324.568	4107.089	1335.139	1368.771	1337.824	4170.11	4144.605	4154.309	4106.757	1386.428	4142.269	4210.141	4230.693	1402.49	4154.384	4292.048	1299.643	1380.659	1417.853	4143.337	4309.876	1394.208	4144.425	4246.25	1331.535	1344.735	4106.566	4112.166	1400.573	4164.852	1363.519	1335.835	1412.724	4152.127	1463.769	4164.057	4150.918	1203.068	4135.026	1375.187	1326.418	4132.152	4159.835	1432.873	4096.785	4199.971	1458.376	4269.015	410.479	1146.489	4372.941	4088.359	1442.09	296.232	4328.51	853.863	580.916	609.672	4336.094	4250.411	4452.171	342.875	4425.13	4104.183	4216.373	711.581	4400.115	0.0	288.833	282.331	693.218	4404.22	718.848	4431.091	4254.774	404.719	4441.878	4433.915	733.93	331.402	4403.231	810.462	4199.745	4207.066	4223.369	291.006	4450.694	4381.219	4283.562	4421.461	4395.319	4355.677	4221.355	478.334	257.197	4302.258	405.315	325.52	4405.853	366.186	4314.563	334.029	253.741	472.954	4267.548	557.924	407.812	756.226	4477.979	4362.796	317.78	4391.278	423.899	4408.59	4328.089	4240.998	4410.693	4131.818	434.389	240.483	4319.5	4460.113	724.711	311.15	4434.616	4420.796	473.066	376.073	4435.835	4425.381	4403.735	4315.123	4318.694	394.73	478.802	724.577	812.063	4428.511	4430.143	376.322	342.356	4319.114	4529.145	4336.705	326.753	383.284	4370.71	4231.178	432.67	4447.016	4357.317	347.233	425.262	4384.669	4139.977	317.631	388.039	4288.878	4393.807	392.987	4245.158	354.873	455.176	368.799	417.452	
SHH_WT_models17583.py	4244.911	4082.638	1329.45	1339.576	1182.955	4128.738	1186.714	4136.157	4247.126	4225.548	1449.406	4209.251	4112.177	4169.336	4198.125	4099.69	4256.494	1269.345	1488.231	4141.103	4164.589	4162.999	1264.072	4186.607	1153.125	4123.04	1258.796	1376.877	1253.982	1257.746	1250.906	1429.791	4168.247	1172.566	4014.125	1286.138	4089.732	1297.569	1314.292	1306.595	4146.198	4124.605	4132.609	4086.408	1331.866	4116.589	4188.124	4205.456	1349.511	4128.094	4271.745	1226.619	1321.29	1403.013	4109.396	4284.291	1346.011	4109.972	4220.479	1308.374	1299.986	4086.419	4089.342	1431.0	4152.903	1340.295	1333.436	1348.244	4117.36	1425.0	4131.145	4131.978	1202.799	4118.484	1296.326	1304.968	4105.805	4139.043	1395.683	4074.176	4174.641	1395.729	4247.819	456.395	1174.699	4345.131	4069.859	1374.275	332.51	4331.086	950.136	535.083	523.799	4310.386	4222.915	4431.157	377.668	4412.302	4084.985	4203.105	677.794	4376.927	288.833	0.0	368.037	610.672	4378.931	652.655	4420.626	4235.641	391.939	4420.484	4409.427	700.041	322.054	4380.857	797.121	4170.816	4184.637	4197.903	264.715	4437.023	4359.161	4255.216	4394.575	4378.019	4334.731	4199.63	397.323	346.13	4272.179	242.519	313.198	4382.512	335.811	4287.289	337.291	322.052	382.875	4236.843	527.386	275.75	763.968	4464.989	4334.743	297.695	4364.717	309.321	4386.123	4299.691	4225.139	4384.956	4105.06	379.174	329.223	4289.49	4447.511	736.28	288.784	4419.096	4396.42	471.491	214.514	4416.0	4398.777	4381.162	4289.402	4290.873	291.815	351.724	717.216	874.934	4401.123	4405.251	432.639	199.067	4294.765	4513.285	4306.529	230.789	394.235	4340.648	4213.592	347.408	4422.992	4332.262	338.459	283.013	4361.096	4124.736	236.259	271.384	4263.921	4363.86	294.06	4223.106	203.147	296.36	323.128	378.129	
SHH_WT_models47710.py	4242.059	4096.535	1270.905	1323.125	1179.615	4156.412	1224.265	4162.572	4255.971	4236.007	1435.362	4223.003	4125.758	4191.251	4216.698	4126.298	4270.262	1302.917	1418.154	4179.247	4189.479	4198.497	1336.852	4204.554	1277.655	4137.671	1367.312	1371.186	1368.397	1341.469	1306.447	1437.379	4195.589	1237.577	4037.733	1323.723	4107.298	1378.964	1428.293	1368.728	4165.505	4151.071	4162.624	4108.875	1413.509	4149.812	4221.13	4232.432	1456.039	4158.833	4292.048	1358.286	1403.085	1416.868	4155.012	4308.533	1452.346	4156.78	4244.587	1370.652	1414.063	4116.597	4118.669	1416.945	4172.362	1402.947	1386.223	1454.577	4165.299	1480.588	4169.323	4160.216	1236.884	4130.859	1442.706	1404.2	4135.105	4153.273	1462.174	4089.802	4209.155	1503.879	4283.333	392.859	1160.792	4378.378	4085.581	1507.841	351.656	4337.875	772.437	675.942	680.235	4337.106	4265.641	4456.132	318.442	4417.865	4109.817	4226.026	779.692	4401.044	282.331	368.037	0.0	780.007	4410.98	761.142	4424.036	4268.105	381.336	4441.419	4436.785	780.445	330.724	4402.859	863.359	4208.253	4221.518	4234.73	297.081	4450.419	4389.556	4295.101	4429.639	4396.458	4353.593	4235.005	424.422	237.58	4303.014	461.866	329.889	4409.612	431.272	4322.044	419.698	267.904	511.567	4281.005	657.746	440.162	795.188	4460.061	4367.962	335.003	4396.656	417.687	4414.364	4336.217	4251.264	4413.538	4141.23	445.264	318.554	4331.783	4454.011	755.006	321.573	4432.726	4423.547	462.599	435.495	4437.487	4428.486	4411.161	4329.564	4329.062	430.02	563.508	756.945	736.201	4429.352	4430.482	366.817	380.719	4318.488	4509.983	4346.614	436.132	325.143	4376.702	4246.862	422.042	4442.921	4370.676	385.107	491.665	4388.333	4143.271	354.639	391.279	4298.932	4400.864	443.386	4258.152	423.117	509.161	492.909	528.197	
SHH_WT_models41859.py	4127.589	3974.322	1325.887	1298.925	1095.461	4001.119	1080.819	4000.233	4120.865	4106.698	1380.206	4083.876	3995.766	4047.069	4066.905	3988.158	4126.822	1233.6	1553.844	4013.31	4035.4	4023.917	1245.377	4057.22	1075.978	4008.877	1132.667	1317.818	1170.039	1169.542	1287.025	1344.099	4037.052	1240.731	3913.285	1234.314	3970.713	1304.645	1200.399	1317.806	4023.651	4001.849	4009.688	3965.053	1221.996	3995.138	4056.16	4067.193	1251.654	4003.085	4138.745	1149.37	1239.179	1381.063	3986.095	4151.129	1267.597	3982.38	4090.918	1349.041	1169.017	3974.264	3973.077	1336.457	4029.083	1328.405	1292.396	1254.917	3989.344	1357.721	4003.804	4003.8	1161.165	4003.411	1218.646	1249.227	3985.801	4021.838	1330.952	3964.045	4061.995	1314.053	4121.425	791.038	1086.053	4224.418	3955.041	1266.531	746.583	4236.951	1163.602	344.75	288.477	4199.628	4099.109	4305.036	729.403	4291.735	3968.089	4076.321	308.51	4260.168	693.218	610.672	780.007	0.0	4255.695	302.859	4299.361	4093.997	705.327	4289.099	4275.638	459.338	741.32	4255.13	463.563	4070.11	4063.744	4075.749	703.981	4322.036	4236.624	4134.122	4267.353	4251.918	4226.961	4067.502	748.439	703.471	4172.543	577.318	759.764	4255.621	655.605	4180.856	750.182	764.75	519.883	4109.605	308.855	692.267	441.158	4349.899	4213.331	671.444	4236.847	696.41	4253.557	4177.757	4086.189	4258.133	4002.348	564.632	692.971	4161.352	4330.828	651.967	669.646	4285.274	4280.855	753.625	645.186	4287.47	4268.917	4255.632	4140.194	4168.569	687.455	704.915	590.458	1099.545	4274.964	4271.721	794.034	646.371	4170.296	4405.867	4188.527	596.558	727.025	4223.112	4079.786	646.042	4302.698	4202.397	719.322	632.838	4241.462	4007.082	693.259	628.536	4137.547	4236.204	672.247	4086.418	612.167	679.048	630.175	507.899	
SHH_WT_models21876.py	1275.265	1305.868	4240.75	4121.337	4239.068	1291.428	4126.781	1162.277	1180.275	1234.367	4330.212	1208.228	1388.511	1342.676	1274.619	1340.708	1247.393	4154.318	4408.088	1239.914	1313.602	1170.468	4202.715	1301.647	4168.771	1268.223	4113.107	4111.961	4157.273	4127.624	4224.377	4103.882	1344.746	4308.646	1376.905	4164.496	1320.121	4224.189	4102.968	4202.955	1416.176	1334.371	1354.74	1364.538	4128.637	1335.391	1238.178	1261.709	4095.972	1373.259	1228.664	4129.944	4170.032	4174.643	1309.239	1231.899	4129.628	1259.149	1316.95	4205.595	4123.109	1326.266	1339.798	3969.55	1345.394	4176.141	4135.59	4165.272	1350.975	4107.63	1209.14	1360.228	4182.335	1435.23	4131.152	4138.173	1442.022	1463.348	4103.412	1480.269	696.467	4081.54	749.559	4435.837	4053.339	250.069	1402.276	4080.484	4415.738	1833.855	4497.54	4260.084	4257.36	287.19	631.531	449.498	4390.456	357.647	1429.264	834.477	4232.942	262.807	4404.22	4378.931	4410.98	4255.695	0.0	4273.747	406.767	698.622	4434.851	256.3	256.178	4236.8	4443.813	298.137	4211.891	838.331	616.913	659.142	4361.599	408.571	171.331	571.825	400.215	437.506	431.627	798.414	4404.957	4361.183	388.455	4385.096	4318.362	182.258	4348.058	594.95	4398.626	4402.082	4390.558	500.805	4271.015	4322.013	4288.906	398.113	272.173	4357.901	210.048	4362.07	305.671	357.241	772.799	211.967	813.527	4427.3	4419.517	402.888	536.421	4206.384	4423.632	462.675	284.686	4469.663	4384.6	259.676	273.384	268.297	658.643	393.811	4405.587	4328.364	4161.824	4518.54	223.968	321.871	4368.634	4349.682	392.137	670.134	290.425	4344.545	4330.515	365.442	739.852	4397.723	284.821	307.378	4344.792	4402.492	261.106	927.392	4382.43	4393.848	454.369	266.356	4288.975	751.848	4339.731	4323.504	4376.846	4310.712	
SHH_WT_models31879.py	4135.997	3979.45	1226.546	1221.565	1055.623	4005.112	1124.093	4011.536	4142.012	4128.905	1415.098	4110.212	4001.027	4056.845	4090.309	3995.27	4150.371	1262.898	1555.455	4033.506	4056.501	4035.506	1248.296	4075.099	1095.911	4031.608	1176.406	1246.344	1207.036	1224.754	1297.495	1243.647	4058.294	1235.185	3919.184	1137.924	3987.908	1329.681	1236.861	1322.591	4036.345	4022.577	4032.342	3981.431	1203.631	4016.636	4087.446	4091.224	1260.313	4023.895	4165.01	1140.445	1237.186	1314.054	4006.83	4173.4	1276.402	4003.34	4114.964	1364.395	1187.165	3999.797	3994.506	1285.672	4053.331	1351.157	1328.224	1250.252	4014.773	1329.375	4015.469	4026.261	1174.308	4024.035	1235.674	1299.144	4004.523	4037.909	1318.484	3978.748	4066.258	1317.78	4124.755	802.85	977.941	4239.506	3970.762	1285.687	783.482	4254.577	1184.186	428.114	339.812	4211.681	4106.33	4320.148	755.435	4308.702	3988.002	4082.757	352.225	4278.641	718.848	652.655	761.142	302.859	4273.747	0.0	4317.465	4108.385	690.675	4305.313	4292.765	325.628	757.945	4270.052	519.743	4071.813	4072.97	4086.867	739.85	4336.768	4252.62	4140.357	4282.081	4264.149	4235.87	4071.593	685.801	708.337	4183.4	620.341	770.394	4274.139	715.18	4185.16	822.642	784.162	532.338	4124.04	437.997	701.071	408.005	4367.391	4226.064	678.501	4252.865	678.125	4271.382	4190.503	4101.255	4274.431	4004.689	556.407	721.311	4175.642	4347.74	577.477	692.737	4298.007	4293.79	783.944	669.637	4304.378	4288.069	4272.152	4155.562	4183.321	710.579	701.937	470.493	1104.809	4294.287	4286.574	802.451	709.198	4184.759	4426.115	4203.508	657.02	688.796	4234.581	4098.123	619.678	4317.463	4218.395	757.036	649.371	4257.307	4008.022	703.056	620.288	4151.709	4253.016	653.24	4101.833	644.207	690.613	681.25	549.093	
SHH_WT_models22069.py	1239.875	1340.371	4266.951	4160.31	4258.882	1362.61	4148.984	1222.429	1215.073	1223.192	4338.473	1206.176	1411.152	1405.38	1340.903	1374.489	1312.173	4173.202	4387.487	1371.528	1414.44	1253.316	4238.21	1361.728	4221.777	1266.29	4154.042	4158.961	4199.2	4155.923	4257.999	4149.063	1460.443	4335.023	1436.352	4222.446	1409.437	4250.357	4146.258	4232.727	1499.222	1444.886	1469.516	1469.631	4166.7	1468.216	1311.765	1345.648	4140.043	1494.381	1311.026	4192.394	4201.242	4201.991	1480.209	1341.921	4176.626	1417.858	1429.002	4240.259	4170.666	1420.972	1449.072	4007.572	1380.197	4195.781	4158.356	4208.299	1510.934	4138.02	1297.666	1439.886	4197.165	1495.999	4194.185	4178.669	1581.912	1548.193	4137.717	1548.902	796.634	4138.382	817.915	4455.675	4097.978	430.813	1445.611	4132.336	4427.561	1669.289	4465.529	4312.099	4307.771	428.994	764.219	415.801	4402.342	185.394	1534.525	857.992	4272.678	349.833	4431.091	4420.626	4424.036	4299.361	406.767	4317.465	0.0	797.327	4445.399	372.18	412.312	4289.706	4458.456	435.472	4236.409	936.205	786.83	774.683	4393.515	367.915	393.12	715.477	520.905	312.284	411.622	891.852	4450.063	4392.361	617.216	4428.669	4364.294	424.048	4384.335	680.815	4419.477	4427.981	4430.174	717.66	4306.537	4374.404	4320.597	366.072	486.438	4391.118	429.562	4412.316	377.989	596.292	821.364	394.385	933.672	4453.785	4443.262	652.059	417.368	4263.347	4440.387	499.256	416.376	4470.465	4427.316	295.924	451.954	407.894	769.705	590.35	4436.43	4387.134	4215.087	4492.703	455.331	463.267	4412.436	4393.801	483.556	626.0	597.334	4391.146	4377.383	521.489	826.626	4432.125	446.226	526.999	4376.671	4440.825	470.361	971.011	4414.547	4429.767	596.77	557.912	4350.097	822.454	4388.381	4377.017	4415.099	4359.707	
