	SHH_WT_models24206.py	SHH_WT_models34817.py	SHH_WT_models32722.py	SHH_WT_models18557.py	SHH_WT_models5307.py	SHH_WT_models12433.py	SHH_WT_models8984.py	SHH_WT_models41859.py	SHH_WT_models31879.py	SHH_WT_models41538.py	SHH_WT_models19903.py	SHH_WT_models28244.py	SHH_WT_models4070.py	SHH_WT_models32291.py	SHH_WT_models30093.py	SHH_WT_models27032.py	SHH_WT_models5926.py	SHH_WT_models40865.py	SHH_WT_models1811.py	SHH_WT_models49440.py	SHH_WT_models38204.py	SHH_WT_models45114.py	SHH_WT_models13608.py	SHH_WT_models21025.py	SHH_WT_models10580.py	SHH_WT_models30402.py	SHH_WT_models7880.py	SHH_WT_models47890.py	SHH_WT_models17286.py	SHH_WT_models4621.py	SHH_WT_models28664.py	SHH_WT_models49996.py	SHH_WT_models9944.py	SHH_WT_models31832.py	SHH_WT_models9283.py	SHH_WT_models1166.py	SHH_WT_models47710.py	SHH_WT_models6373.py	SHH_WT_models17316.py	SHH_WT_models17399.py	SHH_WT_models34543.py	SHH_WT_models27717.py	SHH_WT_models23029.py	SHH_WT_models15986.py	SHH_WT_models17583.py	SHH_WT_models35708.py	SHH_WT_models32644.py	SHH_WT_models488.py	SHH_WT_models29228.py	SHH_WT_models44997.py	SHH_WT_models39351.py	SHH_WT_models43041.py	SHH_WT_models11029.py	SHH_WT_models45774.py	SHH_WT_models27725.py	SHH_WT_models1192.py	SHH_WT_models18902.py	SHH_WT_models2238.py	SHH_WT_models22421.py	SHH_WT_models32436.py	SHH_WT_models35629.py	SHH_WT_models44296.py	SHH_WT_models38759.py	SHH_WT_models47603.py	SHH_WT_models34183.py	SHH_WT_models16149.py	SHH_WT_models36378.py	SHH_WT_models19436.py	SHH_WT_models30779.py	SHH_WT_models6662.py	SHH_WT_models33732.py	SHH_WT_models37228.py	SHH_WT_models40839.py	SHH_WT_models42616.py	SHH_WT_models7718.py	SHH_WT_models37719.py	SHH_WT_models40490.py	SHH_WT_models7344.py	SHH_WT_models30347.py	SHH_WT_models19239.py	SHH_WT_models491.py	SHH_WT_models1588.py	SHH_WT_models15435.py	SHH_WT_models10615.py	SHH_WT_models17200.py	SHH_WT_models357.py	SHH_WT_models37141.py	SHH_WT_models13634.py	SHH_WT_models25278.py	SHH_WT_models8764.py	SHH_WT_models40786.py	SHH_WT_models41853.py	SHH_WT_models3827.py	SHH_WT_models45309.py	
SHH_WT_models30402.py	752.477	693.503	3867.843	3769.057	3861.737	915.036	3748.463	658.407	785.491	606.973	3957.92	601.712	944.761	864.543	693.297	767.68	828.178	3765.955	4067.512	682.439	716.468	783.604	3820.768	777.722	3823.982	0.0	3742.78	3771.909	3788.833	3744.319	3841.517	3780.792	843.309	3925.003	859.744	3843.111	695.295	3841.782	3741.652	3832.717	949.828	721.935	685.078	738.645	3761.289	717.072	646.914	771.608	3747.399	801.283	889.705	3801.489	3792.892	3811.38	835.744	912.619	3767.328	843.73	925.657	3836.853	3759.256	537.91	656.96	3670.356	533.617	3788.217	3761.911	3793.067	864.19	3750.298	957.873	650.696	3813.278	758.829	3800.192	3778.879	934.46	939.524	3742.027	984.154	1205.964	3758.111	1274.012	4149.896	3800.539	1279.884	583.912	3726.117	4128.214	1343.767	4242.842	4036.791	4026.943	1290.192	
SHH_WT_models7880.py	3856.062	3729.315	1010.442	894.166	687.74	3765.947	494.608	3766.199	3850.938	3834.976	1266.293	3812.352	3776.52	3792.825	3788.147	3750.692	3845.209	436.668	1429.783	3746.914	3748.263	3790.981	474.212	3783.932	398.614	3742.78	0.0	871.77	259.945	293.369	517.509	944.516	3766.66	625.787	3703.263	903.944	3703.096	562.804	256.386	556.709	3760.062	3708.975	3719.794	3692.734	456.531	3720.825	3773.707	3812.155	421.981	3719.9	3859.951	434.43	411.142	758.022	3717.502	3870.784	467.093	3729.613	3813.7	575.273	314.578	3689.405	3699.957	987.501	3747.773	518.299	454.816	460.405	3715.636	593.728	3808.533	3727.682	565.388	3733.838	497.361	447.094	3706.505	3746.671	531.778	3713.391	3957.83	512.919	4012.025	1439.939	1067.792	4106.687	3695.21	435.177	1297.197	4042.967	1712.867	1181.977	1178.374	4086.644	
SHH_WT_models47890.py	3854.936	3683.405	577.402	367.547	718.63	3737.111	850.325	3765.598	3923.396	3924.038	1414.483	3906.178	3721.344	3765.762	3829.974	3703.497	3908.395	818.395	1552.941	3778.988	3787.999	3791.36	830.832	3794.617	823.205	3771.909	871.77	0.0	849.305	955.376	845.831	367.492	3790.106	935.878	3639.812	543.133	3732.387	1044.976	865.732	902.485	3742.102	3741.399	3758.176	3707.661	787.946	3754.728	3867.588	3847.988	846.558	3744.121	3938.139	750.538	901.024	702.602	3745.323	3913.245	803.679	3755.619	3851.919	980.97	890.132	3716.392	3716.479	457.778	3791.856	1028.591	919.187	965.113	3753.63	780.832	3783.17	3768.655	1022.914	3747.844	917.303	948.216	3715.979	3748.583	832.633	3685.775	3914.97	858.368	3982.014	1470.263	645.414	4089.397	3690.607	1002.222	1438.93	4055.713	1708.822	1305.361	1276.012	4055.904	
SHH_WT_models17286.py	3906.217	3770.789	990.315	874.585	723.88	3811.519	550.832	3819.865	3909.946	3887.398	1312.597	3867.016	3822.11	3840.226	3841.957	3791.875	3901.819	427.36	1453.514	3792.431	3797.007	3840.859	410.655	3835.941	359.158	3788.833	259.945	849.305	0.0	339.188	444.554	938.404	3819.396	555.419	3742.526	881.809	3751.983	506.532	272.493	457.038	3807.658	3754.512	3765.113	3741.353	445.7	3767.958	3823.357	3868.04	396.026	3765.498	3917.81	390.826	399.676	727.144	3762.235	3925.419	420.547	3777.026	3865.462	507.939	364.078	3731.339	3745.415	998.05	3796.27	484.593	437.047	469.481	3758.516	536.628	3856.96	3776.028	601.466	3782.973	433.635	370.799	3750.257	3794.737	495.791	3759.8	3999.22	490.724	4052.37	1441.123	1082.175	4149.554	3743.066	431.449	1293.574	4083.907	1734.39	1209.067	1192.364	4129.179	
SHH_WT_models4621.py	3868.438	3745.323	1019.384	958.521	722.516	3794.168	461.198	3788.229	3854.038	3834.396	1260.765	3807.924	3797.343	3819.552	3799.886	3780.24	3854.408	323.794	1357.847	3773.904	3759.704	3822.698	412.535	3802.826	504.122	3744.319	293.369	955.376	339.188	0.0	466.154	1068.218	3786.847	588.899	3729.934	995.089	3710.334	426.101	351.032	490.861	3783.619	3722.477	3734.547	3708.209	496.708	3739.876	3780.451	3830.651	480.303	3741.076	3867.84	572.84	439.647	763.821	3745.512	3889.606	525.769	3762.638	3828.206	475.005	418.929	3698.278	3716.921	1042.063	3754.082	406.426	377.98	477.3	3744.198	617.5	3843.261	3744.668	448.531	3741.197	565.621	400.845	3726.607	3761.392	554.492	3732.534	3982.159	583.612	4036.521	1403.573	1140.749	4123.468	3707.937	461.936	1258.021	4031.212	1660.999	1216.362	1220.032	4100.661	
SHH_WT_models28664.py	3950.382	3815.452	900.662	889.884	777.546	3873.583	695.814	3885.582	3959.721	3941.804	1426.947	3924.074	3875.955	3898.865	3903.01	3851.93	3956.114	343.899	1418.162	3863.614	3852.462	3916.451	260.89	3892.341	571.18	3841.517	517.509	845.831	444.554	466.154	0.0	982.173	3883.717	351.66	3802.126	928.063	3799.987	361.971	485.143	312.347	3865.537	3807.161	3822.512	3793.004	525.585	3828.24	3894.031	3935.834	508.507	3826.797	3978.413	533.627	460.157	573.419	3827.416	3990.249	434.644	3853.383	3928.53	248.642	555.928	3786.573	3801.034	1045.037	3852.758	383.668	435.703	514.202	3832.016	538.935	3932.784	3839.338	544.202	3828.966	519.389	478.624	3811.178	3841.672	468.769	3805.465	4062.282	563.797	4116.826	1407.454	1126.005	4220.275	3794.043	543.657	1245.133	4136.45	1698.303	1296.186	1294.509	4193.087	
SHH_WT_models49996.py	3849.355	3687.437	664.194	375.571	828.482	3735.585	948.972	3764.395	3921.816	3938.419	1504.082	3919.304	3717.651	3763.016	3831.931	3698.357	3910.239	962.388	1673.458	3786.933	3803.071	3788.4	946.574	3795.155	880.065	3780.792	944.516	367.492	938.404	1068.218	982.173	0.0	3797.187	1026.321	3630.842	558.984	3749.901	1152.456	923.61	994.89	3744.144	3761.523	3777.065	3722.277	827.284	3773.536	3881.306	3850.429	875.375	3758.952	3938.149	790.328	969.63	760.565	3760.449	3912.586	888.235	3758.91	3856.255	1104.36	937.128	3733.798	3732.325	523.35	3806.729	1117.901	1023.453	1026.018	3770.059	824.523	3775.123	3782.353	1127.917	3761.142	966.072	1064.537	3734.101	3762.945	912.523	3694.07	3910.336	911.087	3977.341	1517.71	656.562	4079.958	3695.597	1058.799	1496.19	4044.011	1781.674	1334.965	1297.036	4044.312	
SHH_WT_models9944.py	784.901	783.111	3913.788	3802.688	3918.446	809.555	3814.343	627.033	631.252	875.427	4081.493	842.069	827.506	619.002	311.384	872.895	399.998	3810.657	4190.145	474.08	336.671	715.634	3855.731	405.399	3856.637	843.309	3766.66	3790.106	3819.396	3786.847	3883.717	3797.187	0.0	3977.057	858.534	3863.032	398.496	3881.344	3753.642	3869.021	456.416	399.06	436.641	311.218	3766.068	372.09	643.606	287.868	3756.878	303.812	548.653	3805.839	3803.779	3836.998	436.506	389.516	3780.021	437.338	325.77	3874.597	3773.25	601.694	451.903	3690.59	631.201	3832.538	3805.637	3796.159	444.087	3761.268	746.289	501.874	3870.024	466.517	3808.166	3820.847	340.292	359.619	3755.553	559.484	1299.995	3750.068	1450.233	4213.109	3830.98	1346.482	610.214	3731.056	4197.353	2020.397	4324.899	4071.454	4055.811	1329.928	
SHH_WT_models31832.py	4029.998	3906.637	865.023	898.865	777.828	3966.451	765.69	3979.01	4024.021	4004.898	1384.808	3988.673	3977.043	3998.556	3986.501	3947.467	4026.456	534.711	1324.711	3946.594	3938.134	4003.585	400.869	3987.784	572.555	3925.003	625.787	935.878	555.419	588.899	351.66	1026.321	3977.057	0.0	3895.735	890.945	3894.521	418.797	637.845	408.883	3969.447	3899.194	3913.798	3888.48	593.435	3920.992	3963.02	4027.246	628.293	3922.376	4041.786	574.791	542.989	654.486	3920.352	4061.059	573.42	3941.685	4009.106	425.323	663.847	3878.24	3894.812	1153.782	3937.342	512.098	632.125	575.66	3923.081	678.67	4030.197	3927.446	604.637	3930.318	558.761	652.204	3909.718	3943.375	662.269	3917.718	4159.959	684.897	4210.304	1286.523	1173.0	4308.905	3893.422	660.511	1156.342	4196.21	1597.473	1257.405	1250.681	4283.147	
SHH_WT_models9283.py	744.191	489.393	3762.635	3624.593	3828.277	603.594	3728.583	606.027	1024.301	1113.913	4017.037	1094.167	452.017	499.923	860.547	367.903	975.612	3741.92	4187.787	759.351	891.268	597.918	3773.972	777.977	3758.576	859.744	3703.263	3639.812	3742.526	3729.934	3802.126	3630.842	858.534	3895.735	0.0	3700.105	893.196	3824.787	3681.881	3780.583	652.41	920.87	901.037	813.646	3685.468	875.268	1066.601	838.78	3665.917	893.303	1073.372	3699.719	3752.296	3730.641	871.477	940.781	3691.356	812.775	1016.838	3801.075	3704.666	888.593	823.515	3513.67	892.408	3772.762	3732.924	3742.934	953.517	3668.716	548.103	882.739	3822.16	948.924	3705.955	3733.024	921.497	930.118	3673.225	801.988	1088.475	3652.193	1214.629	4038.282	3643.594	1312.86	731.298	3660.957	4051.715	1709.871	4212.224	3921.959	3905.92	1311.539	
SHH_WT_models1166.py	3932.384	3753.657	506.094	507.782	660.373	3800.472	904.638	3832.357	3981.477	3979.486	1304.855	3963.039	3799.739	3842.471	3902.311	3768.901	3974.61	945.201	1389.183	3828.659	3857.183	3840.914	872.224	3874.449	731.987	3843.111	903.944	543.133	881.809	995.089	928.063	558.984	3863.032	890.945	3700.105	0.0	3805.559	1038.646	940.761	939.356	3820.177	3813.652	3826.539	3780.142	799.322	3820.309	3921.35	3916.24	919.315	3817.054	3995.983	690.426	926.803	806.62	3798.437	3974.766	859.378	3806.459	3924.036	1029.717	949.186	3781.99	3785.918	727.398	3861.327	1097.515	1071.274	952.948	3808.359	894.538	3836.236	3834.348	995.701	3832.958	848.408	1062.62	3791.588	3832.962	919.613	3774.604	3962.887	901.464	4027.599	1337.08	692.42	4138.484	3761.752	1001.372	1367.418	4112.706	1609.362	1217.789	1180.588	4108.762	
SHH_WT_models47710.py	793.882	703.111	3836.739	3746.645	3836.472	794.549	3738.401	600.366	632.888	739.905	4002.855	725.723	859.004	712.539	413.926	873.54	532.091	3729.979	4096.062	475.086	342.179	733.134	3776.095	516.283	3793.282	695.295	3703.096	3732.387	3751.983	3710.334	3799.987	3749.901	398.496	3894.521	893.196	3805.559	0.0	3795.234	3694.048	3790.632	622.439	300.293	372.159	257.5	3707.137	322.849	579.811	464.774	3698.924	351.444	660.472	3750.301	3735.642	3759.992	468.09	633.916	3714.488	522.458	505.205	3789.055	3713.647	488.547	395.806	3635.708	566.807	3749.783	3726.94	3731.362	502.331	3695.444	823.977	463.61	3773.053	410.171	3750.715	3747.298	440.821	451.996	3680.554	621.675	1240.618	3699.467	1363.57	4130.945	3757.422	1323.375	559.668	3665.591	4108.109	1909.975	4242.811	4002.457	3989.574	1305.771	
SHH_WT_models6373.py	3951.757	3830.903	1010.577	1049.334	884.336	3887.06	757.729	3890.099	3935.718	3924.596	1506.676	3901.997	3890.015	3912.657	3892.423	3874.872	3935.576	409.636	1455.82	3867.976	3844.843	3925.762	285.274	3891.261	642.801	3841.782	562.804	1044.976	506.532	426.101	361.971	1152.456	3881.344	418.797	3824.787	1038.646	3795.234	0.0	519.466	292.599	3875.623	3805.292	3821.423	3795.908	496.235	3830.246	3872.597	3928.573	521.384	3827.424	3950.802	610.135	427.547	630.545	3834.666	3977.585	468.766	3859.267	3912.526	295.214	597.348	3790.277	3807.131	1178.406	3848.895	310.176	506.043	422.739	3833.575	569.239	3946.011	3835.012	457.468	3825.251	528.811	538.522	3812.402	3841.237	514.912	3816.297	4075.344	609.319	4129.143	1439.857	1245.504	4221.71	3803.166	490.181	1280.534	4129.597	1748.929	1360.223	1346.557	4196.481	
SHH_WT_models17316.py	3843.218	3712.913	1038.559	901.851	812.496	3749.26	596.97	3754.206	3849.302	3845.964	1425.966	3822.103	3752.532	3771.612	3780.337	3733.739	3839.933	423.511	1576.952	3744.189	3740.485	3783.618	432.433	3767.769	458.604	3741.652	256.386	865.732	272.493	351.032	485.143	923.61	3753.642	637.845	3681.881	940.761	3694.048	519.466	0.0	476.992	3737.956	3700.725	3713.45	3682.229	378.215	3714.557	3778.175	3802.528	244.369	3708.469	3857.955	414.651	386.988	674.165	3708.713	3862.407	388.529	3721.245	3802.503	526.589	288.234	3683.182	3690.93	973.232	3748.609	459.961	410.554	410.571	3708.615	480.739	3790.521	3725.019	621.758	3720.755	424.782	387.934	3691.432	3728.774	459.739	3686.706	3942.387	388.552	3999.572	1511.087	1094.314	4095.019	3682.903	351.191	1355.817	4044.063	1821.238	1252.239	1237.964	4071.47	
SHH_WT_models17399.py	3930.441	3797.83	926.323	909.375	872.544	3857.329	769.487	3870.914	3945.903	3937.059	1543.115	3917.655	3850.619	3878.929	3887.112	3835.776	3941.222	402.681	1533.384	3853.688	3839.673	3902.875	265.247	3875.236	612.487	3832.717	556.709	902.485	457.038	490.861	312.347	994.89	3869.021	408.883	3780.583	939.356	3790.632	292.599	476.992	0.0	3846.032	3797.621	3814.797	3783.326	428.418	3822.271	3883.265	3921.101	428.083	3813.98	3963.842	541.637	420.869	509.648	3822.275	3972.625	398.968	3841.625	3909.866	293.329	595.196	3780.74	3794.276	1059.521	3846.556	340.468	470.157	455.203	3822.901	415.723	3913.548	3827.505	567.435	3816.586	478.814	516.022	3795.756	3824.89	429.702	3786.497	4045.625	489.99	4100.911	1451.405	1161.558	4197.635	3783.32	505.499	1301.571	4108.19	1772.832	1354.163	1335.775	4167.176	
SHH_WT_models34543.py	643.46	674.035	3861.253	3747.177	3899.126	661.998	3805.414	629.351	776.755	1024.968	4104.415	1015.491	546.815	352.042	542.124	720.931	601.007	3792.503	4222.978	661.199	573.648	691.773	3835.566	368.449	3848.958	949.828	3760.062	3742.102	3807.658	3783.619	3865.537	3744.144	456.416	3969.447	652.41	3820.177	622.439	3875.623	3737.956	3846.032	0.0	605.364	658.447	539.687	3738.823	639.91	896.224	528.14	3731.916	534.45	769.254	3785.648	3790.695	3793.268	668.432	584.384	3754.029	640.417	593.759	3860.076	3762.935	815.51	676.185	3631.915	805.133	3821.259	3788.957	3784.057	714.46	3723.21	629.502	689.58	3870.287	626.154	3790.367	3806.72	529.639	437.418	3721.884	366.848	1273.321	3724.071	1412.868	4184.736	3780.092	1394.55	703.088	3716.992	4176.872	2064.93	4314.351	4053.508	4034.642	1372.826	
SHH_WT_models27717.py	802.615	739.33	3851.847	3759.27	3848.96	809.665	3757.309	660.595	688.076	766.9	4010.956	753.763	892.461	703.883	409.545	874.397	543.494	3743.517	4105.806	383.689	238.067	727.926	3782.084	489.903	3800.229	721.935	3708.975	3741.399	3754.512	3722.477	3807.161	3761.523	399.06	3899.194	920.87	3813.652	300.293	3805.292	3700.725	3797.621	605.364	0.0	247.96	282.615	3713.804	295.818	534.545	500.992	3707.575	267.529	663.274	3754.62	3743.069	3774.11	401.406	578.503	3714.021	467.661	491.03	3799.297	3720.625	457.563	362.784	3653.188	545.273	3760.649	3741.749	3735.932	375.85	3704.176	854.897	377.943	3797.015	446.243	3751.277	3755.208	369.891	443.784	3687.624	634.495	1281.597	3707.105	1391.477	4169.949	3786.512	1351.183	607.1	3671.049	4144.378	1957.458	4276.142	4039.727	4024.772	1346.913	
SHH_WT_models23029.py	868.287	776.089	3871.569	3774.471	3864.105	880.068	3768.638	708.534	775.003	805.027	4010.525	773.781	937.324	744.229	432.345	866.131	611.265	3760.841	4120.438	360.719	257.215	755.525	3796.505	565.372	3808.855	685.078	3719.794	3758.176	3765.113	3734.547	3822.512	3777.065	436.641	3913.798	901.037	3826.539	372.159	3821.423	3713.45	3814.797	658.447	247.96	0.0	311.396	3731.016	231.366	560.755	511.836	3723.751	313.443	725.163	3766.644	3759.675	3798.928	396.391	628.015	3730.643	491.784	583.531	3815.339	3730.118	375.008	315.542	3670.866	455.67	3776.977	3756.823	3750.637	371.648	3726.136	883.967	275.351	3815.429	439.829	3762.856	3765.997	403.997	523.277	3708.177	722.642	1285.693	3722.69	1413.921	4178.664	3801.988	1360.853	533.802	3686.42	4156.513	1914.588	4287.212	4045.956	4031.428	1370.267	
SHH_WT_models15986.py	815.567	672.404	3821.991	3720.843	3830.033	784.417	3734.043	612.933	731.438	840.867	4001.147	818.431	815.731	651.257	411.334	803.481	574.051	3727.161	4114.52	411.473	284.615	714.026	3767.69	508.505	3780.082	738.645	3692.734	3707.661	3741.353	3708.209	3793.004	3722.277	311.218	3888.48	813.646	3780.142	257.5	3795.908	3682.229	3783.326	539.687	282.615	311.396	0.0	3693.106	265.777	632.799	450.375	3684.736	297.657	716.405	3730.922	3729.791	3750.736	414.462	601.844	3698.185	464.854	521.123	3784.646	3699.213	469.495	309.628	3612.085	529.286	3747.824	3721.401	3721.639	428.29	3683.708	792.411	397.594	3782.156	421.671	3730.521	3737.667	368.166	409.688	3671.93	583.313	1251.545	3681.216	1397.508	4127.045	3740.249	1362.628	476.815	3653.823	4111.126	1932.765	4245.289	3996.021	3981.668	1349.053	
SHH_WT_models17583.py	3842.252	3713.392	865.282	807.089	769.813	3754.302	718.745	3765.538	3860.721	3863.607	1485.845	3842.973	3748.892	3774.013	3794.683	3741.49	3852.785	485.591	1554.335	3762.691	3751.247	3798.293	388.549	3773.923	566.302	3761.289	456.531	787.946	445.7	496.708	525.585	827.284	3766.068	593.435	3685.468	799.322	3707.137	496.235	378.215	428.418	3738.823	3713.804	3731.016	3693.106	0.0	3733.546	3802.059	3818.911	331.97	3720.504	3873.333	438.283	295.203	483.779	3727.778	3874.015	333.61	3741.78	3813.847	556.882	466.299	3706.871	3709.406	935.964	3768.501	516.585	561.455	300.002	3729.324	339.349	3801.581	3740.654	636.71	3729.661	450.925	608.961	3700.79	3729.503	391.895	3684.313	3961.412	426.639	4020.753	1482.762	1040.594	4119.331	3693.931	424.168	1363.386	4062.197	1792.723	1302.185	1265.005	4091.583	
SHH_WT_models35708.py	878.783	751.662	3875.915	3773.292	3866.838	825.384	3768.849	647.771	751.024	803.696	4015.06	787.555	912.469	719.34	452.789	849.746	590.322	3767.33	4134.119	334.08	308.556	704.97	3804.0	574.066	3803.417	717.072	3720.825	3754.728	3767.958	3739.876	3828.24	3773.536	372.09	3920.992	875.268	3820.309	322.849	3830.246	3714.557	3822.271	639.91	295.818	231.366	265.777	3733.546	0.0	565.58	469.938	3722.353	291.187	698.711	3759.19	3763.835	3801.921	297.196	601.297	3733.314	415.834	558.452	3819.86	3729.25	426.712	299.685	3668.75	515.864	3785.869	3761.277	3753.913	332.476	3729.565	822.537	366.068	3819.851	488.668	3759.211	3769.102	396.335	518.583	3714.846	718.444	1250.588	3715.299	1384.312	4167.431	3793.366	1344.098	557.807	3685.571	4147.212	1935.998	4285.76	4026.059	4012.959	1345.988	
SHH_WT_models32644.py	831.921	836.883	3957.62	3872.336	3908.108	864.963	3807.863	660.839	567.941	493.914	3998.794	410.724	1047.808	876.557	549.408	959.625	570.747	3821.01	4078.391	535.205	496.999	731.336	3865.621	693.363	3862.367	646.914	3773.707	3867.588	3823.357	3780.451	3894.031	3881.306	643.606	3963.02	1066.601	3921.35	579.811	3872.597	3778.175	3883.265	896.224	534.545	560.755	632.799	3802.059	565.58	0.0	614.767	3798.075	601.2	563.72	3844.294	3817.447	3889.408	604.037	669.32	3816.612	608.244	635.073	3884.11	3794.625	571.757	586.731	3782.735	581.345	3833.226	3818.463	3816.469	568.695	3812.409	933.285	587.949	3851.481	771.242	3842.511	3826.59	720.017	815.271	3793.858	971.064	1274.758	3811.751	1333.72	4232.464	3906.081	1269.195	802.094	3759.34	4196.887	1722.956	4304.527	4101.109	4088.999	1296.76	
SHH_WT_models488.py	706.788	763.428	3966.085	3858.841	3960.557	803.814	3852.833	563.301	531.465	783.076	4107.746	747.318	799.985	616.119	281.558	828.66	313.502	3855.652	4206.984	495.538	405.654	644.71	3906.31	380.863	3902.468	771.608	3812.155	3847.988	3868.04	3830.651	3935.834	3850.429	287.868	4027.246	838.78	3916.24	464.774	3928.573	3802.528	3921.101	528.14	500.992	511.836	450.375	3818.911	469.938	614.767	0.0	3808.669	432.167	473.508	3857.741	3854.343	3889.1	512.368	383.005	3834.935	485.172	386.327	3926.519	3821.917	610.532	538.45	3739.55	593.41	3879.133	3852.923	3849.382	534.614	3815.746	655.973	517.262	3905.449	496.65	3862.089	3866.825	515.03	498.186	3806.694	619.792	1242.52	3807.027	1388.049	4250.84	3873.747	1246.686	609.802	3784.124	4233.495	1900.396	4358.331	4103.057	4087.354	1246.976	
SHH_WT_models29228.py	3840.964	3700.914	1010.886	866.842	899.177	3742.667	704.999	3751.976	3861.666	3868.276	1556.293	3844.686	3736.769	3762.974	3788.224	3724.227	3851.901	485.648	1681.501	3751.556	3748.039	3784.24	432.465	3768.779	520.393	3747.399	421.981	846.558	396.026	480.303	508.507	875.375	3756.878	628.293	3665.917	919.315	3698.924	521.384	244.369	428.083	3731.916	3707.575	3723.751	3684.736	331.97	3722.353	3798.075	3808.669	0.0	3713.063	3871.96	414.536	424.911	564.796	3714.095	3868.131	349.996	3726.192	3808.465	533.073	384.971	3689.355	3694.463	944.923	3761.86	457.199	462.115	419.62	3717.942	394.139	3783.682	3735.347	670.557	3724.198	389.196	442.611	3693.243	3728.287	446.237	3676.874	3930.161	309.735	3989.517	1536.325	1076.838	4087.552	3682.279	342.791	1387.042	4035.968	1881.19	1300.801	1276.843	4058.337	
SHH_WT_models44997.py	826.656	768.592	3864.218	3761.311	3870.124	819.31	3776.466	674.802	727.133	860.864	4044.905	850.28	868.695	664.875	388.724	864.779	522.576	3761.878	4153.139	401.063	286.32	731.554	3800.155	459.755	3812.083	801.283	3719.9	3744.121	3765.498	3741.076	3826.797	3758.952	303.812	3922.376	893.303	3817.054	351.444	3827.424	3708.469	3813.98	534.45	267.529	313.443	297.657	3720.504	291.187	601.2	432.167	3713.063	0.0	645.625	3757.972	3753.407	3785.831	377.989	540.043	3721.507	436.689	420.463	3820.45	3732.257	509.448	421.587	3657.94	587.668	3781.509	3759.566	3746.384	339.066	3709.098	812.758	424.221	3822.951	443.307	3756.946	3771.701	296.616	358.82	3696.248	584.231	1308.879	3710.175	1439.55	4176.734	3788.907	1379.098	609.191	3679.566	4156.367	2038.608	4292.774	4042.138	4025.237	1372.219	
SHH_WT_models39351.py	786.326	942.344	4026.581	3941.503	3996.619	887.962	3894.046	691.355	389.678	739.639	4115.566	654.827	999.099	826.966	455.092	1025.543	286.242	3897.663	4160.266	683.131	594.667	732.654	3949.46	569.698	3952.255	889.705	3859.951	3938.139	3917.81	3867.84	3978.413	3938.149	548.653	4041.786	1073.372	3995.983	660.472	3950.802	3857.955	3963.842	769.254	663.274	725.163	716.405	3873.333	698.711	563.72	473.508	3871.96	645.625	0.0	3927.039	3892.277	3949.295	697.007	361.925	3900.734	646.876	429.56	3965.163	3876.333	789.671	784.592	3833.441	737.301	3912.308	3900.914	3894.085	711.975	3880.257	840.009	763.405	3927.975	762.6	3931.689	3922.409	724.887	728.598	3869.357	873.345	1340.012	3882.504	1430.519	4310.501	3973.324	1242.17	912.877	3843.407	4275.724	1940.82	4374.74	4179.322	4167.575	1243.668	
SHH_WT_models43041.py	3906.979	3744.823	905.158	785.364	759.686	3780.015	713.903	3796.484	3920.885	3916.84	1420.036	3896.792	3791.15	3814.189	3848.27	3760.075	3909.616	596.391	1539.566	3778.673	3799.092	3810.477	475.743	3828.577	327.215	3801.489	434.43	750.538	390.826	572.84	533.627	790.328	3805.839	574.791	3699.719	690.426	3750.301	610.135	414.651	541.637	3785.648	3754.62	3766.644	3730.922	438.283	3759.19	3844.294	3857.741	414.536	3757.972	3927.039	0.0	490.933	635.865	3737.014	3918.257	404.671	3751.746	3862.757	595.252	437.77	3732.414	3734.796	922.511	3810.334	646.26	623.847	482.199	3742.453	543.144	3810.362	3779.659	714.412	3785.239	292.932	561.083	3737.418	3785.707	551.388	3739.402	3951.632	408.845	4010.795	1420.592	957.646	4116.062	3733.776	463.642	1312.336	4092.232	1778.945	1173.531	1149.924	4091.915	
SHH_WT_models11029.py	3880.066	3769.214	952.05	931.903	772.762	3806.331	726.643	3814.031	3880.495	3873.104	1467.8	3855.022	3812.823	3828.476	3825.164	3799.485	3874.276	439.599	1496.451	3797.208	3782.017	3843.959	380.968	3815.513	587.589	3792.892	411.142	901.024	399.676	439.647	460.157	969.63	3803.779	542.989	3752.296	926.803	3735.642	427.547	386.988	420.869	3790.695	3743.069	3759.675	3729.791	295.203	3763.835	3817.447	3854.343	424.911	3753.407	3892.277	490.933	0.0	552.669	3763.716	3905.352	373.026	3781.819	3843.717	491.769	475.202	3738.789	3745.436	1079.483	3793.559	445.472	513.109	265.875	3761.421	399.571	3860.653	3771.41	578.482	3762.838	516.414	585.624	3738.064	3766.613	371.05	3737.826	4015.701	497.904	4070.228	1491.983	1142.635	4164.87	3739.475	448.602	1341.099	4106.446	1777.526	1328.105	1297.521	4141.009	
