	SHH_WT_models39112.py	SHH_WT_models17169.py	SHH_WT_models39507.py	SHH_WT_models29348.py	SHH_WT_models8890.py	SHH_WT_models22582.py	SHH_WT_models35923.py	SHH_WT_models28174.py	SHH_WT_models48773.py	SHH_WT_models27908.py	SHH_WT_models44428.py	SHH_WT_models2347.py	SHH_WT_models37605.py	SHH_WT_models25404.py	SHH_WT_models1709.py	SHH_WT_models31532.py	SHH_WT_models15235.py	SHH_WT_models5070.py	SHH_WT_models11760.py	SHH_WT_models44981.py	SHH_WT_models49283.py	SHH_WT_models44943.py	SHH_WT_models36637.py	SHH_WT_models47783.py	SHH_WT_models36833.py	SHH_WT_models26485.py	SHH_WT_models34323.py	SHH_WT_models38276.py	SHH_WT_models29459.py	SHH_WT_models29007.py	SHH_WT_models42278.py	SHH_WT_models9748.py	SHH_WT_models14847.py	SHH_WT_models2378.py	SHH_WT_models1483.py	SHH_WT_models22704.py	SHH_WT_models41149.py	SHH_WT_models46610.py	SHH_WT_models39215.py	SHH_WT_models21516.py	SHH_WT_models12018.py	SHH_WT_models29668.py	SHH_WT_models11746.py	SHH_WT_models34283.py	SHH_WT_models38454.py	SHH_WT_models25210.py	SHH_WT_models25325.py	SHH_WT_models5447.py	SHH_WT_models42102.py	SHH_WT_models38869.py	SHH_WT_models32950.py	SHH_WT_models9457.py	SHH_WT_models12231.py	SHH_WT_models8847.py	SHH_WT_models15552.py	SHH_WT_models41837.py	SHH_WT_models40274.py	SHH_WT_models7095.py	SHH_WT_models3886.py	SHH_WT_models31195.py	SHH_WT_models37289.py	SHH_WT_models10306.py	SHH_WT_models18570.py	SHH_WT_models17085.py	SHH_WT_models9654.py	SHH_WT_models32237.py	SHH_WT_models33698.py	SHH_WT_models33622.py	SHH_WT_models571.py	SHH_WT_models28611.py	SHH_WT_models40317.py	SHH_WT_models40479.py	SHH_WT_models11273.py	SHH_WT_models2611.py	SHH_WT_models14471.py	SHH_WT_models40152.py	SHH_WT_models1789.py	SHH_WT_models717.py	SHH_WT_models43346.py	SHH_WT_models29730.py	SHH_WT_models21876.py	SHH_WT_models7530.py	SHH_WT_models41274.py	SHH_WT_models27167.py	SHH_WT_models8846.py	SHH_WT_models34442.py	SHH_WT_models18377.py	SHH_WT_models41778.py	SHH_WT_models9585.py	SHH_WT_models8077.py	SHH_WT_models32116.py	SHH_WT_models11050.py	SHH_WT_models34664.py	SHH_WT_models32695.py	SHH_WT_models7948.py	SHH_WT_models35309.py	SHH_WT_models192.py	SHH_WT_models23133.py	SHH_WT_models6070.py	SHH_WT_models28238.py	SHH_WT_models34190.py	SHH_WT_models48341.py	SHH_WT_models22069.py	SHH_WT_models13902.py	SHH_WT_models49537.py	SHH_WT_models38655.py	
SHH_WT_models36637.py	3925.161	3789.315	863.889	867.885	749.714	3843.344	683.008	3854.914	3933.337	3920.199	1442.539	3897.255	3842.527	3869.04	3875.656	3826.517	3928.787	346.75	1446.256	3837.607	3822.363	3885.484	0.0	3863.57	541.143	3820.768	474.212	830.832	410.655	412.535	260.89	946.574	3855.731	400.869	3773.972	872.224	3776.095	285.274	432.433	265.247	3835.566	3782.084	3796.505	3767.69	388.549	3804.0	3865.621	3906.31	432.465	3800.155	3949.46	475.743	380.968	518.284	3802.593	3962.501	327.799	3826.017	3901.058	308.033	485.318	3765.73	3778.832	996.089	3827.466	381.841	471.407	385.39	3804.533	472.161	3899.379	3809.364	502.19	3804.897	449.575	476.819	3780.887	3814.252	400.185	3778.191	4036.231	525.115	4091.522	1412.294	1078.34	4195.402	3770.808	448.243	1271.222	4116.886	1721.518	1288.462	1272.702	4170.824	4071.685	4251.508	1247.431	4233.501	3770.8	4015.503	1198.989	4203.433	1285.948	1264.072	1336.852	1245.377	
SHH_WT_models47783.py	518.988	701.678	3906.178	3802.635	3921.471	716.223	3825.574	556.273	530.988	813.281	4098.31	799.252	672.553	466.332	336.425	769.888	381.999	3813.621	4178.97	579.775	464.8	681.581	3863.57	0.0	3881.535	777.722	3783.932	3794.617	3835.941	3802.826	3892.341	3795.155	405.399	3987.784	777.977	3874.449	516.283	3891.261	3767.769	3875.236	368.449	489.903	565.372	508.505	3773.923	574.066	693.363	380.863	3768.779	459.755	569.698	3828.577	3815.513	3830.023	632.592	461.1	3789.002	574.386	428.606	3887.57	3793.823	703.978	594.143	3685.574	686.766	3839.259	3814.28	3812.907	629.842	3760.159	660.226	568.032	3875.303	486.06	3832.341	3837.887	529.901	411.159	3754.582	409.477	1269.247	3771.524	1390.054	4228.218	3830.828	1296.513	648.694	3751.856	4207.162	1930.807	4331.937	4094.576	4076.429	1283.858	1306.403	1467.295	4163.024	1347.472	619.263	1312.783	4033.048	1308.655	4206.26	4186.607	4204.554	4057.22	
SHH_WT_models36833.py	3947.547	3794.991	927.433	814.629	666.747	3832.517	529.655	3841.435	3945.04	3924.625	1196.23	3902.22	3851.674	3874.863	3885.853	3812.898	3942.394	585.157	1370.204	3818.171	3841.192	3852.909	541.143	3881.535	0.0	3823.982	398.614	823.205	359.158	504.122	571.18	880.065	3856.637	572.555	3758.576	731.987	3793.282	642.801	458.604	612.487	3848.958	3800.229	3808.855	3780.082	566.302	3803.417	3862.367	3902.468	520.393	3812.083	3952.255	327.215	587.589	803.651	3786.846	3959.003	581.093	3800.005	3908.444	641.481	430.81	3769.056	3779.52	953.877	3837.329	665.267	617.452	609.636	3791.658	719.035	3867.205	3819.745	646.12	3836.032	450.791	508.242	3796.54	3846.895	693.622	3809.722	4001.99	566.106	4054.533	1323.781	981.124	4156.825	3779.32	554.759	1220.155	4094.745	1645.895	1066.286	1056.931	4136.262	4033.307	4220.06	1234.654	4212.724	3786.807	4007.667	1037.855	4175.431	1215.093	1153.125	1277.655	1075.978	
SHH_WT_models26485.py	752.477	693.503	3867.843	3769.057	3861.737	915.036	3748.463	658.407	785.491	606.973	3957.92	601.712	944.761	864.543	693.297	767.68	828.178	3765.955	4067.512	682.439	716.468	783.604	3820.768	777.722	3823.982	0.0	3742.78	3771.909	3788.833	3744.319	3841.517	3780.792	843.309	3925.003	859.744	3843.111	695.295	3841.782	3741.652	3832.717	949.828	721.935	685.078	738.645	3761.289	717.072	646.914	771.608	3747.399	801.283	889.705	3801.489	3792.892	3811.38	835.744	912.619	3767.328	843.73	925.657	3836.853	3759.256	537.91	656.96	3670.356	533.617	3788.217	3761.911	3793.067	864.19	3750.298	957.873	650.696	3813.278	758.829	3800.192	3778.879	934.46	939.524	3742.027	984.154	1205.964	3758.111	1274.012	4149.896	3800.539	1279.884	583.912	3726.117	4128.214	1343.767	4242.842	4036.791	4026.943	1290.192	1255.702	1336.728	4098.372	1274.339	715.102	1167.085	3982.119	1256.445	4131.015	4123.04	4137.671	4008.877	
SHH_WT_models34323.py	3856.062	3729.315	1010.442	894.166	687.74	3765.947	494.608	3766.199	3850.938	3834.976	1266.293	3812.352	3776.52	3792.825	3788.147	3750.692	3845.209	436.668	1429.783	3746.914	3748.263	3790.981	474.212	3783.932	398.614	3742.78	0.0	871.77	259.945	293.369	517.509	944.516	3766.66	625.787	3703.263	903.944	3703.096	562.804	256.386	556.709	3760.062	3708.975	3719.794	3692.734	456.531	3720.825	3773.707	3812.155	421.981	3719.9	3859.951	434.43	411.142	758.022	3717.502	3870.784	467.093	3729.613	3813.7	575.273	314.578	3689.405	3699.957	987.501	3747.773	518.299	454.816	460.405	3715.636	593.728	3808.533	3727.682	565.388	3733.838	497.361	447.094	3706.505	3746.671	531.778	3713.391	3957.83	512.919	4012.025	1439.939	1067.792	4106.687	3695.21	435.177	1297.197	4042.967	1712.867	1181.977	1178.374	4086.644	3988.123	4167.805	1286.143	4148.377	3698.762	3948.07	1079.061	4116.162	1303.044	1258.796	1367.312	1132.667	
SHH_WT_models38276.py	3854.936	3683.405	577.402	367.547	718.63	3737.111	850.325	3765.598	3923.396	3924.038	1414.483	3906.178	3721.344	3765.762	3829.974	3703.497	3908.395	818.395	1552.941	3778.988	3787.999	3791.36	830.832	3794.617	823.205	3771.909	871.77	0.0	849.305	955.376	845.831	367.492	3790.106	935.878	3639.812	543.133	3732.387	1044.976	865.732	902.485	3742.102	3741.399	3758.176	3707.661	787.946	3754.728	3867.588	3847.988	846.558	3744.121	3938.139	750.538	901.024	702.602	3745.323	3913.245	803.679	3755.619	3851.919	980.97	890.132	3716.392	3716.479	457.778	3791.856	1028.591	919.187	965.113	3753.63	780.832	3783.17	3768.655	1022.914	3747.844	917.303	948.216	3715.979	3748.583	832.633	3685.775	3914.97	858.368	3982.014	1470.263	645.414	4089.397	3690.607	1002.222	1438.93	4055.713	1708.822	1305.361	1276.012	4055.904	3960.998	4158.124	1378.579	4150.424	3704.467	3930.179	1236.205	4105.887	1365.662	1376.877	1371.186	1317.818	
SHH_WT_models29459.py	3906.217	3770.789	990.315	874.585	723.88	3811.519	550.832	3819.865	3909.946	3887.398	1312.597	3867.016	3822.11	3840.226	3841.957	3791.875	3901.819	427.36	1453.514	3792.431	3797.007	3840.859	410.655	3835.941	359.158	3788.833	259.945	849.305	0.0	339.188	444.554	938.404	3819.396	555.419	3742.526	881.809	3751.983	506.532	272.493	457.038	3807.658	3754.512	3765.113	3741.353	445.7	3767.958	3823.357	3868.04	396.026	3765.498	3917.81	390.826	399.676	727.144	3762.235	3925.419	420.547	3777.026	3865.462	507.939	364.078	3731.339	3745.415	998.05	3796.27	484.593	437.047	469.481	3758.516	536.628	3856.96	3776.028	601.466	3782.973	433.635	370.799	3750.257	3794.737	495.791	3759.8	3999.22	490.724	4052.37	1441.123	1082.175	4149.554	3743.066	431.449	1293.574	4083.907	1734.39	1209.067	1192.364	4129.179	4029.627	4208.69	1290.024	4193.96	3745.783	3988.777	1117.788	4158.569	1308.524	1253.982	1368.397	1170.039	
SHH_WT_models29007.py	3868.438	3745.323	1019.384	958.521	722.516	3794.168	461.198	3788.229	3854.038	3834.396	1260.765	3807.924	3797.343	3819.552	3799.886	3780.24	3854.408	323.794	1357.847	3773.904	3759.704	3822.698	412.535	3802.826	504.122	3744.319	293.369	955.376	339.188	0.0	466.154	1068.218	3786.847	588.899	3729.934	995.089	3710.334	426.101	351.032	490.861	3783.619	3722.477	3734.547	3708.209	496.708	3739.876	3780.451	3830.651	480.303	3741.076	3867.84	572.84	439.647	763.821	3745.512	3889.606	525.769	3762.638	3828.206	475.005	418.929	3698.278	3716.921	1042.063	3754.082	406.426	377.98	477.3	3744.198	617.5	3843.261	3744.668	448.531	3741.197	565.621	400.845	3726.607	3761.392	554.492	3732.534	3982.159	583.612	4036.521	1403.573	1140.749	4123.468	3707.937	461.936	1258.021	4031.212	1660.999	1216.362	1220.032	4100.661	4015.442	4180.124	1240.178	4152.377	3712.09	3960.455	1108.481	4126.249	1282.419	1257.746	1341.469	1169.542	
SHH_WT_models42278.py	3950.382	3815.452	900.662	889.884	777.546	3873.583	695.814	3885.582	3959.721	3941.804	1426.947	3924.074	3875.955	3898.865	3903.01	3851.93	3956.114	343.899	1418.162	3863.614	3852.462	3916.451	260.89	3892.341	571.18	3841.517	517.509	845.831	444.554	466.154	0.0	982.173	3883.717	351.66	3802.126	928.063	3799.987	361.971	485.143	312.347	3865.537	3807.161	3822.512	3793.004	525.585	3828.24	3894.031	3935.834	508.507	3826.797	3978.413	533.627	460.157	573.419	3827.416	3990.249	434.644	3853.383	3928.53	248.642	555.928	3786.573	3801.034	1045.037	3852.758	383.668	435.703	514.202	3832.016	538.935	3932.784	3839.338	544.202	3828.966	519.389	478.624	3811.178	3841.672	468.769	3805.465	4062.282	563.797	4116.826	1407.454	1126.005	4220.275	3794.043	543.657	1245.133	4136.45	1698.303	1296.186	1294.509	4193.087	4098.254	4275.002	1230.396	4253.32	3796.795	4039.161	1227.686	4222.562	1268.717	1250.906	1306.447	1287.025	
SHH_WT_models9748.py	3849.355	3687.437	664.194	375.571	828.482	3735.585	948.972	3764.395	3921.816	3938.419	1504.082	3919.304	3717.651	3763.016	3831.931	3698.357	3910.239	962.388	1673.458	3786.933	3803.071	3788.4	946.574	3795.155	880.065	3780.792	944.516	367.492	938.404	1068.218	982.173	0.0	3797.187	1026.321	3630.842	558.984	3749.901	1152.456	923.61	994.89	3744.144	3761.523	3777.065	3722.277	827.284	3773.536	3881.306	3850.429	875.375	3758.952	3938.149	790.328	969.63	760.565	3760.449	3912.586	888.235	3758.91	3856.255	1104.36	937.128	3733.798	3732.325	523.35	3806.729	1117.901	1023.453	1026.018	3770.059	824.523	3775.123	3782.353	1127.917	3761.142	966.072	1064.537	3734.101	3762.945	912.523	3694.07	3910.336	911.087	3977.341	1517.71	656.562	4079.958	3695.597	1058.799	1496.19	4044.011	1781.674	1334.965	1297.036	4044.312	3956.914	4148.887	1448.351	4139.591	3721.671	3940.863	1266.194	4096.572	1436.587	1429.791	1437.379	1344.099	
SHH_WT_models14847.py	784.901	783.111	3913.788	3802.688	3918.446	809.555	3814.343	627.033	631.252	875.427	4081.493	842.069	827.506	619.002	311.384	872.895	399.998	3810.657	4190.145	474.08	336.671	715.634	3855.731	405.399	3856.637	843.309	3766.66	3790.106	3819.396	3786.847	3883.717	3797.187	0.0	3977.057	858.534	3863.032	398.496	3881.344	3753.642	3869.021	456.416	399.06	436.641	311.218	3766.068	372.09	643.606	287.868	3756.878	303.812	548.653	3805.839	3803.779	3836.998	436.506	389.516	3780.021	437.338	325.77	3874.597	3773.25	601.694	451.903	3690.59	631.201	3832.538	3805.637	3796.159	444.087	3761.268	746.289	501.874	3870.024	466.517	3808.166	3820.847	340.292	359.619	3755.553	559.484	1299.995	3750.068	1450.233	4213.109	3830.98	1346.482	610.214	3731.056	4197.353	2020.397	4324.899	4071.454	4055.811	1329.928	1351.271	1561.606	4154.409	1440.557	508.815	1347.154	4013.789	1372.335	4195.119	4168.247	4195.589	4037.052	
SHH_WT_models2378.py	4029.998	3906.637	865.023	898.865	777.828	3966.451	765.69	3979.01	4024.021	4004.898	1384.808	3988.673	3977.043	3998.556	3986.501	3947.467	4026.456	534.711	1324.711	3946.594	3938.134	4003.585	400.869	3987.784	572.555	3925.003	625.787	935.878	555.419	588.899	351.66	1026.321	3977.057	0.0	3895.735	890.945	3894.521	418.797	637.845	408.883	3969.447	3899.194	3913.798	3888.48	593.435	3920.992	3963.02	4027.246	628.293	3922.376	4041.786	574.791	542.989	654.486	3920.352	4061.059	573.42	3941.685	4009.106	425.323	663.847	3878.24	3894.812	1153.782	3937.342	512.098	632.125	575.66	3923.081	678.67	4030.197	3927.446	604.637	3930.318	558.761	652.204	3909.718	3943.375	662.269	3917.718	4159.959	684.897	4210.304	1286.523	1173.0	4308.905	3893.422	660.511	1156.342	4196.21	1597.473	1257.405	1250.681	4283.147	4195.899	4359.807	1162.784	4330.849	3898.062	4133.041	1217.227	4304.523	1206.306	1172.566	1237.577	1240.731	
SHH_WT_models1483.py	744.191	489.393	3762.635	3624.593	3828.277	603.594	3728.583	606.027	1024.301	1113.913	4017.037	1094.167	452.017	499.923	860.547	367.903	975.612	3741.92	4187.787	759.351	891.268	597.918	3773.972	777.977	3758.576	859.744	3703.263	3639.812	3742.526	3729.934	3802.126	3630.842	858.534	3895.735	0.0	3700.105	893.196	3824.787	3681.881	3780.583	652.41	920.87	901.037	813.646	3685.468	875.268	1066.601	838.78	3665.917	893.303	1073.372	3699.719	3752.296	3730.641	871.477	940.781	3691.356	812.775	1016.838	3801.075	3704.666	888.593	823.515	3513.67	892.408	3772.762	3732.924	3742.934	953.517	3668.716	548.103	882.739	3822.16	948.924	3705.955	3733.024	921.497	930.118	3673.225	801.988	1088.475	3652.193	1214.629	4038.282	3643.594	1312.86	731.298	3660.957	4051.715	1709.871	4212.224	3921.959	3905.92	1311.539	1191.649	1435.424	4016.485	1416.177	893.641	1257.718	3893.077	1382.172	4037.637	4014.125	4037.733	3913.285	
SHH_WT_models22704.py	3932.384	3753.657	506.094	507.782	660.373	3800.472	904.638	3832.357	3981.477	3979.486	1304.855	3963.039	3799.739	3842.471	3902.311	3768.901	3974.61	945.201	1389.183	3828.659	3857.183	3840.914	872.224	3874.449	731.987	3843.111	903.944	543.133	881.809	995.089	928.063	558.984	3863.032	890.945	3700.105	0.0	3805.559	1038.646	940.761	939.356	3820.177	3813.652	3826.539	3780.142	799.322	3820.309	3921.35	3916.24	919.315	3817.054	3995.983	690.426	926.803	806.62	3798.437	3974.766	859.378	3806.459	3924.036	1029.717	949.186	3781.99	3785.918	727.398	3861.327	1097.515	1071.274	952.948	3808.359	894.538	3836.236	3834.348	995.701	3832.958	848.408	1062.62	3791.588	3832.962	919.613	3774.604	3962.887	901.464	4027.599	1337.08	692.42	4138.484	3761.752	1001.372	1367.418	4112.706	1609.362	1217.789	1180.588	4108.762	4007.832	4215.771	1324.264	4210.995	3779.056	3991.074	1189.817	4163.147	1324.568	1286.138	1323.723	1234.314	
SHH_WT_models41149.py	793.882	703.111	3836.739	3746.645	3836.472	794.549	3738.401	600.366	632.888	739.905	4002.855	725.723	859.004	712.539	413.926	873.54	532.091	3729.979	4096.062	475.086	342.179	733.134	3776.095	516.283	3793.282	695.295	3703.096	3732.387	3751.983	3710.334	3799.987	3749.901	398.496	3894.521	893.196	3805.559	0.0	3795.234	3694.048	3790.632	622.439	300.293	372.159	257.5	3707.137	322.849	579.811	464.774	3698.924	351.444	660.472	3750.301	3735.642	3759.992	468.09	633.916	3714.488	522.458	505.205	3789.055	3713.647	488.547	395.806	3635.708	566.807	3749.783	3726.94	3731.362	502.331	3695.444	823.977	463.61	3773.053	410.171	3750.715	3747.298	440.821	451.996	3680.554	621.675	1240.618	3699.467	1363.57	4130.945	3757.422	1323.375	559.668	3665.591	4108.109	1909.975	4242.811	4002.457	3989.574	1305.771	1288.572	1512.233	4066.083	1396.853	464.225	1201.62	3940.46	1340.561	4107.089	4089.732	4107.298	3970.713	
SHH_WT_models46610.py	3951.757	3830.903	1010.577	1049.334	884.336	3887.06	757.729	3890.099	3935.718	3924.596	1506.676	3901.997	3890.015	3912.657	3892.423	3874.872	3935.576	409.636	1455.82	3867.976	3844.843	3925.762	285.274	3891.261	642.801	3841.782	562.804	1044.976	506.532	426.101	361.971	1152.456	3881.344	418.797	3824.787	1038.646	3795.234	0.0	519.466	292.599	3875.623	3805.292	3821.423	3795.908	496.235	3830.246	3872.597	3928.573	521.384	3827.424	3950.802	610.135	427.547	630.545	3834.666	3977.585	468.766	3859.267	3912.526	295.214	597.348	3790.277	3807.131	1178.406	3848.895	310.176	506.043	422.739	3833.575	569.239	3946.011	3835.012	457.468	3825.251	528.811	538.522	3812.402	3841.237	514.912	3816.297	4075.344	609.319	4129.143	1439.857	1245.504	4221.71	3803.166	490.181	1280.534	4129.597	1748.929	1360.223	1346.557	4196.481	4109.848	4275.894	1265.798	4247.266	3801.6	4044.7	1271.969	4221.333	1335.139	1297.569	1378.964	1304.645	
SHH_WT_models39215.py	3843.218	3712.913	1038.559	901.851	812.496	3749.26	596.97	3754.206	3849.302	3845.964	1425.966	3822.103	3752.532	3771.612	3780.337	3733.739	3839.933	423.511	1576.952	3744.189	3740.485	3783.618	432.433	3767.769	458.604	3741.652	256.386	865.732	272.493	351.032	485.143	923.61	3753.642	637.845	3681.881	940.761	3694.048	519.466	0.0	476.992	3737.956	3700.725	3713.45	3682.229	378.215	3714.557	3778.175	3802.528	244.369	3708.469	3857.955	414.651	386.988	674.165	3708.713	3862.407	388.529	3721.245	3802.503	526.589	288.234	3683.182	3690.93	973.232	3748.609	459.961	410.554	410.571	3708.615	480.739	3790.521	3725.019	621.758	3720.755	424.782	387.934	3691.432	3728.774	459.739	3686.706	3942.387	388.552	3999.572	1511.087	1094.314	4095.019	3682.903	351.191	1355.817	4044.063	1821.238	1252.239	1237.964	4071.47	3973.812	4154.318	1343.215	4140.37	3687.401	3939.452	1149.607	4105.887	1368.771	1314.292	1428.293	1200.399	
SHH_WT_models21516.py	3930.441	3797.83	926.323	909.375	872.544	3857.329	769.487	3870.914	3945.903	3937.059	1543.115	3917.655	3850.619	3878.929	3887.112	3835.776	3941.222	402.681	1533.384	3853.688	3839.673	3902.875	265.247	3875.236	612.487	3832.717	556.709	902.485	457.038	490.861	312.347	994.89	3869.021	408.883	3780.583	939.356	3790.632	292.599	476.992	0.0	3846.032	3797.621	3814.797	3783.326	428.418	3822.271	3883.265	3921.101	428.083	3813.98	3963.842	541.637	420.869	509.648	3822.275	3972.625	398.968	3841.625	3909.866	293.329	595.196	3780.74	3794.276	1059.521	3846.556	340.468	470.157	455.203	3822.901	415.723	3913.548	3827.505	567.435	3816.586	478.814	516.022	3795.756	3824.89	429.702	3786.497	4045.625	489.99	4100.911	1451.405	1161.558	4197.635	3783.32	505.499	1301.571	4108.19	1772.832	1354.163	1335.775	4167.176	4082.762	4247.509	1286.882	4230.06	3787.973	4027.989	1276.089	4198.795	1337.824	1306.595	1368.728	1317.806	
SHH_WT_models12018.py	643.46	674.035	3861.253	3747.177	3899.126	661.998	3805.414	629.351	776.755	1024.968	4104.415	1015.491	546.815	352.042	542.124	720.931	601.007	3792.503	4222.978	661.199	573.648	691.773	3835.566	368.449	3848.958	949.828	3760.062	3742.102	3807.658	3783.619	3865.537	3744.144	456.416	3969.447	652.41	3820.177	622.439	3875.623	3737.956	3846.032	0.0	605.364	658.447	539.687	3738.823	639.91	896.224	528.14	3731.916	534.45	769.254	3785.648	3790.695	3793.268	668.432	584.384	3754.029	640.417	593.759	3860.076	3762.935	815.51	676.185	3631.915	805.133	3821.259	3788.957	3784.057	714.46	3723.21	629.502	689.58	3870.287	626.154	3790.367	3806.72	529.639	437.418	3721.884	366.848	1273.321	3724.071	1412.868	4184.736	3780.092	1394.55	703.088	3716.992	4176.872	2064.93	4314.351	4053.508	4034.642	1372.826	1340.658	1582.215	4128.088	1479.395	695.322	1359.013	3996.551	1433.029	4170.11	4146.198	4165.505	4023.651	
SHH_WT_models29668.py	802.615	739.33	3851.847	3759.27	3848.96	809.665	3757.309	660.595	688.076	766.9	4010.956	753.763	892.461	703.883	409.545	874.397	543.494	3743.517	4105.806	383.689	238.067	727.926	3782.084	489.903	3800.229	721.935	3708.975	3741.399	3754.512	3722.477	3807.161	3761.523	399.06	3899.194	920.87	3813.652	300.293	3805.292	3700.725	3797.621	605.364	0.0	247.96	282.615	3713.804	295.818	534.545	500.992	3707.575	267.529	663.274	3754.62	3743.069	3774.11	401.406	578.503	3714.021	467.661	491.03	3799.297	3720.625	457.563	362.784	3653.188	545.273	3760.649	3741.749	3735.932	375.85	3704.176	854.897	377.943	3797.015	446.243	3751.277	3755.208	369.891	443.784	3687.624	634.495	1281.597	3707.105	1391.477	4169.949	3786.512	1351.183	607.1	3671.049	4144.378	1957.458	4276.142	4039.727	4024.772	1346.913	1312.78	1527.582	4105.298	1430.346	430.643	1243.137	3977.18	1361.476	4144.605	4124.605	4151.071	4001.849	
SHH_WT_models11746.py	868.287	776.089	3871.569	3774.471	3864.105	880.068	3768.638	708.534	775.003	805.027	4010.525	773.781	937.324	744.229	432.345	866.131	611.265	3760.841	4120.438	360.719	257.215	755.525	3796.505	565.372	3808.855	685.078	3719.794	3758.176	3765.113	3734.547	3822.512	3777.065	436.641	3913.798	901.037	3826.539	372.159	3821.423	3713.45	3814.797	658.447	247.96	0.0	311.396	3731.016	231.366	560.755	511.836	3723.751	313.443	725.163	3766.644	3759.675	3798.928	396.391	628.015	3730.643	491.784	583.531	3815.339	3730.118	375.008	315.542	3670.866	455.67	3776.977	3756.823	3750.637	371.648	3726.136	883.967	275.351	3815.429	439.829	3762.856	3765.997	403.997	523.277	3708.177	722.642	1285.693	3722.69	1413.921	4178.664	3801.988	1360.853	533.802	3686.42	4156.513	1914.588	4287.212	4045.956	4031.428	1370.267	1333.63	1549.02	4119.754	1450.44	358.943	1274.962	3986.164	1380.867	4154.309	4132.609	4162.624	4009.688	
SHH_WT_models34283.py	815.567	672.404	3821.991	3720.843	3830.033	784.417	3734.043	612.933	731.438	840.867	4001.147	818.431	815.731	651.257	411.334	803.481	574.051	3727.161	4114.52	411.473	284.615	714.026	3767.69	508.505	3780.082	738.645	3692.734	3707.661	3741.353	3708.209	3793.004	3722.277	311.218	3888.48	813.646	3780.142	257.5	3795.908	3682.229	3783.326	539.687	282.615	311.396	0.0	3693.106	265.777	632.799	450.375	3684.736	297.657	716.405	3730.922	3729.791	3750.736	414.462	601.844	3698.185	464.854	521.123	3784.646	3699.213	469.495	309.628	3612.085	529.286	3747.824	3721.401	3721.639	428.29	3683.708	792.411	397.594	3782.156	421.671	3730.521	3737.667	368.166	409.688	3671.93	583.313	1251.545	3681.216	1397.508	4127.045	3740.249	1362.628	476.815	3653.823	4111.126	1932.765	4245.289	3996.021	3981.668	1349.053	1317.587	1560.859	4068.717	1456.034	398.943	1250.122	3936.485	1391.339	4106.757	4086.408	4108.875	3965.053	
SHH_WT_models38454.py	3842.252	3713.392	865.282	807.089	769.813	3754.302	718.745	3765.538	3860.721	3863.607	1485.845	3842.973	3748.892	3774.013	3794.683	3741.49	3852.785	485.591	1554.335	3762.691	3751.247	3798.293	388.549	3773.923	566.302	3761.289	456.531	787.946	445.7	496.708	525.585	827.284	3766.068	593.435	3685.468	799.322	3707.137	496.235	378.215	428.418	3738.823	3713.804	3731.016	3693.106	0.0	3733.546	3802.059	3818.911	331.97	3720.504	3873.333	438.283	295.203	483.779	3727.778	3874.015	333.61	3741.78	3813.847	556.882	466.299	3706.871	3709.406	935.964	3768.501	516.585	561.455	300.002	3729.324	339.349	3801.581	3740.654	636.71	3729.661	450.925	608.961	3700.79	3729.503	391.895	3684.313	3961.412	426.639	4020.753	1482.762	1040.594	4119.331	3693.931	424.168	1363.386	4062.197	1792.723	1302.185	1265.005	4091.583	3997.555	4177.914	1323.257	4162.101	3700.409	3956.115	1182.428	4129.591	1386.428	1331.866	1413.509	1221.996	
SHH_WT_models25210.py	878.783	751.662	3875.915	3773.292	3866.838	825.384	3768.849	647.771	751.024	803.696	4015.06	787.555	912.469	719.34	452.789	849.746	590.322	3767.33	4134.119	334.08	308.556	704.97	3804.0	574.066	3803.417	717.072	3720.825	3754.728	3767.958	3739.876	3828.24	3773.536	372.09	3920.992	875.268	3820.309	322.849	3830.246	3714.557	3822.271	639.91	295.818	231.366	265.777	3733.546	0.0	565.58	469.938	3722.353	291.187	698.711	3759.19	3763.835	3801.921	297.196	601.297	3733.314	415.834	558.452	3819.86	3729.25	426.712	299.685	3668.75	515.864	3785.869	3761.277	3753.913	332.476	3729.565	822.537	366.068	3819.851	488.668	3759.211	3769.102	396.335	518.583	3714.846	718.444	1250.588	3715.299	1384.312	4167.431	3793.366	1344.098	557.807	3685.571	4147.212	1935.998	4285.76	4026.059	4012.959	1345.988	1299.056	1540.944	4109.512	1451.649	407.354	1255.892	3970.905	1372.406	4142.269	4116.589	4149.812	3995.138	
