	Six_mouse_models36748.py	Six_mouse_models23566.py	Six_mouse_models20174.py	Six_mouse_models25136.py	Six_mouse_models12750.py	Six_mouse_models26653.py	Six_mouse_models33993.py	Six_mouse_models4828.py	Six_mouse_models20817.py	Six_mouse_models48847.py	Six_mouse_models21704.py	Six_mouse_models16824.py	Six_mouse_models33861.py	Six_mouse_models43061.py	Six_mouse_models4407.py	Six_mouse_models24658.py	Six_mouse_models26804.py	Six_mouse_models17088.py	Six_mouse_models14155.py	Six_mouse_models2564.py	Six_mouse_models17178.py	Six_mouse_models1439.py	Six_mouse_models43407.py	Six_mouse_models48513.py	Six_mouse_models655.py	Six_mouse_models49081.py	Six_mouse_models32878.py	Six_mouse_models30124.py	Six_mouse_models46556.py	Six_mouse_models25663.py	Six_mouse_models39041.py	Six_mouse_models23784.py	Six_mouse_models4128.py	Six_mouse_models49200.py	Six_mouse_models5551.py	Six_mouse_models3269.py	Six_mouse_models15504.py	Six_mouse_models8585.py	Six_mouse_models19283.py	Six_mouse_models45856.py	Six_mouse_models22040.py	Six_mouse_models677.py	Six_mouse_models39562.py	Six_mouse_models11017.py	Six_mouse_models28548.py	Six_mouse_models2070.py	Six_mouse_models24474.py	Six_mouse_models21597.py	Six_mouse_models30079.py	Six_mouse_models41645.py	Six_mouse_models30179.py	Six_mouse_models9042.py	Six_mouse_models3660.py	Six_mouse_models17756.py	Six_mouse_models25517.py	Six_mouse_models36432.py	Six_mouse_models24703.py	Six_mouse_models20897.py	Six_mouse_models49893.py	Six_mouse_models28226.py	Six_mouse_models18989.py	Six_mouse_models46973.py	Six_mouse_models1007.py	Six_mouse_models20327.py	Six_mouse_models14974.py	Six_mouse_models23837.py	Six_mouse_models28097.py	Six_mouse_models29317.py	Six_mouse_models10170.py	Six_mouse_models43352.py	Six_mouse_models10486.py	Six_mouse_models31826.py	Six_mouse_models44200.py	Six_mouse_models41648.py	Six_mouse_models32.py	Six_mouse_models8255.py	Six_mouse_models19402.py	Six_mouse_models40438.py	Six_mouse_models4575.py	Six_mouse_models28537.py	Six_mouse_models7247.py	Six_mouse_models14262.py	Six_mouse_models24968.py	Six_mouse_models18368.py	Six_mouse_models8863.py	Six_mouse_models44251.py	Six_mouse_models24016.py	Six_mouse_models27791.py	Six_mouse_models12693.py	Six_mouse_models12049.py	Six_mouse_models4952.py	Six_mouse_models48880.py	Six_mouse_models47608.py	Six_mouse_models46675.py	
Six_mouse_models32878.py	2280.539	791.482	2227.302	2284.097	2248.066	371.709	2314.374	2242.946	2257.37	2197.375	264.065	2211.697	2196.502	840.219	343.045	357.945	512.198	949.489	188.456	397.638	2215.774	369.074	472.21	313.522	2194.985	2244.175	0.0	2196.621	484.179	292.978	2184.072	831.516	2178.367	2278.313	217.275	2243.307	754.634	163.101	272.321	2245.075	2264.846	451.618	565.88	490.38	2222.635	280.159	2223.078	2210.49	2222.749	2182.549	352.305	2245.037	2223.401	446.696	2201.336	2268.064	923.838	2261.181	487.794	2270.915	218.764	812.15	2229.057	2186.823	459.565	2231.486	2185.29	2219.28	362.527	2208.496	2228.007	314.777	2220.509	444.473	2265.12	2202.535	516.517	462.645	501.217	289.528	523.193	503.97	2170.324	442.145	530.208	2166.025	2183.774	641.331	481.717	2207.63	552.129	441.643	2250.808	328.856	
Six_mouse_models30124.py	902.655	2305.641	354.239	914.858	373.041	2213.203	854.443	449.35	401.797	243.583	2209.64	222.071	287.124	2349.683	2198.702	2236.85	2242.0	2264.987	2201.553	2241.027	314.728	2247.173	2235.039	2245.685	187.209	510.195	2196.621	0.0	2233.365	2184.025	150.396	2282.174	264.123	872.574	2217.672	331.398	2287.883	2207.337	2185.629	500.278	900.865	2218.93	2261.256	2211.123	520.949	2184.226	341.808	392.336	302.269	171.026	2208.016	275.228	509.772	2218.066	511.696	472.071	2250.35	802.859	2225.011	521.22	2200.769	2274.145	318.684	226.688	2230.631	869.741	199.836	187.113	2212.13	227.81	499.653	2182.453	377.006	2260.143	458.756	335.224	2211.174	2226.736	2275.664	2220.283	2278.79	2260.085	313.3	2253.585	2212.239	234.111	252.542	2299.824	2270.762	229.43	2274.374	2215.842	460.591	2248.423	
Six_mouse_models46556.py	2231.649	868.492	2260.905	2228.224	2255.074	541.706	2302.33	2192.032	2292.045	2228.555	452.098	2237.074	2235.101	832.998	554.723	576.29	613.814	831.321	482.354	544.658	2218.714	603.074	243.628	575.53	2220.016	2185.099	484.179	2233.365	0.0	488.489	2215.85	806.367	2216.551	2246.501	542.186	2276.193	842.756	457.776	476.764	2298.456	2224.047	284.563	379.91	261.193	2164.719	464.556	2251.018	2225.619	2254.644	2218.114	534.666	2274.155	2167.089	582.245	2158.872	2296.145	837.723	2269.457	302.099	2298.762	442.748	832.629	2267.401	2209.787	207.217	2185.455	2215.84	2252.718	464.495	2238.119	2171.306	517.663	2242.66	586.921	2291.697	2223.481	247.903	579.868	283.878	388.21	659.988	610.555	2204.64	630.431	260.359	2197.927	2208.665	572.433	636.145	2243.69	651.345	361.354	2293.845	554.128	
Six_mouse_models25663.py	2285.359	831.006	2196.969	2294.344	2221.066	259.465	2321.397	2222.884	2224.178	2168.655	224.36	2192.489	2178.276	892.882	220.509	405.062	396.728	939.438	303.469	372.709	2184.6	394.774	443.343	428.817	2176.186	2212.419	292.978	2184.025	488.489	0.0	2173.946	886.856	2153.585	2290.881	305.436	2221.51	785.025	299.676	208.095	2219.377	2287.438	459.407	521.252	553.822	2194.242	315.803	2192.369	2179.953	2201.589	2175.02	286.669	2220.508	2198.988	316.419	2181.199	2247.405	957.131	2266.018	489.608	2237.749	297.777	857.708	2210.21	2177.257	459.063	2244.801	2173.072	2201.636	347.595	2199.313	2197.202	206.892	2183.986	466.005	2241.784	2162.892	516.974	420.721	542.691	272.043	517.672	470.025	2152.865	447.592	543.514	2157.69	2167.152	646.596	499.941	2197.27	530.87	326.102	2223.392	441.356	
Six_mouse_models39041.py	921.903	2301.359	412.953	920.56	424.233	2210.01	886.688	474.289	433.65	227.405	2196.478	226.924	275.515	2344.014	2194.628	2234.086	2244.308	2263.654	2189.711	2230.848	339.292	2244.744	2220.947	2239.29	171.527	521.165	2184.072	150.396	2215.85	2173.946	0.0	2265.616	256.47	855.412	2209.463	389.218	2279.133	2196.826	2176.613	554.318	898.018	2205.545	2251.466	2194.793	526.99	2168.266	347.881	369.092	329.556	127.7	2200.81	330.515	489.351	2211.142	504.11	493.785	2241.824	824.795	2210.569	553.751	2183.6	2262.164	361.431	158.13	2213.037	854.367	178.716	212.847	2198.811	222.867	499.268	2174.021	383.267	2256.014	471.902	341.458	2195.233	2212.078	2259.814	2204.312	2271.563	2251.093	250.966	2244.58	2196.316	175.612	244.748	2291.454	2267.762	257.328	2274.153	2205.975	529.459	2241.079	
Six_mouse_models23784.py	2258.813	600.552	2345.004	2260.035	2352.586	936.656	2304.379	2272.811	2382.105	2307.581	859.471	2298.908	2311.602	580.286	937.599	960.902	982.878	704.308	842.505	958.809	2312.049	976.677	841.494	936.668	2276.767	2271.429	831.516	2282.174	806.367	886.856	2265.616	0.0	2283.964	2254.856	872.008	2346.288	579.45	810.988	864.786	2394.045	2246.615	816.821	940.746	834.784	2248.758	835.445	2331.749	2335.798	2298.809	2265.241	953.99	2333.487	2245.252	927.367	2217.889	2360.489	518.811	2248.169	859.572	2381.45	822.016	298.203	2325.272	2261.407	827.744	2188.338	2268.109	2317.743	861.571	2274.72	2252.907	922.847	2315.882	979.415	2353.461	2314.181	853.101	972.323	858.273	824.169	1040.401	1011.449	2264.087	979.605	874.378	2239.37	2263.46	1012.762	1004.291	2287.711	1044.671	834.826	2379.762	893.629	
Six_mouse_models4128.py	931.933	2306.21	353.784	950.536	436.776	2195.843	902.234	515.431	395.964	233.208	2184.862	318.774	275.135	2344.396	2174.03	2224.189	2223.891	2267.231	2182.314	2220.834	360.445	2222.263	2202.375	2231.889	243.807	498.085	2178.367	264.123	2216.551	2153.585	256.47	2283.964	0.0	879.561	2190.207	407.281	2278.355	2193.355	2160.448	495.894	935.4	2188.628	2232.481	2191.362	517.512	2168.138	313.68	351.716	309.546	254.542	2178.735	376.362	473.542	2192.332	485.631	499.511	2246.713	827.408	2197.862	522.575	2180.221	2269.439	354.447	316.932	2203.864	883.507	281.87	322.761	2187.235	329.62	486.718	2156.315	355.456	2252.227	436.347	281.427	2190.804	2200.936	2259.619	2190.914	2252.085	2229.008	269.174	2226.989	2190.234	256.236	309.473	2268.468	2253.392	313.413	2256.893	2192.178	542.558	2233.665	
Six_mouse_models49200.py	470.151	2299.954	982.392	529.363	942.297	2356.82	442.275	863.259	997.7	870.804	2289.952	917.616	921.121	2291.752	2317.764	2337.499	2379.66	2225.02	2280.867	2361.077	895.302	2337.9	2241.786	2332.526	874.225	847.545	2278.313	872.574	2246.501	2290.881	855.412	2254.856	879.561	0.0	2282.187	970.894	2272.489	2279.391	2274.131	1072.215	242.125	2213.938	2279.603	2199.951	848.592	2285.37	968.301	911.96	892.786	862.685	2288.533	944.921	817.465	2373.464	793.932	1010.676	2201.527	450.613	2238.909	1041.104	2271.538	2237.706	948.944	863.374	2237.314	368.383	858.478	909.073	2299.192	884.171	823.115	2287.352	965.616	2385.352	962.322	900.784	2222.388	2311.766	2288.274	2272.004	2374.268	2340.893	837.96	2331.342	2201.497	829.559	867.219	2305.164	2351.801	886.415	2384.087	2299.109	1067.004	2322.461	
Six_mouse_models5551.py	2284.008	801.245	2237.435	2297.378	2263.157	385.761	2320.646	2265.961	2266.515	2213.011	295.019	2238.259	2217.242	846.889	311.691	330.162	461.907	964.356	260.4	467.995	2237.878	299.292	450.446	312.41	2215.136	2254.802	217.275	2217.672	542.186	305.436	2209.463	872.008	2190.207	2282.187	0.0	2257.86	760.389	221.401	254.395	2245.811	2274.68	423.522	526.508	533.772	2231.275	441.127	2239.014	2235.176	2236.06	2206.905	326.437	2260.038	2237.504	514.458	2205.545	2283.508	950.505	2268.688	527.856	2281.946	318.7	843.544	2246.33	2216.109	489.798	2245.253	2206.314	2240.356	448.837	2233.115	2238.454	305.481	2238.383	464.846	2277.973	2217.846	574.316	504.959	546.424	331.696	541.843	492.717	2188.615	410.369	573.61	2187.399	2203.325	588.842	447.42	2230.5	548.64	499.518	2255.908	324.092	
Six_mouse_models3269.py	961.473	2360.172	251.527	947.065	216.163	2233.494	887.052	430.996	299.978	392.146	2250.127	305.221	259.397	2399.01	2227.774	2231.322	2233.992	2319.494	2236.939	2245.375	374.057	2240.767	2274.96	2248.103	403.444	570.746	2243.307	331.398	2276.193	2221.51	389.218	2346.288	407.281	970.894	2257.86	0.0	2348.854	2256.808	2230.235	319.658	983.693	2262.901	2280.565	2247.534	570.492	2226.055	376.524	437.113	417.387	381.728	2231.59	316.377	576.608	2242.948	580.98	357.643	2299.613	866.901	2254.762	408.265	2245.22	2336.712	268.901	463.958	2270.684	949.721	464.543	330.525	2239.984	420.329	537.504	2219.523	432.712	2247.226	412.854	459.152	2242.013	2256.73	2305.316	2265.552	2264.323	2260.206	480.635	2264.608	2248.798	475.079	389.841	2295.384	2269.202	340.001	2254.355	2248.194	236.617	2262.833	
Six_mouse_models15504.py	2271.868	294.649	2332.362	2293.426	2357.284	809.366	2276.832	2333.251	2358.943	2308.043	766.144	2314.129	2323.567	400.99	806.277	799.424	808.729	543.319	773.676	796.917	2320.527	794.025	829.729	771.792	2289.213	2316.66	754.634	2287.883	842.756	785.025	2279.133	579.45	2278.355	2272.489	760.389	2348.854	0.0	752.561	790.275	2350.406	2279.889	824.878	858.469	841.715	2304.331	813.187	2337.771	2339.105	2292.325	2277.375	806.929	2331.835	2294.636	755.86	2271.061	2365.498	597.649	2228.769	867.068	2365.226	772.262	486.102	2331.191	2277.736	826.275	2230.295	2274.649	2327.578	823.293	2289.696	2295.268	798.428	2315.367	828.398	2354.49	2306.432	870.633	851.487	837.654	785.041	873.663	862.481	2261.111	834.465	850.625	2247.03	2267.625	911.986	846.361	2291.485	876.218	827.479	2354.49	743.353	
Six_mouse_models8585.py	2265.484	770.82	2234.888	2272.121	2254.333	348.143	2312.226	2246.892	2267.191	2207.018	237.65	2220.955	2214.985	846.809	317.678	351.784	510.814	924.532	235.204	426.644	2219.626	403.989	454.528	331.845	2203.149	2240.913	163.101	2207.337	457.776	299.676	2196.826	810.988	2193.355	2279.391	221.401	2256.808	752.561	0.0	221.991	2258.64	2264.556	432.071	530.322	513.654	2219.009	347.994	2228.201	2216.79	2233.118	2198.643	354.515	2250.173	2223.188	487.399	2205.158	2282.998	932.808	2262.078	522.493	2282.796	243.296	819.248	2244.021	2193.828	466.533	2228.537	2191.245	2224.839	424.157	2215.325	2227.804	280.709	2227.535	429.889	2283.573	2209.366	534.557	467.1	498.039	308.52	565.851	529.349	2190.929	441.698	545.504	2176.704	2195.376	643.413	450.857	2219.06	552.649	432.6	2255.44	322.191	
Six_mouse_models19283.py	2256.97	805.772	2200.182	2266.034	2225.566	278.558	2307.997	2224.901	2230.819	2174.933	195.262	2198.343	2187.343	902.984	246.847	362.551	450.651	946.614	278.102	399.846	2192.312	387.109	436.521	386.489	2176.38	2207.402	272.321	2185.629	476.764	208.095	2176.613	864.786	2160.448	2274.131	254.395	2230.235	790.275	221.991	0.0	2229.828	2266.755	443.976	507.555	557.549	2187.638	365.559	2193.555	2184.315	2200.218	2178.225	299.545	2224.891	2195.38	432.081	2179.432	2253.909	976.341	2254.657	535.341	2245.302	264.17	866.344	2218.976	2174.023	474.274	2224.606	2169.373	2202.726	437.56	2194.51	2195.251	200.311	2192.356	423.708	2247.932	2167.997	551.11	424.938	543.712	316.001	550.161	486.45	2163.808	415.379	562.954	2157.626	2168.588	638.303	452.501	2202.183	526.902	397.621	2229.732	373.165	
Six_mouse_models45856.py	1023.44	2371.468	274.829	1005.089	371.715	2217.68	972.915	555.162	236.388	545.124	2236.2	455.797	407.582	2377.988	2224.757	2201.809	2202.701	2358.725	2226.359	2216.084	542.706	2201.825	2275.692	2218.579	556.741	606.104	2245.075	500.278	2298.456	2219.377	554.318	2394.045	495.894	1072.215	2245.811	319.658	2350.406	2258.64	2229.828	0.0	1112.539	2279.449	2256.164	2271.527	627.084	2242.51	406.062	513.559	429.302	518.307	2230.438	404.747	637.624	2228.389	671.977	418.334	2356.741	940.252	2272.126	393.754	2242.659	2374.822	301.356	620.597	2279.707	1041.582	603.402	498.454	2242.243	505.039	591.694	2224.203	482.669	2204.547	466.699	519.915	2272.207	2249.593	2279.708	2264.832	2210.569	2222.398	648.651	2233.272	2272.44	625.708	571.31	2256.704	2234.09	470.875	2203.516	2248.763	285.532	2229.536	
Six_mouse_models22040.py	420.075	2291.924	1014.515	466.007	951.81	2348.25	406.641	847.174	1053.508	913.436	2281.146	941.919	952.882	2279.896	2310.665	2319.239	2371.892	2205.167	2262.214	2346.456	910.175	2324.325	2228.854	2314.317	917.743	882.46	2264.846	900.865	2224.047	2287.438	898.018	2246.615	935.4	242.125	2274.68	983.693	2279.889	2264.556	2266.755	1112.539	0.0	2199.769	2268.3	2176.662	875.558	2266.929	1019.768	956.408	970.556	907.817	2279.932	976.267	856.282	2374.524	811.101	1041.488	2184.67	468.203	2214.023	1087.43	2256.851	2236.908	982.211	903.226	2219.79	356.743	906.423	930.305	2274.565	935.229	865.881	2278.927	1014.649	2372.628	1016.306	963.389	2195.248	2301.396	2256.746	2260.268	2356.228	2327.333	890.983	2322.587	2181.001	879.798	915.978	2289.118	2341.27	917.905	2372.064	2278.605	1073.05	2308.946	
Six_mouse_models677.py	2209.555	861.558	2244.51	2218.239	2249.438	549.695	2272.981	2191.028	2277.629	2211.57	472.737	2235.631	2218.488	802.292	503.538	538.784	553.759	842.243	458.632	594.086	2216.314	513.367	152.036	536.39	2206.535	2172.329	451.618	2218.93	284.563	459.407	2205.545	816.821	2188.628	2213.938	423.522	2262.901	824.878	432.071	443.976	2279.449	2199.769	0.0	335.71	266.417	2148.769	534.685	2237.898	2226.122	2230.404	2202.46	479.218	2264.233	2153.333	619.179	2128.077	2285.018	818.348	2237.555	289.722	2287.868	471.097	813.315	2254.205	2207.537	222.867	2169.642	2203.214	2245.535	480.823	2229.978	2155.868	492.337	2232.71	621.703	2265.817	2209.392	311.551	614.176	343.499	376.959	659.405	587.762	2180.754	582.16	301.23	2180.092	2193.652	476.622	611.645	2229.683	661.264	427.713	2282.93	526.378	
Six_mouse_models39562.py	2263.661	870.375	2258.041	2271.214	2260.12	486.547	2324.707	2226.051	2278.776	2247.207	500.315	2264.278	2261.767	849.827	513.418	492.963	478.983	837.199	538.658	544.308	2237.411	510.045	297.099	528.729	2248.173	2207.677	565.88	2261.256	379.91	521.252	2251.466	940.746	2232.481	2279.603	526.508	2280.565	858.469	530.322	507.555	2256.164	2268.3	335.71	0.0	403.832	2192.415	659.788	2261.358	2247.324	2272.287	2252.048	541.486	2271.784	2195.89	608.517	2185.872	2302.046	979.987	2297.25	486.956	2286.748	583.594	964.306	2276.775	2249.808	365.602	2228.917	2243.337	2272.9	629.148	2270.171	2197.714	505.412	2255.601	514.867	2313.147	2236.925	451.865	654.667	338.932	545.817	651.987	581.733	2233.58	589.347	411.619	2227.723	2238.915	466.549	585.218	2267.391	586.057	532.494	2258.015	514.279	
Six_mouse_models11017.py	2207.731	895.062	2244.216	2205.707	2236.757	632.299	2258.657	2174.982	2276.285	2211.556	519.22	2222.724	2206.246	793.09	616.921	584.091	658.83	831.024	480.422	593.019	2208.873	571.804	275.654	563.675	2204.298	2178.592	490.38	2211.123	261.193	553.822	2194.793	834.784	2191.362	2199.951	533.772	2247.534	841.715	513.654	557.549	2271.527	2176.662	266.417	403.832	0.0	2158.919	517.67	2243.371	2220.178	2237.283	2193.008	569.879	2259.497	2156.392	659.293	2135.85	2271.506	793.261	2230.202	243.509	2283.035	489.073	822.207	2239.787	2199.883	217.163	2150.386	2201.413	2237.835	474.409	2226.475	2160.515	590.507	2235.675	644.633	2261.362	2216.56	209.016	643.453	281.262	444.854	651.625	617.724	2172.322	649.533	176.409	2177.107	2187.558	520.008	671.85	2222.102	682.514	482.005	2273.947	563.505	
Six_mouse_models28548.py	796.967	2311.645	530.427	818.281	485.917	2240.953	874.224	322.968	519.525	492.978	2221.309	526.934	563.209	2330.176	2216.85	2267.915	2260.44	2230.193	2231.373	2260.342	467.048	2273.825	2165.275	2275.347	483.433	174.284	2222.635	520.949	2164.719	2194.242	526.99	2248.758	517.512	848.592	2231.275	570.492	2304.331	2219.009	2187.638	627.084	875.558	2148.769	2192.415	2158.919	0.0	2206.345	495.437	516.504	504.285	534.967	2197.499	505.202	278.688	2243.885	273.406	633.253	2217.704	872.658	2167.737	605.155	2215.801	2261.385	573.796	540.629	2159.674	833.577	509.912	524.88	2215.295	534.317	186.955	2187.76	521.588	2286.3	610.908	473.0	2156.55	2224.503	2219.488	2198.014	2297.254	2258.677	580.232	2260.917	2154.322	552.239	506.051	2238.654	2280.922	559.076	2290.015	2190.974	630.184	2270.127	
Six_mouse_models2070.py	2284.834	867.404	2216.132	2279.803	2230.72	443.685	2321.059	2216.066	2243.413	2181.074	315.365	2190.292	2174.855	894.908	429.482	513.893	597.35	973.914	309.607	407.619	2195.425	529.444	528.13	493.722	2181.862	2226.818	280.159	2184.226	464.556	315.803	2168.266	835.445	2168.138	2285.37	441.127	2226.055	813.187	347.994	365.559	2242.51	2266.929	534.685	659.788	517.67	2206.345	0.0	2209.716	2183.902	2213.992	2169.598	428.747	2236.766	2206.897	397.834	2190.538	2249.273	907.858	2266.745	454.805	2253.276	241.448	810.24	2211.654	2169.927	464.19	2228.562	2178.419	2204.698	260.562	2196.384	2209.209	396.437	2202.105	546.329	2247.99	2182.156	470.853	448.231	547.239	282.237	554.006	552.943	2154.028	552.569	521.645	2159.47	2170.234	738.979	606.019	2197.24	617.183	348.929	2245.956	509.381	
Six_mouse_models24474.py	934.039	2352.828	236.122	926.449	339.081	2216.388	927.094	499.737	260.08	304.212	2217.32	278.184	327.304	2412.823	2209.342	2240.237	2247.212	2324.089	2224.77	2232.653	326.49	2251.378	2249.262	2254.954	288.802	484.467	2223.078	341.808	2251.018	2192.369	347.881	2331.749	313.68	968.301	2239.014	376.524	2337.771	2228.201	2193.555	406.062	1019.768	2237.898	2261.358	2243.371	495.437	2209.716	0.0	268.236	316.124	364.734	2216.713	276.484	488.368	2224.902	579.46	468.213	2323.836	874.319	2254.428	441.338	2221.444	2337.986	353.274	357.247	2250.098	950.775	329.214	275.664	2239.489	300.725	492.427	2187.784	274.309	2239.529	475.765	273.765	2242.256	2232.799	2296.167	2237.65	2264.385	2255.837	492.969	2257.424	2242.356	386.695	375.82	2310.737	2265.647	336.436	2247.976	2230.767	412.87	2252.92	
Six_mouse_models21597.py	900.186	2358.814	358.03	884.66	370.179	2205.595	880.723	473.83	382.973	313.116	2200.865	302.435	343.694	2398.009	2199.511	2237.508	2242.434	2317.231	2204.846	2225.224	294.371	2252.9	2230.958	2252.099	340.308	490.245	2210.49	392.336	2225.619	2179.953	369.092	2335.798	351.716	911.96	2235.176	437.113	2339.105	2216.79	2184.315	513.559	956.408	2226.122	2247.324	2220.178	516.504	2183.902	268.236	0.0	447.322	406.641	2213.839	384.462	476.672	2210.002	595.419	521.699	2324.179	835.791	2227.793	509.08	2202.415	2336.579	393.166	354.823	2228.601	869.015	376.692	315.305	2212.141	385.653	505.316	2179.856	368.303	2243.857	544.756	282.75	2212.688	2221.726	2271.692	2219.947	2267.82	2251.784	476.642	2257.727	2214.197	423.113	441.971	2304.937	2269.609	406.917	2257.039	2201.922	498.306	2252.006	
Six_mouse_models30079.py	909.105	2321.907	350.79	930.472	459.32	2239.675	897.975	547.88	312.879	374.138	2223.603	356.756	398.577	2369.745	2228.195	2256.038	2266.019	2283.904	2223.658	2249.037	455.334	2256.634	2243.866	2264.242	323.441	469.747	2222.749	302.269	2254.644	2201.589	329.556	2298.809	309.546	892.786	2236.06	417.387	2292.325	2233.118	2200.218	429.302	970.556	2230.404	2272.287	2237.283	504.285	2213.992	316.124	447.322	0.0	293.997	2229.621	311.332	476.663	2237.156	527.947	477.971	2272.744	831.592	2251.07	462.429	2217.596	2285.96	355.252	358.333	2245.872	902.509	316.974	368.395	2246.155	242.733	451.333	2206.675	359.945	2261.539	418.932	339.627	2242.1	2241.889	2298.827	2235.644	2275.588	2263.963	426.639	2262.976	2233.626	333.569	320.058	2312.624	2283.288	300.821	2269.729	2240.927	496.95	2255.832	
Six_mouse_models41645.py	930.554	2302.604	414.395	920.426	437.006	2212.581	890.002	478.232	421.763	288.257	2198.705	245.428	281.018	2339.692	2199.829	2234.949	2244.252	2264.815	2187.064	2231.931	385.088	2240.341	2218.226	2238.674	241.39	518.245	2182.549	171.026	2218.114	2175.02	127.7	2265.241	254.542	862.685	2206.905	381.728	2277.375	2198.643	2178.225	518.307	907.817	2202.46	2252.048	2193.008	534.967	2169.598	364.734	406.641	293.997	0.0	2204.339	321.247	489.768	2213.122	497.733	481.141	2236.084	831.578	2206.899	541.033	2183.567	2256.725	336.749	227.672	2211.184	866.944	222.42	264.801	2197.668	239.087	495.01	2178.556	374.62	2258.853	445.939	374.195	2196.118	2216.509	2258.318	2203.198	2268.566	2249.149	260.229	2244.797	2195.493	210.705	268.217	2289.613	2269.614	250.069	2273.655	2207.739	517.363	2239.069	
Six_mouse_models30179.py	2279.869	818.07	2212.418	2295.635	2230.021	377.34	2324.622	2240.748	2244.956	2191.651	352.977	2224.082	2197.914	904.624	287.249	336.668	419.961	983.553	397.49	363.59	2209.732	341.647	488.222	352.416	2197.314	2230.581	352.305	2208.016	534.666	286.669	2200.81	953.99	2178.735	2288.533	326.437	2231.59	806.929	354.515	299.545	2230.438	2279.932	479.218	541.486	569.879	2197.499	428.747	2216.713	2213.839	2229.621	2204.339	0.0	2251.225	2221.918	428.622	2190.464	2262.022	996.395	2273.667	514.452	2257.343	383.237	911.874	2238.515	2207.275	481.911	2252.065	2197.439	2226.972	407.928	2229.88	2213.031	248.819	2218.288	462.769	2258.307	2190.741	552.61	398.407	573.769	345.548	488.538	441.307	2179.114	415.635	562.62	2184.69	2182.472	573.06	447.526	2226.788	512.782	435.612	2231.115	409.719	
Six_mouse_models9042.py	911.396	2349.721	274.444	896.65	326.509	2225.323	887.209	435.592	302.524	345.853	2241.232	219.671	385.885	2395.354	2229.735	2246.376	2245.328	2306.87	2242.41	2249.158	323.477	2259.476	2272.562	2262.832	302.447	467.901	2245.037	275.228	2274.155	2220.508	330.515	2333.487	376.362	944.921	2260.038	316.377	2331.835	2250.173	2224.891	404.747	976.267	2264.233	2271.784	2259.497	505.202	2236.766	276.484	384.462	311.332	321.247	2251.225	0.0	491.893	2238.491	554.11	440.897	2305.605	862.065	2275.086	441.93	2248.597	2335.834	282.577	359.281	2276.585	932.26	320.263	239.471	2263.504	275.024	493.609	2218.276	302.39	2241.983	480.266	389.711	2262.503	2267.697	2306.531	2268.641	2275.997	2274.954	495.082	2276.366	2262.361	391.631	373.74	2319.807	2275.53	260.143	2253.568	2255.195	334.949	2263.1	
Six_mouse_models3660.py	789.951	2314.031	528.737	790.651	512.531	2243.508	866.658	339.689	542.425	507.448	2219.89	480.303	551.083	2326.852	2229.208	2271.118	2267.139	2213.885	2223.044	2259.555	438.622	2275.923	2166.023	2277.75	478.857	202.977	2223.401	509.772	2167.089	2198.988	489.351	2245.252	473.542	817.465	2237.504	576.608	2294.636	2223.188	2195.38	637.624	856.282	2153.333	2195.89	2156.392	278.688	2206.897	488.368	476.672	476.663	489.768	2221.918	491.893	0.0	2242.033	280.828	616.639	2207.623	837.549	2174.26	618.707	2210.522	2255.623	531.671	471.982	2166.668	765.342	486.62	514.622	2220.637	466.317	206.995	2201.307	496.077	2285.358	606.679	476.742	2156.412	2236.203	2217.222	2206.889	2298.314	2263.651	546.403	2269.345	2152.285	463.763	525.337	2251.23	2290.814	463.032	2293.037	2195.828	640.835	2266.846	
Six_mouse_models17756.py	2370.125	789.268	2221.14	2382.689	2242.776	314.456	2375.378	2255.333	2241.26	2205.727	415.995	2219.965	2215.516	860.622	353.122	498.449	368.904	907.648	467.737	352.253	2210.823	503.211	583.428	515.73	2212.759	2254.902	446.696	2218.066	582.245	316.419	2211.142	927.367	2192.332	2373.464	514.458	2242.948	755.86	487.399	432.081	2228.389	2374.524	619.179	608.517	659.293	2243.885	397.834	2224.902	2210.002	2237.156	2213.122	428.622	2238.491	2242.033	0.0	2234.681	2263.234	985.487	2326.068	585.435	2248.35	468.181	890.458	2234.045	2213.093	562.326	2322.588	2212.135	2231.935	420.894	2234.02	2241.942	370.752	2213.317	495.996	2272.848	2198.663	600.736	494.881	605.668	446.084	543.448	530.55	2191.056	554.637	639.458	2197.829	2204.947	720.924	600.782	2223.362	564.648	405.679	2232.269	541.857	
Six_mouse_models25517.py	803.965	2289.676	585.438	825.61	558.809	2236.344	863.946	360.437	597.673	507.694	2209.761	545.492	548.126	2284.586	2208.632	2249.697	2240.59	2201.178	2203.132	2253.403	519.9	2244.933	2146.989	2253.422	502.632	305.426	2201.336	511.696	2158.872	2181.199	504.11	2217.889	485.631	793.932	2205.545	580.98	2271.061	2205.158	2179.432	671.977	811.101	2128.077	2185.872	2135.85	273.406	2190.538	579.46	595.419	527.947	497.733	2190.464	554.11	280.828	2234.681	0.0	647.616	2166.216	843.573	2141.823	671.712	2194.16	2217.803	572.381	542.274	2145.022	784.818	529.335	556.182	2187.989	547.843	266.932	2185.004	574.224	2282.534	605.909	542.776	2135.166	2219.329	2201.679	2179.19	2277.01	2237.629	498.664	2244.314	2137.019	499.883	516.108	2215.164	2272.28	523.733	2284.347	2178.006	685.974	2250.249	
