	Six_zebra_models13971.py	Six_zebra_models19141.py	Six_zebra_models5357.py	Six_zebra_models18265.py	Six_zebra_models31450.py	Six_zebra_models40097.py	Six_zebra_models48110.py	Six_zebra_models16368.py	Six_zebra_models8148.py	Six_zebra_models47909.py	Six_zebra_models47696.py	Six_zebra_models22688.py	Six_zebra_models48658.py	Six_zebra_models6070.py	Six_zebra_models49145.py	Six_zebra_models37407.py	Six_zebra_models10562.py	Six_zebra_models18520.py	Six_zebra_models19053.py	Six_zebra_models34481.py	Six_zebra_models20028.py	Six_zebra_models23114.py	Six_zebra_models19885.py	Six_zebra_models41696.py	Six_zebra_models557.py	Six_zebra_models36599.py	Six_zebra_models49458.py	Six_zebra_models41516.py	Six_zebra_models11123.py	Six_zebra_models27943.py	Six_zebra_models43232.py	Six_zebra_models35444.py	Six_zebra_models20594.py	Six_zebra_models7301.py	Six_zebra_models49742.py	Six_zebra_models6845.py	Six_zebra_models26054.py	Six_zebra_models7326.py	Six_zebra_models31012.py	Six_zebra_models13643.py	Six_zebra_models6913.py	Six_zebra_models33241.py	Six_zebra_models10463.py	Six_zebra_models32843.py	Six_zebra_models43329.py	Six_zebra_models8646.py	Six_zebra_models17787.py	Six_zebra_models32355.py	Six_zebra_models39576.py	Six_zebra_models17323.py	Six_zebra_models46895.py	Six_zebra_models43140.py	Six_zebra_models29975.py	Six_zebra_models24118.py	Six_zebra_models34065.py	Six_zebra_models27030.py	Six_zebra_models44714.py	Six_zebra_models44165.py	Six_zebra_models33742.py	Six_zebra_models21838.py	Six_zebra_models49499.py	Six_zebra_models44.py	Six_zebra_models30473.py	Six_zebra_models36304.py	Six_zebra_models2299.py	Six_zebra_models48085.py	Six_zebra_models16607.py	Six_zebra_models45108.py	Six_zebra_models9809.py	Six_zebra_models19050.py	Six_zebra_models26211.py	Six_zebra_models6742.py	Six_zebra_models31567.py	Six_zebra_models7070.py	Six_zebra_models44457.py	Six_zebra_models9343.py	Six_zebra_models41232.py	Six_zebra_models48389.py	Six_zebra_models13808.py	Six_zebra_models19111.py	Six_zebra_models36984.py	Six_zebra_models47209.py	Six_zebra_models23020.py	Six_zebra_models35233.py	Six_zebra_models29901.py	Six_zebra_models11849.py	Six_zebra_models23934.py	Six_zebra_models40274.py	Six_zebra_models14045.py	Six_zebra_models24449.py	
Six_zebra_models49458.py	4115.557	2523.581	2440.307	4062.039	2466.841	2505.205	4167.247	4045.155	2621.832	3991.133	395.409	2599.295	4351.114	780.655	2749.872	4392.554	4571.22	754.636	4472.222	599.754	4403.613	4588.706	4591.608	598.323	1025.397	4640.527	0.0	4285.086	4635.655	623.792	604.106	792.627	586.35	1088.766	4402.338	4331.412	516.66	4680.462	4586.342	4611.401	626.908	4528.612	3974.805	508.027	889.023	840.085	4549.184	4616.351	4484.529	4363.091	1061.822	620.686	4656.373	4599.473	1105.501	4537.006	506.828	691.708	733.757	668.584	4515.558	4379.159	1113.571	534.107	4417.719	4335.187	4473.758	760.577	4452.947	4586.124	581.487	701.852	759.052	1095.489	629.316	4570.946	4405.951	4607.439	422.67	989.01	935.055	692.859	771.057	808.882	4330.665	748.322	1067.245	917.984	667.419	4627.001	
Six_zebra_models41516.py	2406.501	3815.868	3842.87	2461.928	3847.492	3906.606	2489.36	2529.35	3812.324	2474.102	4295.391	3727.949	490.811	4263.117	3801.655	531.715	672.402	4332.272	561.672	4172.862	657.736	705.049	664.0	4345.686	4278.417	730.193	4285.086	0.0	741.044	4399.754	4326.395	4405.341	4357.779	4241.068	695.499	523.149	4415.181	952.188	881.696	891.954	4354.804	634.235	2584.855	4410.298	4317.213	4385.234	672.755	834.821	651.064	507.574	4279.94	4461.565	940.65	725.026	4006.925	639.068	4378.052	4489.207	4452.452	4428.292	667.365	605.026	4137.87	4462.686	598.216	500.226	482.228	4365.228	740.444	895.829	4447.895	4445.34	4484.917	4271.607	4483.815	668.714	659.422	856.084	4251.173	4286.975	4222.092	4366.305	4406.68	4265.595	394.794	4431.909	4315.618	4108.751	4413.361	756.027	
Six_zebra_models11123.py	2665.379	4048.215	4071.109	2738.507	4075.753	4135.677	2745.145	2825.983	4017.713	2790.951	4669.187	3939.837	903.537	4649.309	4004.885	788.613	618.541	4700.171	727.767	4547.918	924.338	378.793	610.723	4693.247	4651.197	275.021	4635.655	741.044	0.0	4748.291	4708.702	4782.009	4731.901	4621.495	633.957	878.325	4789.028	409.772	441.548	449.336	4736.814	348.737	2919.428	4756.981	4699.409	4770.158	526.148	344.899	817.937	832.043	4659.944	4819.352	417.35	532.598	4375.397	574.487	4750.686	4870.26	4822.1	4802.862	653.128	877.97	4504.615	4831.121	874.318	879.43	722.808	4728.928	822.7	459.518	4804.876	4803.067	4847.96	4654.153	4838.869	612.161	881.874	423.227	4622.362	4669.348	4611.755	4753.565	4754.775	4611.125	791.094	4802.816	4683.252	4463.043	4795.292	497.648	
Six_zebra_models27943.py	4178.623	2650.764	2623.383	4111.296	2650.691	2668.779	4217.369	4082.398	2800.386	4026.366	626.048	2794.677	4474.297	800.364	2934.045	4515.199	4693.796	559.805	4592.96	858.73	4541.767	4700.725	4720.296	425.133	773.386	4748.554	623.792	4399.754	4748.291	0.0	569.503	540.687	526.887	952.11	4493.837	4452.806	468.463	4796.872	4681.016	4698.65	663.877	4635.306	3996.084	264.204	675.302	702.681	4683.952	4724.8	4612.257	4475.822	804.467	391.703	4771.977	4699.513	1106.526	4643.486	554.393	512.686	405.173	463.822	4630.746	4504.887	944.147	409.8	4544.989	4449.079	4586.817	468.327	4590.935	4702.977	375.189	352.238	453.876	941.752	245.85	4693.81	4523.563	4701.508	801.378	760.942	888.727	624.881	285.135	549.558	4437.627	418.209	758.488	877.61	645.458	4754.329	
Six_zebra_models43232.py	4121.05	2541.99	2496.833	4051.72	2532.381	2548.692	4162.777	4018.357	2695.197	3968.23	408.689	2676.665	4381.316	519.889	2814.351	4440.946	4617.182	498.369	4513.316	575.909	4453.917	4646.31	4637.032	656.681	707.178	4700.542	604.106	4326.395	4708.702	569.503	0.0	398.839	354.231	829.718	4488.341	4378.205	355.867	4762.214	4678.693	4679.714	449.63	4601.661	3933.95	547.965	557.504	509.46	4613.111	4703.767	4525.563	4410.214	735.646	542.274	4746.974	4639.354	957.926	4576.922	509.662	410.608	424.262	459.401	4576.23	4426.724	908.766	457.465	4464.094	4374.564	4503.455	562.566	4522.264	4672.683	418.769	551.67	438.148	833.086	504.898	4619.515	4459.423	4676.873	520.061	670.621	706.308	364.587	698.648	801.066	4383.632	505.606	796.982	919.27	497.298	4688.653	
Six_zebra_models35444.py	4176.018	2634.023	2586.064	4101.425	2634.802	2640.665	4220.028	4061.763	2779.933	4019.71	564.84	2773.663	4461.961	440.322	2904.406	4519.746	4689.981	301.066	4588.377	661.468	4541.923	4717.332	4712.875	617.916	496.64	4768.759	792.627	4405.341	4782.009	540.687	398.839	0.0	485.649	637.393	4561.845	4453.002	523.66	4839.065	4750.411	4741.432	494.2	4679.343	3975.466	562.527	368.614	363.217	4694.774	4780.103	4600.65	4485.242	512.326	544.489	4827.302	4700.697	871.12	4641.1	603.714	347.176	244.162	427.333	4649.834	4503.912	746.457	503.513	4540.702	4444.737	4570.641	362.424	4610.992	4752.364	405.456	465.193	354.579	616.695	467.889	4690.087	4532.877	4742.916	695.764	490.701	629.24	350.878	552.484	720.75	4461.152	326.56	521.302	837.677	520.168	4766.755	
Six_zebra_models20594.py	4066.505	2687.821	2617.31	4005.193	2677.883	2683.791	4108.333	3972.309	2835.911	3928.741	355.098	2799.663	4424.271	540.135	2954.435	4486.518	4658.282	535.942	4560.519	650.291	4489.482	4688.121	4678.511	485.778	821.355	4735.027	586.35	4357.779	4731.901	526.887	354.231	485.649	0.0	813.875	4521.542	4422.995	268.847	4782.134	4707.24	4711.569	336.366	4632.098	3887.417	429.025	556.634	450.468	4636.108	4728.095	4574.094	4453.954	740.346	334.513	4772.932	4680.753	1086.763	4626.946	366.892	358.427	413.883	321.728	4616.075	4476.241	927.054	374.686	4509.725	4425.672	4550.297	447.973	4557.16	4704.496	395.422	361.688	435.623	860.921	471.889	4664.989	4507.435	4715.032	618.856	682.466	688.487	372.519	623.37	718.239	4417.678	468.772	761.824	852.639	340.635	4725.273	
Six_zebra_models7301.py	4008.277	2673.37	2605.681	3933.764	2692.706	2699.259	4059.682	3884.865	2794.505	3861.279	829.604	2781.091	4269.163	454.531	2929.412	4337.947	4490.369	575.518	4395.479	704.127	4348.491	4542.628	4511.247	809.249	479.258	4594.028	1088.766	4241.068	4621.495	952.11	829.718	637.393	813.875	0.0	4411.927	4260.395	927.12	4682.933	4596.057	4589.383	663.995	4521.973	3815.394	968.493	392.941	510.856	4511.787	4617.352	4400.303	4307.31	278.347	943.355	4664.006	4518.947	679.563	4456.253	859.213	802.386	746.958	772.543	4461.614	4314.597	380.449	925.549	4347.463	4262.54	4372.09	636.481	4424.092	4591.858	934.452	830.822	906.863	233.965	970.832	4490.465	4344.14	4580.633	934.531	372.61	346.121	629.252	851.415	721.761	4295.503	724.854	363.458	551.099	742.963	4577.207	
Six_zebra_models49742.py	2670.501	3894.314	3951.664	2721.827	3924.612	4000.483	2742.271	2815.098	3875.844	2731.935	4448.248	3814.491	818.084	4443.841	3879.088	647.014	763.802	4487.415	694.451	4344.122	884.76	607.321	801.531	4457.847	4422.051	624.795	4402.338	695.499	633.957	4493.837	4488.341	4561.845	4521.542	4411.927	0.0	714.689	4556.749	781.688	429.53	649.379	4515.806	412.926	2879.284	4528.204	4471.745	4564.39	816.851	554.257	783.809	615.892	4431.943	4601.533	659.946	726.196	4171.419	672.208	4510.715	4638.362	4589.901	4569.558	598.164	723.919	4273.726	4584.5	757.469	688.784	760.505	4509.996	768.284	588.729	4582.794	4578.666	4639.015	4427.073	4593.947	730.795	687.148	557.84	4411.785	4436.505	4388.64	4528.114	4491.926	4348.994	571.458	4559.864	4454.064	4231.798	4574.526	731.257	
Six_zebra_models6845.py	2547.595	3845.464	3876.854	2603.319	3865.489	3933.219	2641.451	2690.443	3825.897	2614.585	4340.108	3748.73	280.835	4297.749	3822.961	245.69	525.883	4381.482	356.59	4204.347	419.351	746.091	540.312	4399.045	4298.147	788.908	4331.412	523.149	878.325	4452.806	4378.205	4453.002	4422.995	4260.395	714.689	0.0	4467.396	1030.912	941.903	1041.751	4394.497	755.732	2757.075	4479.846	4347.773	4430.082	696.389	882.157	367.167	329.93	4301.143	4535.068	968.407	770.146	4035.879	665.196	4420.383	4534.704	4501.006	4476.954	436.892	286.333	4149.752	4506.598	277.71	356.186	391.488	4426.555	470.004	883.459	4509.093	4513.962	4557.289	4278.686	4537.865	525.693	309.778	933.798	4291.049	4304.751	4239.107	4404.091	4448.022	4288.761	446.205	4472.38	4342.738	4132.059	4460.226	661.291	
Six_zebra_models26054.py	4120.197	2713.048	2659.265	4053.279	2696.054	2710.471	4156.63	4023.279	2857.734	3969.438	342.489	2835.373	4472.95	644.731	2979.657	4533.233	4711.379	606.46	4610.779	705.914	4537.094	4739.774	4733.071	540.393	865.981	4790.27	516.66	4415.181	4789.028	468.463	355.867	523.66	268.847	927.12	4556.749	4467.396	0.0	4836.709	4746.884	4759.975	391.256	4678.641	3934.881	391.86	632.634	576.473	4696.475	4776.73	4622.352	4498.055	823.031	364.677	4818.841	4735.655	1147.121	4678.687	296.164	299.01	399.633	297.936	4661.476	4521.007	987.481	241.347	4554.584	4471.08	4604.276	524.944	4601.284	4748.769	355.197	409.185	471.658	930.054	378.308	4716.061	4548.776	4759.59	594.524	742.182	761.157	432.594	593.235	707.393	4464.165	436.726	845.39	908.804	353.927	4777.945	
Six_zebra_models7326.py	2621.892	4119.687	4138.598	2697.914	4146.68	4212.902	2721.087	2800.383	4081.399	2775.244	4720.082	4013.513	1050.502	4710.535	4079.8	931.042	683.869	4758.142	875.317	4604.402	989.954	512.789	706.406	4748.195	4708.546	442.591	4680.462	952.188	409.772	4796.872	4762.214	4839.065	4782.134	4682.933	781.688	1030.912	4836.709	0.0	480.753	493.171	4790.619	547.47	2912.179	4801.902	4760.199	4834.238	587.522	290.765	986.373	1067.759	4719.041	4869.256	271.326	581.154	4433.838	783.675	4799.272	4924.626	4875.717	4854.047	791.053	1043.162	4561.082	4880.429	1058.938	1112.465	951.016	4784.479	870.237	364.968	4855.937	4852.601	4900.164	4716.008	4886.287	788.422	1051.777	531.879	4672.122	4729.07	4670.789	4810.535	4805.731	4661.932	1031.064	4859.1	4744.59	4517.644	4847.74	547.64	
Six_zebra_models31012.py	2721.128	4009.472	4059.352	2775.105	4044.782	4116.933	2794.938	2866.728	3980.914	2811.084	4636.159	3923.123	1011.854	4632.551	3984.281	853.819	753.202	4669.942	828.139	4528.382	1027.841	473.949	785.675	4643.867	4606.843	456.687	4586.342	881.696	441.548	4681.016	4678.693	4750.411	4707.24	4596.057	429.53	941.903	4746.884	480.753	0.0	365.21	4707.244	347.851	2950.156	4707.294	4663.532	4755.003	756.336	324.959	923.781	902.361	4619.888	4785.222	358.363	611.267	4342.161	669.505	4702.845	4832.846	4779.195	4760.634	718.455	938.672	4454.839	4778.812	958.812	940.87	888.996	4693.234	884.18	347.69	4767.809	4761.469	4821.856	4616.929	4781.787	747.183	916.842	317.298	4594.849	4628.381	4579.516	4724.059	4681.595	4534.211	859.959	4753.047	4641.35	4411.042	4764.989	647.345	
Six_zebra_models13643.py	2668.973	4026.291	4074.597	2717.08	4072.19	4136.514	2742.015	2789.695	4001.205	2754.635	4648.946	3948.932	1057.985	4626.671	4003.531	965.097	797.748	4664.325	902.687	4532.921	1128.555	458.727	823.502	4663.324	4600.996	435.3	4611.401	891.954	449.336	4698.65	4679.714	4741.432	4711.569	4589.383	649.379	1041.751	4759.975	493.171	365.21	0.0	4716.124	467.667	2870.088	4716.192	4664.319	4751.102	816.714	485.808	1006.92	1008.111	4617.742	4791.734	505.12	508.81	4324.18	619.097	4722.391	4837.904	4781.053	4770.711	880.406	1058.166	4454.712	4795.258	1074.229	1004.666	893.789	4690.597	1060.131	514.924	4769.367	4766.7	4812.073	4614.106	4792.104	805.805	1065.763	243.913	4603.785	4631.515	4582.866	4727.232	4700.598	4563.493	954.795	4761.774	4640.333	4424.544	4773.367	736.486	
Six_zebra_models6913.py	4041.943	2734.474	2654.809	3975.48	2713.18	2729.475	4084.912	3934.655	2858.387	3896.369	308.967	2833.238	4398.026	381.082	2986.625	4466.298	4636.981	553.064	4538.026	522.532	4462.781	4678.936	4656.127	527.246	772.3	4730.629	626.908	4354.804	4736.814	663.877	449.63	494.2	336.366	663.995	4515.806	4394.497	391.256	4790.619	4707.244	4716.124	0.0	4630.676	3854.991	580.097	443.874	422.913	4630.055	4729.124	4545.491	4431.189	634.074	522.865	4772.509	4671.93	998.114	4609.597	277.984	384.985	475.749	336.068	4594.962	4449.838	769.062	419.495	4481.339	4400.726	4525.605	455.101	4535.274	4701.757	533.93	492.873	626.302	675.174	597.638	4640.706	4479.638	4710.377	574.94	556.727	473.55	260.684	657.661	664.495	4406.046	466.372	655.581	690.762	187.863	4710.282	
Six_zebra_models33241.py	2623.057	3965.292	4006.331	2681.118	3998.986	4064.2	2698.423	2758.066	3946.439	2709.587	4561.492	3873.952	783.583	4550.202	3943.475	670.287	611.769	4602.33	643.839	4449.017	828.722	382.683	614.302	4590.33	4544.303	386.651	4528.612	634.235	348.737	4635.306	4601.661	4679.343	4632.098	4521.973	412.926	755.732	4678.641	547.47	347.851	467.667	4630.676	0.0	2836.086	4654.683	4589.75	4675.048	583.772	384.366	748.197	679.882	4549.819	4722.13	449.108	530.618	4272.123	533.024	4637.179	4762.498	4714.596	4692.91	556.009	763.513	4389.026	4718.655	750.99	748.033	665.206	4628.493	735.739	451.007	4704.392	4700.237	4754.931	4546.072	4729.453	584.694	759.099	400.982	4521.013	4557.372	4502.788	4647.76	4638.468	4490.176	636.516	4689.419	4577.136	4350.593	4689.051	538.993	
Six_zebra_models10463.py	811.335	4350.055	4369.75	701.077	4415.278	4433.422	745.295	334.67	4427.863	509.834	3888.648	4365.184	2604.181	3856.175	4488.333	2838.122	2863.017	3976.2	2876.833	3878.598	2628.612	2911.802	2862.041	3934.153	3942.712	2940.141	3974.805	2584.855	2919.428	3996.084	3933.95	3975.466	3887.417	3815.394	2879.284	2757.075	3934.881	2912.179	2950.156	2870.088	3854.991	2836.086	0.0	3980.279	3851.636	3932.263	2811.898	2939.802	2930.399	2826.764	3828.199	3971.501	2956.951	2848.529	3830.82	2895.828	3864.388	3984.639	3990.433	3893.067	2949.64	2914.238	3733.369	3974.303	2880.143	2841.101	2792.718	3883.653	2852.781	2961.141	4022.315	3944.641	4053.899	3831.498	4034.083	2949.399	2954.219	2916.731	3967.724	3799.456	3738.828	3896.441	3947.712	3852.873	2722.262	3941.954	3843.818	3711.86	3856.114	2940.077	
Six_zebra_models32843.py	4152.828	2672.495	2615.418	4091.952	2657.16	2673.441	4194.982	4064.211	2806.951	4013.469	515.976	2792.92	4495.667	751.069	2933.193	4539.319	4712.218	562.896	4615.377	786.221	4559.815	4717.841	4735.713	361.85	864.473	4764.377	508.027	4410.298	4756.981	264.204	547.965	562.527	429.025	968.493	4528.204	4479.846	391.86	4801.902	4707.294	4716.192	580.097	4654.683	3980.279	0.0	706.333	662.708	4687.496	4742.121	4634.862	4504.82	865.966	269.265	4786.736	4718.32	1137.73	4664.863	459.138	462.703	424.2	433.596	4658.7	4529.861	1006.952	339.949	4569.917	4475.748	4609.579	449.074	4611.168	4720.043	313.289	298.161	433.497	973.853	264.671	4713.694	4554.656	4724.697	700.522	828.837	893.699	593.089	417.491	638.094	4463.388	469.233	817.648	894.654	554.303	4769.642	
Six_zebra_models43329.py	4054.153	2693.913	2644.364	3977.72	2707.134	2711.349	4099.06	3931.605	2835.247	3895.142	608.457	2821.216	4355.365	377.631	2969.622	4420.319	4588.382	403.879	4487.393	642.797	4432.335	4629.764	4610.349	599.823	453.44	4682.465	889.023	4317.213	4699.409	675.302	557.504	368.614	556.634	392.941	4471.745	4347.773	632.634	4760.199	4663.532	4664.319	443.874	4589.75	3851.636	706.333	0.0	346.066	4597.717	4691.558	4496.877	4383.165	264.891	676.729	4738.28	4611.45	804.675	4550.455	606.061	508.121	442.346	466.402	4543.982	4402.058	476.322	633.163	4434.594	4347.447	4467.727	397.95	4504.32	4665.535	645.731	558.706	637.582	380.168	673.227	4589.18	4428.076	4658.734	794.334	222.965	371.965	356.18	592.729	561.982	4365.893	390.868	314.935	581.227	491.014	4669.106	
Six_zebra_models8646.py	4116.153	2689.705	2613.196	4051.965	2689.414	2682.615	4161.938	4011.681	2830.787	3977.257	555.986	2801.463	4436.344	337.538	2948.36	4501.322	4668.969	344.007	4568.826	606.973	4511.751	4713.975	4689.505	589.554	576.642	4761.097	840.085	4385.234	4770.158	702.681	509.46	363.217	450.468	510.856	4564.39	4430.082	576.473	4834.238	4755.003	4751.102	422.913	4675.048	3932.263	662.708	346.066	0.0	4664.4	4773.464	4576.065	4466.895	488.327	577.667	4823.353	4697.253	904.692	4635.415	613.37	427.382	414.196	473.025	4630.199	4481.699	737.128	606.73	4514.85	4428.375	4548.466	401.014	4583.676	4751.428	561.114	523.904	508.104	582.202	652.865	4669.62	4511.309	4750.649	723.491	479.754	515.383	379.656	700.122	727.486	4442.477	470.847	515.512	763.446	459.631	4748.26	
Six_zebra_models17787.py	2525.573	4015.876	4020.286	2604.338	4035.589	4092.692	2627.012	2707.207	3986.428	2669.051	4564.949	3895.73	693.871	4539.197	3974.456	614.018	414.577	4609.544	571.051	4433.695	598.29	567.868	401.321	4614.591	4556.141	536.999	4549.184	672.755	526.148	4683.952	4613.111	4694.774	4636.108	4511.787	816.851	696.389	4696.475	587.522	756.336	816.714	4630.055	583.772	2811.898	4687.496	4597.717	4664.4	0.0	543.323	672.895	781.701	4558.074	4741.97	611.797	606.248	4279.271	706.746	4655.375	4777.652	4737.389	4710.724	512.911	703.592	4403.592	4747.267	704.636	823.77	633.348	4647.33	521.238	584.689	4728.848	4726.362	4773.309	4546.949	4769.33	533.587	737.789	791.785	4518.822	4565.365	4498.025	4652.495	4691.122	4530.076	782.052	4716.974	4592.931	4366.27	4690.505	382.533	
Six_zebra_models32355.py	2666.902	4051.672	4079.335	2738.368	4076.909	4146.96	2758.638	2840.042	4017.023	2795.435	4660.365	3949.16	938.173	4651.221	4015.44	776.937	615.476	4697.399	737.51	4543.976	890.731	431.117	638.325	4675.491	4638.56	385.668	4616.351	834.821	344.899	4724.8	4703.767	4780.103	4728.095	4617.352	554.257	882.157	4776.73	290.765	324.959	485.808	4729.124	384.366	2939.802	4742.121	4691.558	4773.464	543.323	0.0	857.077	886.071	4648.514	4813.147	202.916	575.791	4374.165	688.117	4733.37	4863.451	4812.797	4791.957	614.152	875.448	4487.862	4813.916	908.099	949.248	833.019	4723.778	729.821	261.157	4799.807	4793.106	4849.601	4643.401	4821.564	672.93	868.498	450.466	4615.788	4658.084	4603.357	4747.409	4727.788	4578.43	859.201	4790.254	4672.263	4445.414	4788.7	464.31	
Six_zebra_models39576.py	2705.441	3868.248	3898.207	2749.49	3888.606	3954.895	2791.118	2852.162	3837.228	2781.756	4489.095	3762.956	466.959	4440.105	3822.535	289.13	391.959	4525.782	206.909	4345.768	586.632	627.756	402.563	4556.56	4441.172	680.51	4484.529	651.064	817.937	4612.257	4525.563	4600.65	4574.094	4400.303	783.809	367.167	4622.352	986.373	923.781	1006.92	4545.491	748.197	2930.399	4634.862	4496.877	4576.065	672.895	857.077	0.0	453.788	4445.42	4692.825	918.13	662.393	4163.95	522.152	4577.527	4686.986	4652.241	4633.175	380.025	244.946	4292.863	4663.654	263.512	406.02	379.699	4579.437	506.034	816.319	4662.086	4668.664	4706.366	4420.8	4694.738	325.463	335.17	870.146	4429.506	4456.311	4385.677	4554.714	4608.392	4444.646	629.183	4628.382	4490.43	4281.091	4614.793	524.403	
Six_zebra_models17323.py	2630.012	3843.596	3885.55	2685.767	3868.299	3931.338	2709.19	2768.608	3831.375	2685.489	4374.85	3750.814	429.175	4339.811	3822.337	343.429	662.365	4417.711	437.888	4249.554	613.419	748.609	661.417	4423.721	4342.523	782.114	4363.091	507.574	832.043	4475.822	4410.214	4485.242	4453.954	4307.31	615.892	329.93	4498.055	1067.759	902.361	1008.111	4431.189	679.882	2826.764	4504.82	4383.165	4466.895	781.701	886.071	453.788	0.0	4341.708	4558.662	983.989	810.592	4082.422	650.942	4451.87	4565.428	4530.569	4506.993	461.66	366.783	4190.545	4534.066	314.316	290.189	411.193	4455.94	626.029	920.997	4533.976	4538.195	4582.852	4322.99	4562.249	583.103	341.783	894.393	4331.612	4344.694	4285.089	4438.417	4471.128	4318.495	298.862	4499.475	4378.636	4169.816	4494.767	745.425	
Six_zebra_models46895.py	4037.558	2689.61	2652.831	3956.959	2723.548	2728.437	4082.574	3907.044	2834.0	3874.718	799.525	2829.829	4310.37	495.235	2974.094	4376.161	4535.466	508.52	4437.401	778.665	4390.817	4581.053	4558.972	750.505	367.392	4633.654	1061.822	4279.94	4659.944	804.467	735.646	512.326	740.346	278.347	4431.943	4301.143	823.031	4719.041	4619.888	4617.742	634.074	4549.819	3828.199	865.966	264.891	488.327	4558.074	4648.514	4445.42	4341.708	0.0	853.692	4695.054	4557.405	745.593	4497.85	788.773	687.004	594.282	659.095	4496.698	4355.572	345.333	808.037	4388.195	4302.69	4417.473	543.574	4461.915	4623.118	824.542	711.2	786.114	269.693	824.214	4535.851	4381.835	4610.366	948.077	237.235	394.567	556.826	691.428	611.027	4327.677	564.163	240.112	593.808	690.332	4620.323	
Six_zebra_models43140.py	4148.162	2774.047	2706.436	4090.203	2759.111	2764.903	4187.583	4058.821	2916.658	4011.779	529.157	2886.777	4543.495	728.891	3034.393	4597.427	4771.941	594.604	4674.747	821.552	4606.733	4787.469	4793.365	404.009	912.868	4830.162	620.686	4461.565	4819.352	391.703	542.274	544.489	334.513	943.355	4601.533	4535.068	364.677	4869.256	4785.222	4791.734	522.865	4722.13	3971.501	269.265	676.729	577.667	4741.97	4813.147	4692.825	4558.662	853.692	0.0	4860.896	4784.794	1215.261	4732.142	448.874	390.084	411.197	340.911	4720.197	4588.819	1039.503	352.67	4624.599	4533.171	4662.038	413.452	4669.285	4796.15	309.024	220.396	379.828	973.677	337.174	4776.243	4613.209	4801.306	768.544	797.398	868.045	544.483	492.856	713.063	4514.721	452.781	800.424	938.586	459.675	4832.693	
Six_zebra_models29975.py	2688.354	4071.835	4101.491	2753.536	4098.891	4169.808	2779.191	2852.072	4035.114	2815.106	4701.135	3969.567	1015.746	4696.653	4036.39	865.59	665.338	4745.014	811.713	4585.785	953.752	456.397	677.633	4724.568	4685.18	441.05	4656.373	940.65	417.35	4771.977	4746.974	4827.302	4772.932	4664.006	659.946	968.407	4818.841	271.326	358.363	505.12	4772.509	449.108	2956.951	4786.736	4738.28	4823.353	611.797	202.916	918.13	983.989	4695.054	4860.896	0.0	613.459	4412.958	735.106	4774.997	4909.363	4859.958	4836.815	688.329	958.767	4529.66	4857.925	976.678	1045.091	918.52	4772.75	786.182	247.872	4846.062	4840.199	4897.861	4688.702	4867.891	721.255	956.126	454.488	4653.593	4704.161	4646.682	4792.851	4775.944	4622.219	979.401	4836.515	4721.574	4485.531	4831.651	491.381	
Six_zebra_models24118.py	2625.689	3965.53	4004.588	2664.694	4004.297	4066.775	2715.643	2757.055	3938.491	2717.393	4611.193	3877.322	774.711	4565.468	3931.173	668.172	426.636	4624.689	555.206	4475.537	864.807	310.15	477.213	4656.656	4545.421	338.577	4599.473	725.026	532.598	4699.513	4639.354	4700.697	4680.753	4518.947	726.196	770.146	4735.655	581.154	611.267	508.81	4671.93	530.618	2848.529	4718.32	4611.45	4697.253	606.248	575.791	662.393	810.592	4557.405	4784.794	613.459	0.0	4259.843	370.225	4697.984	4803.561	4752.741	4741.367	624.184	759.144	4397.655	4777.767	776.674	758.503	589.611	4668.373	813.948	540.009	4755.408	4755.836	4792.358	4544.602	4786.825	495.314	799.715	478.535	4556.411	4572.373	4516.073	4678.609	4698.175	4546.411	837.94	4732.608	4593.984	4385.645	4735.157	479.118	
Six_zebra_models34065.py	3991.974	2236.791	2194.911	3918.647	2253.402	2294.934	4056.093	3890.674	2322.84	3848.953	980.844	2336.416	4050.106	728.676	2454.831	4104.034	4251.337	756.076	4156.138	725.042	4136.179	4280.4	4272.108	1059.188	605.503	4340.377	1105.501	4006.925	4375.397	1106.526	957.926	871.12	1086.763	679.563	4171.419	4035.879	1147.121	4433.838	4342.161	4324.18	998.114	4272.123	3830.82	1137.73	804.675	904.692	4279.271	4374.165	4163.95	4082.422	745.593	1215.261	4412.958	4259.843	0.0	4193.86	1119.009	1098.807	1015.359	1105.251	4231.323	4080.434	659.186	1155.874	4117.901	4023.698	4137.085	964.509	4202.111	4333.761	1124.754	1134.562	1115.966	680.112	1167.083	4243.558	4118.243	4316.978	885.793	800.277	771.982	928.748	1091.57	960.555	4075.625	1014.182	832.517	760.293	1092.79	4334.645	
